Start time: 10:38
Use SSE
dataset: sift10M
data_size: 10000000
dataset_path: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
query_path: /mnt/data/mocheng/dataset/sift10m/sift10m_query.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/sif_gt_sel_50000_1_100000_random_10.json
method: compact
index_k: 8
ef_max: 1000
ef_construction: 1000
nthreads: 1
ef_search: 500
qrange_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/qrangesel_50000_1_100000_random.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/attr_sel_1_100000_random.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
# of vecs: 10000000
get data size:10000000 query size:10000
get data label size:10000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 24.6486410s
search ef:
vertex in set: {500}
Max. nns length of one point194
Sum of forward nn #: 1847187476
Avg. forward nn #: 184.719
Avg. delta nn #: 184.719
# Load Index Time: 80.4865350s
load index done

Search ef: 500
========================
range: 4994889	 recall: 0.0400	 QPS: 2410	Comps: 251	 Hops: 20.5200
range: 4994965	 recall: 0.1600	 QPS: 559	Comps: 1170	 Hops: 81.8400
range: 4994966	 recall: 0.0400	 QPS: 3614	Comps: 142	 Hops: 20.2400
range: 4995042	 recall: 0.0800	 QPS: 1319	Comps: 488	 Hops: 40.4400
range: 4995118	 recall: 0.3600	 QPS: 234	Comps: 2828	 Hops: 182.3200
range: 4995119	 recall: 0.2400	 QPS: 400	Comps: 1582	 Hops: 121.8000
range: 4995194	 recall: 0.3200	 QPS: 282	Comps: 2218	 Hops: 162.0000
range: 4995195	 recall: 0.2400	 QPS: 367	Comps: 1787	 Hops: 121.3600
range: 4995270	 recall: 0.2400	 QPS: 368	Comps: 1704	 Hops: 121.5200
range: 4995271	 recall: 0.2800	 QPS: 299	Comps: 2115	 Hops: 143.0000
range: 4995347	 recall: 0.1200	 QPS: 724	Comps: 885	 Hops: 60.9200
range: 4995423	 recall: 0.0800	 QPS: 1022	Comps: 607	 Hops: 40.7200
range: 4995424	 recall: 0.0400	 QPS: 1878	Comps: 279	 Hops: 20.2000
range: 4995500	 recall: 0.0800	 QPS: 1167	Comps: 578	 Hops: 40.7200
range: 4995501	 recall: 0.0800	 QPS: 1129	Comps: 440	 Hops: 40.8000
range: 4995576	 recall: 0.0800	 QPS: 981	Comps: 717	 Hops: 40.4400
range: 4995577	 recall: 0.0720	 QPS: 1134	Comps: 564	 Hops: 40.5200
range: 4995578	 recall: 0.0400	 QPS: 3070	Comps: 189	 Hops: 20.2800
range: 4995652	 recall: 0.0400	 QPS: 2371	Comps: 285	 Hops: 20.1200
range: 4995653	 recall: 0.0400	 QPS: 2258	Comps: 279	 Hops: 20.1600
range: 4995728	 recall: 0.0400	 QPS: 935	Comps: 341	 Hops: 20.5200
range: 4995729	 recall: 0.1560	 QPS: 534	Comps: 1038	 Hops: 81.0000
range: 4995804	 recall: 0.0800	 QPS: 1210	Comps: 554	 Hops: 40.2400
range: 4995805	 recall: 0.2000	 QPS: 406	Comps: 1499	 Hops: 103.0800
range: 4995806	 recall: 0.0800	 QPS: 1003	Comps: 598	 Hops: 40.5600
range: 4995880	 recall: 0.1200	 QPS: 833	Comps: 778	 Hops: 60.6800
range: 4995881	 recall: 0.0800	 QPS: 1311	Comps: 479	 Hops: 40.4800
range: 4995958	 recall: 0.0400	 QPS: 2302	Comps: 269	 Hops: 20.3200
range: 4996033	 recall: 0.0800	 QPS: 1339	Comps: 457	 Hops: 40.4800
range: 4996034	 recall: 0.2360	 QPS: 383	Comps: 1632	 Hops: 122.7200
range: 4996110	 recall: 0.1960	 QPS: 416	Comps: 1603	 Hops: 101.0800
range: 4996111	 recall: 0.1200	 QPS: 652	Comps: 982	 Hops: 60.8400
range: 4996185	 recall: 0.0400	 QPS: 2394	Comps: 283	 Hops: 20.3200
range: 4996186	 recall: 0.0400	 QPS: 2644	Comps: 259	 Hops: 20.1600
range: 4996187	 recall: 0.0800	 QPS: 1177	Comps: 544	 Hops: 40.8800
range: 4996261	 recall: 0.0800	 QPS: 1182	Comps: 558	 Hops: 40.5200
range: 4996262	 recall: 0.2000	 QPS: 467	Comps: 1367	 Hops: 101.3200
range: 4996263	 recall: 0.1600	 QPS: 484	Comps: 1314	 Hops: 80.8800
range: 4996338	 recall: 0.2400	 QPS: 375	Comps: 1691	 Hops: 121.8800
range: 4996339	 recall: 0.5160	 QPS: 151	Comps: 3866	 Hops: 265.0400
range: 4996340	 recall: 0.0400	 QPS: 2399	Comps: 289	 Hops: 20.3200
range: 4996414	 recall: 0.0400	 QPS: 2514	Comps: 276	 Hops: 20.2400
range: 4996415	 recall: 0.4760	 QPS: 160	Comps: 3527	 Hops: 243.0800
