Start time: 07:05
Use SSE
dataset: sift10M
data_size: 10000000
dataset_path: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
query_path: /mnt/data/mocheng/dataset/sift10m/sift10m_query.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/sif_gt_sel_1000_1_100000_random_10.json
method: compact
index_k: 8
ef_max: 1000
ef_construction: 1000
nthreads: 1
ef_search: 150
qrange_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/qrangesel_1000_1_100000_random.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/attr_sel_1_100000_random.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
# of vecs: 10000000
get data size:10000000 query size:10000
get data label size:10000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 16.4300300s
search ef:
vertex in set: {150}
using simd16
Total edge:1847187476
Average degree:184.719
Max. nns length of one point194
Sum of forward nn #: 1847187476
Avg. forward nn #: 184.719
Avg. delta nn #: 184.719
# Load Index Time: 43.2417310s
load index done

Search ef: 150
========================
range: 98856	 recall: 0.4000	 QPS: 1521	Comps: 557	 Hops: 60.4000
range: 98877	 recall: 0.2000	 QPS: 3226	Comps: 255	 Hops: 30.6000
range: 98880	 recall: 0.2000	 QPS: 2395	Comps: 396	 Hops: 30.6000
range: 98892	 recall: 0.2000	 QPS: 4647	Comps: 141	 Hops: 30.2000
range: 98904	 recall: 0.2000	 QPS: 2047	Comps: 442	 Hops: 30.6000
range: 98912	 recall: 0.2000	 QPS: 3492	Comps: 222	 Hops: 30.4000
range: 98928	 recall: 0.2000	 QPS: 3043	Comps: 271	 Hops: 30.4000
range: 98941	 recall: 0.2000	 QPS: 2851	Comps: 292	 Hops: 30.4000
range: 98967	 recall: 0.1800	 QPS: 550	Comps: 447	 Hops: 30.2000
range: 98971	 recall: 0.4000	 QPS: 1761	Comps: 453	 Hops: 60.4000
range: 98975	 recall: 0.2000	 QPS: 2474	Comps: 343	 Hops: 30.2000
range: 98984	 recall: 0.2000	 QPS: 4310	Comps: 150	 Hops: 30.2000
range: 98992	 recall: 0.1800	 QPS: 2347	Comps: 392	 Hops: 30.2000
range: 98998	 recall: 0.2000	 QPS: 3086	Comps: 253	 Hops: 30.4000
range: 99003	 recall: 0.2000	 QPS: 3693	Comps: 214	 Hops: 30.2000
range: 99027	 recall: 0.2000	 QPS: 3467	Comps: 216	 Hops: 30.4000
range: 99070	 recall: 0.2000	 QPS: 3255	Comps: 254	 Hops: 30.2000
range: 99072	 recall: 0.2000	 QPS: 3846	Comps: 191	 Hops: 30.6000
range: 99087	 recall: 0.2000	 QPS: 2363	Comps: 370	 Hops: 30.2000
range: 99095	 recall: 0.1800	 QPS: 3222	Comps: 252	 Hops: 30.2000
range: 99099	 recall: 0.2000	 QPS: 2399	Comps: 344	 Hops: 30.6000
range: 99100	 recall: 0.2000	 QPS: 2009	Comps: 435	 Hops: 30.2000
range: 99104	 recall: 0.2000	 QPS: 2869	Comps: 259	 Hops: 30.4000
range: 99115	 recall: 0.1800	 QPS: 2333	Comps: 330	 Hops: 30.2000
range: 99117	 recall: 0.2000	 QPS: 2278	Comps: 366	 Hops: 30.6000
range: 99122	 recall: 0.2000	 QPS: 2569	Comps: 318	 Hops: 30.4000
range: 99123	 recall: 0.2000	 QPS: 4170	Comps: 132	 Hops: 30.4000
range: 99127	 recall: 0.2000	 QPS: 2830	Comps: 261	 Hops: 30.8000
range: 99142	 recall: 0.2000	 QPS: 2054	Comps: 402	 Hops: 30.6000
range: 99143	 recall: 0.3800	 QPS: 1070	Comps: 774	 Hops: 60.4000
range: 99147	 recall: 0.1800	 QPS: 2374	Comps: 335	 Hops: 30.2000
range: 99148	 recall: 0.2000	 QPS: 2476	Comps: 282	 Hops: 30.2000
range: 99149	 recall: 0.4000	 QPS: 1181	Comps: 700	 Hops: 60.4000
range: 99155	 recall: 0.2000	 QPS: 3912	Comps: 168	 Hops: 30.2000
range: 99156	 recall: 0.2000	 QPS: 2555	Comps: 347	 Hops: 30.2000
range: 99158	 recall: 0.3800	 QPS: 1233	Comps: 610	 Hops: 60.4000
range: 99160	 recall: 0.1800	 QPS: 2444	Comps: 354	 Hops: 30.2000
range: 99163	 recall: 0.1800	 QPS: 1944	Comps: 416	 Hops: 31.4000
range: 99164	 recall: 0.2000	 QPS: 2758	Comps: 297	 Hops: 30.2000
range: 99165	 recall: 0.2000	 QPS: 2411	Comps: 342	 Hops: 30.2000
range: 99166	 recall: 0.2000	 QPS: 2088	Comps: 415	 Hops: 30.2000
range: 99168	 recall: 0.2000	 QPS: 4748	Comps: 126	 Hops: 30.2000
range: 99169	 recall: 0.2000	 QPS: 3333	Comps: 223	 Hops: 30.2000
range: 99171	 recall: 0.2000	 QPS: 3086	Comps: 248	 Hops: 30.4000
range: 99173	 recall: 0.4000	 QPS: 1412	Comps: 488	 Hops: 61.2000
range: 99174	 recall: 0.2000	 QPS: 2289	Comps: 352	 Hops: 30.2000
range: 99176	 recall: 0.2000	 QPS: 2796	Comps: 314	 Hops: 30.2000
range: 99177	 recall: 0.4000	 QPS: 1398	Comps: 547	 Hops: 60.6000
range: 99181	 recall: 0.6000	 QPS: 948	Comps: 830	 Hops: 91.0000
range: 99185	 recall: 0.2000	 QPS: 2349	Comps: 300	 Hops: 30.8000
range: 99186	 recall: 0.4000	 QPS: 1197	Comps: 674	 Hops: 60.8000
range: 99187	 recall: 0.5400	 QPS: 749	Comps: 1129	 Hops: 90.6000
range: 99191	 recall: 0.4000	 QPS: 1202	Comps: 628	 Hops: 60.4000
range: 99192	 recall: 0.2000	 QPS: 3203	Comps: 238	 Hops: 30.2000
range: 99193	 recall: 0.4000	 QPS: 1073	Comps: 719	 Hops: 60.4000
range: 99195	 recall: 0.2000	 QPS: 2143	Comps: 358	 Hops: 30.4000
range: 99196	 recall: 0.2000	 QPS: 2219	Comps: 360	 Hops: 31.0000
range: 99199	 recall: 0.2000	 QPS: 2445	Comps: 323	 Hops: 30.4000
range: 99200	 recall: 0.2000	 QPS: 2521	Comps: 329	 Hops: 30.2000
range: 99201	 recall: 0.2000	 QPS: 2491	Comps: 295	 Hops: 30.2000
range: 99202	 recall: 0.2000	 QPS: 2674	Comps: 275	 Hops: 30.4000
range: 99203	 recall: 0.2000	 QPS: 2558	Comps: 326	 Hops: 30.2000
range: 99204	 recall: 0.2000	 QPS: 2084	Comps: 378	 Hops: 30.6000
range: 99205	 recall: 0.5800	 QPS: 752	Comps: 1048	 Hops: 91.8000
range: 99208	 recall: 0.4000	 QPS: 1225	Comps: 650	 Hops: 60.6000
range: 99209	 recall: 0.4000	 QPS: 1199	Comps: 650	 Hops: 60.6000
range: 99210	 recall: 0.1800	 QPS: 2395	Comps: 325	 Hops: 30.2000
range: 99211	 recall: 0.4000	 QPS: 1223	Comps: 628	 Hops: 60.8000
range: 99212	 recall: 0.3800	 QPS: 1159	Comps: 690	 Hops: 60.8000
range: 99213	 recall: 0.2000	 QPS: 2356	Comps: 315	 Hops: 30.4000
range: 99214	 recall: 0.5600	 QPS: 768	Comps: 946	 Hops: 91.2000
range: 99218	 recall: 0.2000	 QPS: 2758	Comps: 264	 Hops: 30.2000
range: 99219	 recall: 0.2000	 QPS: 3524	Comps: 162	 Hops: 30.2000
range: 99221	 recall: 0.7800	 QPS: 637	Comps: 1244	 Hops: 121.0000
range: 99223	 recall: 0.2000	 QPS: 2232	Comps: 365	 Hops: 30.2000
range: 99224	 recall: 0.6000	 QPS: 691	Comps: 1221	 Hops: 90.8000
range: 99225	 recall: 0.2000	 QPS: 2537	Comps: 288	 Hops: 30.2000
range: 99226	 recall: 0.5800	 QPS: 798	Comps: 954	 Hops: 90.6000
range: 99227	 recall: 0.2000	 QPS: 2957	Comps: 295	 Hops: 30.8000
range: 99229	 recall: 0.2000	 QPS: 3115	Comps: 211	 Hops: 30.2000
range: 99230	 recall: 0.2000	 QPS: 1903	Comps: 437	 Hops: 30.4000
range: 99231	 recall: 0.4000	 QPS: 1261	Comps: 602	 Hops: 60.4000
range: 99234	 recall: 0.2000	 QPS: 3045	Comps: 198	 Hops: 30.2000
range: 99235	 recall: 0.4000	 QPS: 1281	Comps: 598	 Hops: 60.4000
range: 99238	 recall: 0.2000	 QPS: 2264	Comps: 344	 Hops: 30.2000
range: 99239	 recall: 0.4000	 QPS: 1220	Comps: 629	 Hops: 60.8000
range: 99241	 recall: 0.2000	 QPS: 2014	Comps: 408	 Hops: 30.6000
range: 99242	 recall: 0.3800	 QPS: 1278	Comps: 616	 Hops: 60.4000
range: 99243	 recall: 0.4000	 QPS: 1578	Comps: 466	 Hops: 60.6000
range: 99246	 recall: 0.2000	 QPS: 2476	Comps: 294	 Hops: 30.2000
range: 99247	 recall: 0.4000	 QPS: 1116	Comps: 753	 Hops: 60.4000
range: 99248	 recall: 0.2000	 QPS: 3113	Comps: 230	 Hops: 30.2000
range: 99249	 recall: 0.2000	 QPS: 3262	Comps: 217	 Hops: 30.2000
range: 99250	 recall: 0.2000	 QPS: 3187	Comps: 229	 Hops: 30.2000
range: 99251	 recall: 0.2000	 QPS: 1804	Comps: 306	 Hops: 30.2000
range: 99253	 recall: 0.2000	 QPS: 3392	Comps: 238	 Hops: 30.4000
range: 99254	 recall: 0.7600	 QPS: 691	Comps: 1121	 Hops: 121.6000
range: 99255	 recall: 0.4000	 QPS: 1284	Comps: 629	 Hops: 60.4000
range: 99256	 recall: 0.2000	 QPS: 4417	Comps: 112	 Hops: 30.8000
range: 99257	 recall: 0.6000	 QPS: 847	Comps: 904	 Hops: 90.8000
range: 99258	 recall: 0.4000	 QPS: 492	Comps: 496	 Hops: 61.0000
range: 99259	 recall: 0.1800	 QPS: 2551	Comps: 340	 Hops: 30.2000
range: 99260	 recall: 0.2000	 QPS: 2305	Comps: 321	 Hops: 30.4000
range: 99262	 recall: 0.4000	 QPS: 854	Comps: 810	 Hops: 60.4000
range: 99263	 recall: 0.4000	 QPS: 481	Comps: 493	 Hops: 60.4000
range: 99264	 recall: 0.6000	 QPS: 896	Comps: 789	 Hops: 90.6000
range: 99265	 recall: 0.2000	 QPS: 2349	Comps: 342	 Hops: 30.4000
