Start time: 19:40
Use SSE
dataset: spacev10m
data_size: 10000000
dataset_path: /mnt/data/mocheng/dataset/spacev10m/base10M.fvecs
query_path: /mnt/data/mocheng/dataset/spacev10m/query10k.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/spacev10m/label/sel_1_100000_random/sif_gt_sel_50000_1_100000_random_100.json
method: compact
index_k: 8
ef_max: 1000
ef_construction: 1000
nthreads: 1
ef_search: 300
qrange_path: /mnt/data/mocheng/dataset/spacev10m/label/sel_1_100000_random/qrangesel_50000_1_100000_random.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/spacev10m/label/sel_1_100000_random/attr_sel_1_100000_random.json
query_k: 100
Load vecs from: /mnt/data/mocheng/dataset/spacev10m/base10M.fvecs
# of vecs: 10000000
get data size:10000000 query size:10000
get data label size:10000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 7.5636600s
search ef:
vertex in set: {300}
Total edge:1770181894
Average degree:177.018
Max. nns length of one point195
Sum of forward nn #: 1770181894
Avg. forward nn #: 177.018
Avg. delta nn #: 177.018
# Load Index Time: 59.4965880s
load index done

Search ef: 300
========================
range: 4997289	 recall: 0.2475	 QPS: 1233	Comps: 896	 Hops: 76.0000
range: 4997319	 recall: 0.2500	 QPS: 1119	Comps: 927	 Hops: 77.5000
range: 4997321	 recall: 0.4650	 QPS: 414	Comps: 2742	 Hops: 155.2500
range: 4997323	 recall: 0.2425	 QPS: 1005	Comps: 1128	 Hops: 77.5000
range: 4997325	 recall: 0.1825	 QPS: 697	Comps: 1714	 Hops: 75.7500
range: 4997326	 recall: 0.2300	 QPS: 799	Comps: 1377	 Hops: 76.0000
range: 4997329	 recall: 0.2300	 QPS: 927	Comps: 1033	 Hops: 78.5000
range: 4997341	 recall: 0.4925	 QPS: 549	Comps: 2069	 Hops: 153.0000
range: 4997356	 recall: 0.2075	 QPS: 755	Comps: 1295	 Hops: 75.7500
range: 4997357	 recall: 0.2300	 QPS: 751	Comps: 1336	 Hops: 77.5000
range: 4997366	 recall: 0.1825	 QPS: 693	Comps: 1330	 Hops: 76.7500
range: 4997368	 recall: 0.4750	 QPS: 404	Comps: 2426	 Hops: 153.2500
range: 4997371	 recall: 0.1875	 QPS: 633	Comps: 1650	 Hops: 77.5000
range: 4997373	 recall: 0.4625	 QPS: 388	Comps: 2741	 Hops: 152.7500
range: 4997374	 recall: 0.2500	 QPS: 970	Comps: 1254	 Hops: 77.0000
range: 4997381	 recall: 0.4525	 QPS: 401	Comps: 2677	 Hops: 157.7500
range: 4997394	 recall: 0.2500	 QPS: 1239	Comps: 861	 Hops: 76.2500
range: 4997406	 recall: 0.2375	 QPS: 784	Comps: 1189	 Hops: 77.0000
range: 4997413	 recall: 0.2225	 QPS: 769	Comps: 1270	 Hops: 77.2500
range: 4997414	 recall: 0.2450	 QPS: 786	Comps: 1281	 Hops: 77.7500
