Start time: 06:48
Use SSE
dataset: YTRGB1m
data_size: 1000000
dataset_path: /mnt/data/mocheng/dataset/youtube1m/rgb.fvecs
query_path: /mnt/data/mocheng/dataset/youtube1m/rgb_query.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/youtube1m/label/sel_1_100000_real/sif_gt_sel_6_1_100000_real_100.json
method: compact
index_k: 8
ef_max: 1000
ef_construction: 1000
nthreads: 1
ef_search: 900
qrange_path: /mnt/data/mocheng/dataset/youtube1m/label/sel_1_100000_real/qrangesel_6_1_100000_real.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/youtube1m/label/sel_1_100000_real/attr_sel_1_100000_real.json
query_k: 100
Load vecs from: /mnt/data/mocheng/dataset/youtube1m/rgb.fvecs
# of vecs: 1000000
get data size:1000000 query size:10000
get data label size:1000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 3.5537170s
search ef:
vertex in set: {900}
using simd16
Total edge:49426092
Average degree:49.4261
Max. nns length of one point180
Sum of forward nn #: 49426092
Avg. forward nn #: 49.4261
Avg. delta nn #: 49.4261
# Load Index Time: 1.6445920s
load index done

Search ef: 900
========================
range: 500001	 recall: 0.9986	 QPS: 15	Comps: 50876	 Hops: 924.1190
range: 500002	 recall: 1.1531	 QPS: 14	Comps: 58693	 Hops: 1076.2858
range: 500003	 recall: 1.3100	 QPS: 12	Comps: 64015	 Hops: 1225.5714
range: 500004	 recall: 1.5052	 QPS: 10	Comps: 77067	 Hops: 1419.2380
range: 500005	 recall: 1.4612	 QPS: 11	Comps: 68572	 Hops: 1354.3810
range: 500006	 recall: 1.6195	 QPS: 9	Comps: 83665	 Hops: 1505.3096
range: 500007	 recall: 1.6157	 QPS: 9	Comps: 89314	 Hops: 1505.7142
range: 500008	 recall: 2.0581	 QPS: 8	Comps: 104170	 Hops: 1913.6904
range: 500009	 recall: 1.9307	 QPS: 8	Comps: 94232	 Hops: 1806.4048
range: 500010	 recall: 2.3076	 QPS: 7	Comps: 122244	 Hops: 2128.4048
range: 500011	 recall: 2.1131	 QPS: 7	Comps: 111347	 Hops: 1977.5714
range: 500012	 recall: 1.9507	 QPS: 8	Comps: 104744	 Hops: 1827.1190
range: 500013	 recall: 2.0207	 QPS: 7	Comps: 109505	 Hops: 1870.4762
range: 500014	 recall: 2.1036	 QPS: 7	Comps: 106274	 Hops: 1956.9762
range: 500015	 recall: 2.0114	 QPS: 7	Comps: 105205	 Hops: 1870.0238
range: 500016	 recall: 2.3764	 QPS: 6	Comps: 123731	 Hops: 2192.4761
range: 500017	 recall: 2.1274	 QPS: 7	Comps: 117261	 Hops: 1999.0952
range: 500018	 recall: 1.8629	 QPS: 8	Comps: 96811	 Hops: 1742.2142
range: 500019	 recall: 1.8607	 QPS: 8	Comps: 103054	 Hops: 1741.0238
range: 500020	 recall: 2.2869	 QPS: 7	Comps: 122508	 Hops: 2129.0000
range: 500021	 recall: 2.2538	 QPS: 6	Comps: 123944	 Hops: 2106.8809
range: 500022	 recall: 2.3381	 QPS: 6	Comps: 132821	 Hops: 2170.9285
range: 500023	 recall: 1.9271	 QPS: 8	Comps: 102538	 Hops: 1806.6190
range: 500024	 recall: 2.6579	 QPS: 6	Comps: 133600	 Hops: 2472.4285
range: 500025	 recall: 2.1874	 QPS: 6	Comps: 124246	 Hops: 2041.6904
range: 500026	 recall: 1.9333	 QPS: 8	Comps: 99056	 Hops: 1784.3810
