Start time: 19:42
Use SSE
dataset: sift10M
data_size: 10000000
dataset_path: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
query_path: /mnt/data/mocheng/dataset/sift10m/sift10m_query.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/sif_gt_sel_50000_1_100000_random_10.json
method: compact
index_k: 8
ef_max: 1000
ef_construction: 1000
nthreads: 1
ef_search: 80
qrange_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/qrangesel_50000_1_100000_random.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/attr_sel_1_100000_random.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
# of vecs: 10000000
get data size:10000000 query size:10000
get data label size:10000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 12.3184490s
search ef:
vertex in set: {80}
using simd16
Total edge:1847187476
Average degree:184.719
Max. nns length of one point194
Sum of forward nn #: 1847187476
Avg. forward nn #: 184.719
Avg. delta nn #: 184.719
# Load Index Time: 23.1859570s
load index done

Search ef: 80
========================
range: 4995068	 recall: 0.5000	 QPS: 3210	Comps: 412	 Hops: 42.0000
range: 4995071	 recall: 0.5000	 QPS: 1947	Comps: 733	 Hops: 43.5000
range: 4995078	 recall: 0.4500	 QPS: 1397	Comps: 1068	 Hops: 45.0000
range: 4995079	 recall: 0.9500	 QPS: 823	Comps: 1800	 Hops: 88.5000
range: 4995122	 recall: 0.4000	 QPS: 2237	Comps: 652	 Hops: 41.5000
range: 4995125	 recall: 0.5000	 QPS: 2128	Comps: 658	 Hops: 45.0000
range: 4995126	 recall: 0.5000	 QPS: 1696	Comps: 750	 Hops: 43.0000
range: 4995131	 recall: 0.3500	 QPS: 1658	Comps: 870	 Hops: 42.5000
range: 4995157	 recall: 0.5000	 QPS: 1106	Comps: 1220	 Hops: 43.5000
range: 4995193	 recall: 0.4500	 QPS: 1745	Comps: 854	 Hops: 43.0000
range: 4995210	 recall: 0.4500	 QPS: 1871	Comps: 751	 Hops: 42.5000
range: 4995216	 recall: 0.5000	 QPS: 1883	Comps: 814	 Hops: 43.0000
range: 4995218	 recall: 0.4000	 QPS: 1676	Comps: 886	 Hops: 46.5000
range: 4995233	 recall: 0.4500	 QPS: 1613	Comps: 874	 Hops: 42.5000
range: 4995237	 recall: 0.4500	 QPS: 1562	Comps: 919	 Hops: 51.0000
range: 4995239	 recall: 0.3500	 QPS: 1448	Comps: 1044	 Hops: 43.5000
range: 4995242	 recall: 0.5000	 QPS: 2176	Comps: 656	 Hops: 42.5000
range: 4995247	 recall: 0.5000	 QPS: 2160	Comps: 668	 Hops: 43.0000
range: 4995253	 recall: 0.5000	 QPS: 2043	Comps: 721	 Hops: 44.5000
range: 4995256	 recall: 0.4000	 QPS: 2083	Comps: 698	 Hops: 43.0000
range: 4995258	 recall: 0.3500	 QPS: 1754	Comps: 846	 Hops: 42.0000
range: 4995262	 recall: 0.4500	 QPS: 1475	Comps: 896	 Hops: 43.0000
range: 4995266	 recall: 0.5000	 QPS: 2548	Comps: 539	 Hops: 45.0000
range: 4995274	 recall: 0.5000	 QPS: 1575	Comps: 938	 Hops: 44.0000
range: 4995277	 recall: 1.0000	 QPS: 806	Comps: 1786	 Hops: 95.5000
range: 4995280	 recall: 0.5000	 QPS: 2174	Comps: 654	 Hops: 42.5000
range: 4995282	 recall: 0.5000	 QPS: 1773	Comps: 837	 Hops: 43.5000
range: 4995289	 recall: 0.8000	 QPS: 845	Comps: 1746	 Hops: 89.0000
range: 4995295	 recall: 0.5000	 QPS: 2130	Comps: 686	 Hops: 44.0000
range: 4995303	 recall: 0.5000	 QPS: 2304	Comps: 603	 Hops: 43.5000
range: 4995305	 recall: 0.4000	 QPS: 1635	Comps: 891	 Hops: 44.0000
range: 4995306	 recall: 0.5000	 QPS: 2587	Comps: 522	 Hops: 43.0000
range: 4995317	 recall: 0.4000	 QPS: 1647	Comps: 910	 Hops: 45.0000
range: 4995327	 recall: 0.8500	 QPS: 697	Comps: 2162	 Hops: 85.5000
range: 4995337	 recall: 0.9500	 QPS: 692	Comps: 2091	 Hops: 87.0000
