Start time: 01:28
dataset: spacev10m
data_size: 10000000
dataset_path: /mnt/data/mocheng/dataset/yfcc10m/base10M.fvecs
query_path: /mnt/data/mocheng/dataset/yfcc10m/query10k.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/yfcc10m/label/sel_1_100000_dist/sif_gt_sel_1000_1_100000_in_dist_10.json
method: compact
index_k: 8
ef_max: 500
ef_construction: 100
nthreads: 1
ef_search: 1000
qrange_path: /mnt/data/mocheng/dataset/yfcc10m/label/sel_1_100000_dist/qrangesel_1000_1_100000_in_dist.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/yfcc10m/label/sel_1_100000_dist/attr_sel_1_100000_dist.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/yfcc10m/base10M.fvecs
# of vecs: 10000000
get data size:10000000 query size:10000
get data label size:10000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 21.8312410s
search ef:
vertex in set: {1000}
Max. nns length of one point171
Sum of forward nn #: 1518421284
Avg. forward nn #: 151.842
Avg. delta nn #: 151.842
# Load Index Time: 44.5907460s

Search ef: 1000
========================
range: 42348	 recall: 0.0000	 QPS: 553	Comps: 818	 Hops: 251.2500
range: 43235	 recall: 0.0250	 QPS: 306	Comps: 707	 Hops: 251.7500
range: 43451	 recall: 0.0000	 QPS: 518	Comps: 922	 Hops: 251.2500
range: 44222	 recall: 0.0000	 QPS: 604	Comps: 705	 Hops: 251.2500
range: 44709	 recall: 0.0000	 QPS: 603	Comps: 688	 Hops: 251.2500
range: 47513	 recall: 0.0250	 QPS: 457	Comps: 1089	 Hops: 251.2500
range: 47801	 recall: 0.0000	 QPS: 506	Comps: 906	 Hops: 251.0000
range: 47895	 recall: 0.0000	 QPS: 596	Comps: 700	 Hops: 251.2500
range: 48062	 recall: 0.0000	 QPS: 454	Comps: 984	 Hops: 252.2500
range: 48281	 recall: 0.0000	 QPS: 561	Comps: 811	 Hops: 251.0000
range: 49776	 recall: 0.0000	 QPS: 259	Comps: 1752	 Hops: 502.2500
range: 49999	 recall: 0.0000	 QPS: 290	Comps: 695	 Hops: 250.7500
range: 50197	 recall: 0.0000	 QPS: 257	Comps: 1877	 Hops: 501.7500
range: 51296	 recall: 0.0000	 QPS: 546	Comps: 844	 Hops: 252.0000
range: 51397	 recall: 0.0000	 QPS: 248	Comps: 1730	 Hops: 506.5000
