Start time: 03:36
dataset: spacev10m
data_size: 10000000
dataset_path: /mnt/data/mocheng/dataset/spacev10m/base10M.fvecs
query_path: /mnt/data/mocheng/dataset/spacev10m/query10k.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/spacev10m/label/sel_1_100000_random/sif_gt_sel_1000_1_100000_random_10.json
method: compact
index_k: 8
ef_max: 500
ef_construction: 100
nthreads: 1
ef_search: 500
qrange_path: /mnt/data/mocheng/dataset/spacev10m/label/sel_1_100000_random/qrangesel_1000_1_100000_random.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/spacev10m/label/sel_1_100000_random/attr_sel_1_100000_random.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/spacev10m/base10M.fvecs
# of vecs: 10000000
get data size:10000000 query size:10000
get data label size:10000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 23.6856180s
search ef:
vertex in set: {500}
Max. nns length of one point173
Sum of forward nn #: 1509162900
Avg. forward nn #: 150.916
Avg. delta nn #: 150.916
# Load Index Time: 39.5789080s

Search ef: 500
========================
range: 99198	 recall: 0.1429	 QPS: 1409	Comps: 527	 Hops: 71.7143
range: 99203	 recall: 0.1429	 QPS: 1202	Comps: 492	 Hops: 72.8571
range: 99209	 recall: 0.1429	 QPS: 1472	Comps: 476	 Hops: 71.8571
range: 99210	 recall: 0.1429	 QPS: 1495	Comps: 466	 Hops: 71.5714
range: 99212	 recall: 0.1429	 QPS: 1260	Comps: 610	 Hops: 72.2857
range: 99213	 recall: 0.1429	 QPS: 1238	Comps: 626	 Hops: 73.0000
range: 99215	 recall: 0.2143	 QPS: 610	Comps: 1173	 Hops: 144.0000
range: 99223	 recall: 0.1429	 QPS: 1633	Comps: 392	 Hops: 71.8571
range: 99228	 recall: 0.1429	 QPS: 944	Comps: 663	 Hops: 71.7143
range: 99233	 recall: 0.1429	 QPS: 1287	Comps: 576	 Hops: 72.7143
range: 99234	 recall: 0.1286	 QPS: 1472	Comps: 469	 Hops: 71.5714
range: 99236	 recall: 0.1286	 QPS: 1948	Comps: 269	 Hops: 73.2857
range: 99238	 recall: 0.1429	 QPS: 1217	Comps: 635	 Hops: 72.2857
range: 99239	 recall: 0.1000	 QPS: 1478	Comps: 448	 Hops: 72.7143
range: 99244	 recall: 0.1286	 QPS: 1098	Comps: 730	 Hops: 72.7143
range: 99247	 recall: 0.1286	 QPS: 1250	Comps: 510	 Hops: 78.7143
range: 99251	 recall: 0.4143	 QPS: 472	Comps: 1465	 Hops: 218.1429
range: 99260	 recall: 0.1429	 QPS: 1450	Comps: 471	 Hops: 72.2857
range: 99262	 recall: 0.2571	 QPS: 779	Comps: 857	 Hops: 144.5714
range: 99263	 recall: 0.1000	 QPS: 1204	Comps: 612	 Hops: 72.2857
range: 99264	 recall: 0.1143	 QPS: 1338	Comps: 557	 Hops: 72.0000
range: 99267	 recall: 0.3571	 QPS: 390	Comps: 1948	 Hops: 225.7143
range: 99268	 recall: 0.4000	 QPS: 477	Comps: 1349	 Hops: 215.5714
range: 99269	 recall: 0.1429	 QPS: 1500	Comps: 473	 Hops: 71.8571
range: 99270	 recall: 0.2286	 QPS: 635	Comps: 1168	 Hops: 145.4286
range: 99271	 recall: 0.1429	 QPS: 1114	Comps: 698	 Hops: 72.5714
range: 99272	 recall: 0.2857	 QPS: 874	Comps: 705	 Hops: 143.5714
range: 99273	 recall: 0.1143	 QPS: 1082	Comps: 710	 Hops: 72.1429
range: 99274	 recall: 0.1286	 QPS: 1044	Comps: 496	 Hops: 72.4286
range: 99276	 recall: 0.1143	 QPS: 1090	Comps: 737	 Hops: 72.0000
range: 99277	 recall: 0.2857	 QPS: 845	Comps: 742	 Hops: 143.8571
range: 99278	 recall: 0.1429	 QPS: 1101	Comps: 661	 Hops: 71.7143
range: 99279	 recall: 0.2714	 QPS: 621	Comps: 1196	 Hops: 144.8571
range: 99280	 recall: 0.1286	 QPS: 1238	Comps: 555	 Hops: 73.0000
range: 99281	 recall: 0.1429	 QPS: 1204	Comps: 639	 Hops: 72.2857
range: 99282	 recall: 0.1429	 QPS: 1436	Comps: 472	 Hops: 72.8571
range: 99284	 recall: 0.1429	 QPS: 1377	Comps: 547	 Hops: 73.2857
range: 99288	 recall: 0.3714	 QPS: 500	Comps: 1380	 Hops: 216.8571
range: 99289	 recall: 0.4286	 QPS: 461	Comps: 1502	 Hops: 219.8571
range: 99290	 recall: 0.1429	 QPS: 1402	Comps: 482	 Hops: 73.5714
range: 99293	 recall: 0.2571	 QPS: 713	Comps: 931	 Hops: 146.2857
range: 99294	 recall: 0.1143	 QPS: 1239	Comps: 557	 Hops: 72.0000
range: 99295	 recall: 0.1429	 QPS: 1251	Comps: 592	 Hops: 72.5714
range: 99300	 recall: 0.1429	 QPS: 1406	Comps: 530	 Hops: 71.8571
range: 99301	 recall: 0.1429	 QPS: 1646	Comps: 422	 Hops: 72.0000
range: 99303	 recall: 0.2714	 QPS: 695	Comps: 1054	 Hops: 143.7143
range: 99304	 recall: 0.2857	 QPS: 386	Comps: 781	 Hops: 145.5714
range: 99305	 recall: 0.1429	 QPS: 1359	Comps: 523	 Hops: 72.8571
range: 99306	 recall: 0.1286	 QPS: 1092	Comps: 696	 Hops: 72.0000
range: 99310	 recall: 0.4286	 QPS: 515	Comps: 1286	 Hops: 216.4286
range: 99311	 recall: 0.2857	 QPS: 663	Comps: 1117	 Hops: 144.4286
range: 99313	 recall: 0.2857	 QPS: 678	Comps: 1122	 Hops: 143.7143
range: 99314	 recall: 0.1429	 QPS: 1298	Comps: 593	 Hops: 71.7143
range: 99316	 recall: 0.1286	 QPS: 1105	Comps: 723	 Hops: 71.5714
range: 99317	 recall: 0.4143	 QPS: 524	Comps: 1240	 Hops: 217.8571
range: 99318	 recall: 0.1286	 QPS: 1416	Comps: 519	 Hops: 73.0000
range: 99320	 recall: 0.4143	 QPS: 457	Comps: 1606	 Hops: 215.2857
range: 99321	 recall: 0.4143	 QPS: 498	Comps: 1327	 Hops: 215.5714
range: 99322	 recall: 0.2429	 QPS: 830	Comps: 788	 Hops: 145.1429
range: 99323	 recall: 0.1429	 QPS: 1290	Comps: 512	 Hops: 72.2857
range: 99325	 recall: 0.2857	 QPS: 724	Comps: 978	 Hops: 144.5714
range: 99326	 recall: 0.1429	 QPS: 1711	Comps: 351	 Hops: 72.2857
range: 99327	 recall: 0.2714	 QPS: 617	Comps: 1153	 Hops: 143.5714
range: 99329	 recall: 0.1429	 QPS: 1375	Comps: 549	 Hops: 71.7143
range: 99330	 recall: 0.1429	 QPS: 1288	Comps: 590	 Hops: 72.7143
range: 99331	 recall: 0.1429	 QPS: 1277	Comps: 421	 Hops: 72.7143
range: 99332	 recall: 0.1429	 QPS: 1436	Comps: 503	 Hops: 72.1429
