Start time: 13:00
dataset: spacev10m
data_size: 10000000
dataset_path: /mnt/data/mocheng/dataset/spacev10m/base10M.fvecs
query_path: /mnt/data/mocheng/dataset/spacev10m/query10k.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/spacev10m/label/sel_1_100000_dist/sif_gt_sel_1000_1_100000_in_dist_10.json
method: compact
index_k: 8
ef_max: 500
ef_construction: 100
nthreads: 1
ef_search: 150
qrange_path: /mnt/data/mocheng/dataset/spacev10m/label/sel_1_100000_dist/qrangesel_1000_1_100000_in_dist.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/spacev10m/label/sel_1_100000_dist/attr_sel_1_100000_dist.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/spacev10m/base10M.fvecs
# of vecs: 10000000
get data size:10000000 query size:10000
get data label size:10000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 19.7773810s
search ef:
vertex in set: {150}
Max. nns length of one point167
Sum of forward nn #: 1505898590
Avg. forward nn #: 150.59
Avg. delta nn #: 150.59
# Load Index Time: 42.3066390s

Search ef: 150
========================
range: 42318	 recall: 0.1400	 QPS: 1427	Comps: 161	 Hops: 34.0000
range: 44993	 recall: 0.1600	 QPS: 1714	Comps: 247	 Hops: 30.6000
range: 45758	 recall: 0.2000	 QPS: 3362	Comps: 197	 Hops: 31.0000
range: 46054	 recall: 0.3800	 QPS: 1397	Comps: 437	 Hops: 65.6000
range: 46514	 recall: 0.2000	 QPS: 3322	Comps: 200	 Hops: 32.8000
range: 46585	 recall: 0.1800	 QPS: 3706	Comps: 173	 Hops: 31.6000
range: 46685	 recall: 0.2000	 QPS: 2994	Comps: 220	 Hops: 34.6000
range: 46806	 recall: 0.1000	 QPS: 3303	Comps: 196	 Hops: 32.2000
range: 47130	 recall: 0.1400	 QPS: 2415	Comps: 250	 Hops: 44.8000
range: 47331	 recall: 0.0600	 QPS: 2945	Comps: 242	 Hops: 32.0000
range: 47715	 recall: 0.1600	 QPS: 3544	Comps: 175	 Hops: 34.8000
range: 48102	 recall: 0.2000	 QPS: 3723	Comps: 145	 Hops: 31.0000
range: 48982	 recall: 0.2000	 QPS: 3406	Comps: 211	 Hops: 30.8000
range: 50513	 recall: 0.1400	 QPS: 3320	Comps: 197	 Hops: 33.2000
range: 51181	 recall: 0.1800	 QPS: 2385	Comps: 208	 Hops: 30.6000
range: 52045	 recall: 0.1800	 QPS: 4277	Comps: 122	 Hops: 30.8000
range: 53147	 recall: 0.1800	 QPS: 2817	Comps: 229	 Hops: 34.0000
range: 53318	 recall: 0.0000	 QPS: 3494	Comps: 181	 Hops: 32.6000
range: 53692	 recall: 0.1200	 QPS: 2834	Comps: 197	 Hops: 33.8000
range: 55159	 recall: 0.1400	 QPS: 1752	Comps: 274	 Hops: 37.6000
range: 55649	 recall: 0.2000	 QPS: 2627	Comps: 193	 Hops: 31.6000
range: 58334	 recall: 0.1800	 QPS: 3102	Comps: 230	 Hops: 30.8000
range: 58662	 recall: 0.1600	 QPS: 2244	Comps: 294	 Hops: 34.4000
range: 59151	 recall: 0.2000	 QPS: 2015	Comps: 346	 Hops: 31.2000
range: 59738	 recall: 0.1800	 QPS: 2738	Comps: 282	 Hops: 30.2000
range: 59975	 recall: 0.1600	 QPS: 3003	Comps: 210	 Hops: 35.2000
range: 60333	 recall: 0.2000	 QPS: 2062	Comps: 204	 Hops: 32.2000
range: 62739	 recall: 0.1400	 QPS: 3406	Comps: 197	 Hops: 31.2000
range: 63743	 recall: 0.3000	 QPS: 1411	Comps: 472	 Hops: 72.8000
range: 63853	 recall: 0.1800	 QPS: 1274	Comps: 222	 Hops: 32.4000
range: 64093	 recall: 0.2000	 QPS: 1976	Comps: 246	 Hops: 34.0000
range: 64259	 recall: 0.1800	 QPS: 2680	Comps: 264	 Hops: 33.0000
range: 65152	 recall: 0.1800	 QPS: 1707	Comps: 248	 Hops: 31.4000
range: 66263	 recall: 0.2000	 QPS: 1880	Comps: 427	 Hops: 30.8000
range: 66579	 recall: 0.2000	 QPS: 3358	Comps: 205	 Hops: 31.6000
range: 66686	 recall: 0.1200	 QPS: 2661	Comps: 261	 Hops: 34.4000
range: 66788	 recall: 0.2000	 QPS: 2018	Comps: 310	 Hops: 31.0000
range: 66955	 recall: 0.1400	 QPS: 2761	Comps: 263	 Hops: 31.0000
range: 67727	 recall: 0.2000	 QPS: 2790	Comps: 205	 Hops: 30.6000
range: 67955	 recall: 0.2000	 QPS: 3582	Comps: 192	 Hops: 31.2000
range: 69089	 recall: 0.1600	 QPS: 2141	Comps: 365	 Hops: 35.0000
range: 69194	 recall: 0.2000	 QPS: 2764	Comps: 233	 Hops: 33.4000
range: 69626	 recall: 0.2000	 QPS: 3001	Comps: 225	 Hops: 34.2000
range: 70870	 recall: 0.2000	 QPS: 2957	Comps: 191	 Hops: 30.8000
range: 71187	 recall: 0.1800	 QPS: 2976	Comps: 227	 Hops: 31.6000
range: 71287	 recall: 0.2000	 QPS: 3685	Comps: 186	 Hops: 31.8000
range: 71504	 recall: 0.2000	 QPS: 3427	Comps: 209	 Hops: 31.8000
range: 71576	 recall: 0.2000	 QPS: 3731	Comps: 158	 Hops: 31.4000
range: 71614	 recall: 0.1800	 QPS: 2220	Comps: 184	 Hops: 30.2000
range: 71826	 recall: 0.2000	 QPS: 3240	Comps: 217	 Hops: 30.4000
range: 71871	 recall: 0.1600	 QPS: 2807	Comps: 263	 Hops: 30.6000
range: 72138	 recall: 0.1800	 QPS: 3262	Comps: 226	 Hops: 31.6000
range: 72623	 recall: 0.2000	 QPS: 1618	Comps: 209	 Hops: 30.2000
range: 72948	 recall: 0.1000	 QPS: 2767	Comps: 263	 Hops: 30.8000
range: 73197	 recall: 0.2000	 QPS: 2048	Comps: 251	 Hops: 34.2000
range: 74851	 recall: 0.2000	 QPS: 3021	Comps: 224	 Hops: 30.6000
range: 74972	 recall: 0.1400	 QPS: 2326	Comps: 318	 Hops: 33.6000
range: 76197	 recall: 0.1800	 QPS: 2433	Comps: 317	 Hops: 33.2000
range: 76640	 recall: 0.1800	 QPS: 2130	Comps: 228	 Hops: 33.0000
range: 76725	 recall: 0.1200	 QPS: 3041	Comps: 232	 Hops: 30.4000
range: 78317	 recall: 0.1600	 QPS: 3054	Comps: 244	 Hops: 30.4000
range: 79009	 recall: 0.1400	 QPS: 2823	Comps: 242	 Hops: 31.0000
range: 79170	 recall: 0.1400	 QPS: 1217	Comps: 199	 Hops: 30.8000
range: 79402	 recall: 0.1600	 QPS: 2028	Comps: 381	 Hops: 32.8000
range: 79808	 recall: 0.2000	 QPS: 3621	Comps: 195	 Hops: 30.2000
range: 81043	 recall: 0.1400	 QPS: 1982	Comps: 371	 Hops: 34.2000
range: 81549	 recall: 0.2000	 QPS: 3238	Comps: 205	 Hops: 32.0000
range: 82168	 recall: 0.2000	 QPS: 788	Comps: 249	 Hops: 30.6000
range: 82440	 recall: 0.4000	 QPS: 1368	Comps: 481	 Hops: 65.2000
range: 82652	 recall: 0.2000	 QPS: 2945	Comps: 242	 Hops: 31.6000
range: 83106	 recall: 0.2000	 QPS: 3489	Comps: 193	 Hops: 31.2000
range: 83330	 recall: 0.1800	 QPS: 2924	Comps: 246	 Hops: 32.2000
range: 83756	 recall: 0.2000	 QPS: 3230	Comps: 169	 Hops: 30.8000
range: 84280	 recall: 0.2000	 QPS: 2458	Comps: 228	 Hops: 31.6000
range: 84675	 recall: 0.1400	 QPS: 1495	Comps: 368	 Hops: 39.4000
range: 85673	 recall: 0.1800	 QPS: 2665	Comps: 272	 Hops: 31.6000
range: 86005	 recall: 0.1800	 QPS: 1734	Comps: 226	 Hops: 32.6000
range: 86014	 recall: 0.1800	 QPS: 2453	Comps: 259	 Hops: 30.8000
range: 86095	 recall: 0.1400	 QPS: 2467	Comps: 303	 Hops: 32.4000
range: 87641	 recall: 0.2000	 QPS: 3307	Comps: 227	 Hops: 30.8000
range: 88169	 recall: 0.1800	 QPS: 3083	Comps: 229	 Hops: 30.4000
range: 88462	 recall: 0.2000	 QPS: 2627	Comps: 270	 Hops: 35.6000
range: 88921	 recall: 0.1400	 QPS: 2567	Comps: 286	 Hops: 30.8000
range: 89928	 recall: 0.1000	 QPS: 2556	Comps: 284	 Hops: 35.2000
range: 89996	 recall: 0.1200	 QPS: 2220	Comps: 345	 Hops: 31.6000
range: 90031	 recall: 0.2000	 QPS: 2353	Comps: 319	 Hops: 32.0000
range: 90562	 recall: 0.2000	 QPS: 1996	Comps: 261	 Hops: 35.6000
range: 91939	 recall: 0.2000	 QPS: 2560	Comps: 260	 Hops: 30.8000
range: 92581	 recall: 0.1800	 QPS: 1011	Comps: 257	 Hops: 32.4000
range: 92839	 recall: 0.1600	 QPS: 2054	Comps: 389	 Hops: 30.2000
range: 94099	 recall: 0.1800	 QPS: 2844	Comps: 252	 Hops: 32.4000
range: 94346	 recall: 0.2000	 QPS: 1788	Comps: 185	 Hops: 32.6000
range: 94450	 recall: 0.2000	 QPS: 2939	Comps: 217	 Hops: 30.6000
range: 95244	 recall: 0.2000	 QPS: 3079	Comps: 218	 Hops: 32.0000
range: 95319	 recall: 0.2000	 QPS: 2740	Comps: 251	 Hops: 32.4000
range: 95436	 recall: 0.1200	 QPS: 1856	Comps: 397	 Hops: 31.6000
range: 95701	 recall: 0.1800	 QPS: 2660	Comps: 280	 Hops: 30.6000
range: 96235	 recall: 0.1800	 QPS: 2636	Comps: 283	 Hops: 32.0000
range: 96304	 recall: 0.1800	 QPS: 2426	Comps: 323	 Hops: 31.0000
range: 96457	 recall: 0.1000	 QPS: 2395	Comps: 317	 Hops: 34.6000
range: 96623	 recall: 0.2000	 QPS: 2818	Comps: 260	 Hops: 31.4000
range: 97136	 recall: 0.1600	 QPS: 2608	Comps: 282	 Hops: 32.2000
range: 97449	 recall: 0.2000	 QPS: 3129	Comps: 229	 Hops: 31.0000
range: 97705	 recall: 0.2000	 QPS: 2814	Comps: 268	 Hops: 32.2000
