Start time: 09:08
dataset: sift10M
data_size: 10000000
dataset_path: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
query_path: /mnt/data/mocheng/dataset/sift10m/sift10m_query.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/sif_gt_sel_1000_1_100000_random_10.json
method: compact
index_k: 8
ef_max: 500
ef_construction: 1000
nthreads: 1
ef_search: 1000
qrange_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/qrangesel_1000_1_100000_random.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/attr_sel_1_100000_random.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
# of vecs: 10000000
get data size:10000000 query size:10000
get data label size:10000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 26.4763890s
search ef:
vertex in set: {1000}
Max. nns length of one point167
Sum of forward nn #: 1579910914
Avg. forward nn #: 157.991
Avg. delta nn #: 157.991
# Load Index Time: 51.6766150s

Search ef: 1000
========================
range: 98725	 recall: 0.0130	 QPS: 5989	Comps: 89	 Hops: 13.0260
range: 98801	 recall: 0.0519	 QPS: 1830	Comps: 283	 Hops: 52.1558
range: 98802	 recall: 0.0130	 QPS: 9670	Comps: 68	 Hops: 13.0519
range: 98877	 recall: 0.0390	 QPS: 2736	Comps: 160	 Hops: 39.1818
range: 98878	 recall: 0.1039	 QPS: 914	Comps: 532	 Hops: 104.2078
range: 98954	 recall: 0.0260	 QPS: 4574	Comps: 123	 Hops: 26.0909
range: 98955	 recall: 0.0390	 QPS: 2406	Comps: 190	 Hops: 39.0649
range: 99029	 recall: 0.0390	 QPS: 2427	Comps: 187	 Hops: 39.1558
range: 99030	 recall: 0.1532	 QPS: 585	Comps: 823	 Hops: 156.3636
range: 99031	 recall: 0.2338	 QPS: 374	Comps: 1254	 Hops: 234.6494
range: 99105	 recall: 0.0130	 QPS: 6223	Comps: 80	 Hops: 13.0390
range: 99106	 recall: 0.2468	 QPS: 343	Comps: 1377	 Hops: 248.0260
range: 99107	 recall: 0.5065	 QPS: 173	Comps: 2697	 Hops: 508.7013
range: 99108	 recall: 0.1286	 QPS: 597	Comps: 795	 Hops: 130.5714
range: 99109	 recall: 0.0130	 QPS: 6646	Comps: 68	 Hops: 13.0260
range: 99182	 recall: 0.3896	 QPS: 236	Comps: 1969	 Hops: 390.8961
range: 99183	 recall: 1.0753	 QPS: 78	Comps: 5911	 Hops: 1082.5585
range: 99184	 recall: 0.4260	 QPS: 202	Comps: 2319	 Hops: 430.1688
range: 99185	 recall: 0.0260	 QPS: 3179	Comps: 146	 Hops: 26.1558
range: 99258	 recall: 0.1818	 QPS: 470	Comps: 991	 Hops: 182.7403
range: 99259	 recall: 1.1000	 QPS: 76	Comps: 5644	 Hops: 1108.3247
range: 99260	 recall: 0.8662	 QPS: 102	Comps: 4443	 Hops: 873.3117
range: 99261	 recall: 0.3247	 QPS: 255	Comps: 1739	 Hops: 325.8312
range: 99262	 recall: 0.0117	 QPS: 5472	Comps: 96	 Hops: 13.0130
range: 99298	 recall: 0.0130	 QPS: 8142	Comps: 47	 Hops: 13.0390
range: 99334	 recall: 0.2727	 QPS: 312	Comps: 1464	 Hops: 273.5454
range: 99335	 recall: 1.0857	 QPS: 76	Comps: 5969	 Hops: 1095.2727
range: 99336	 recall: 1.7013	 QPS: 50	Comps: 9113	 Hops: 1707.7792
range: 99337	 recall: 0.6351	 QPS: 132	Comps: 3615	 Hops: 639.1169
range: 99338	 recall: 0.0649	 QPS: 1191	Comps: 390	 Hops: 65.2597
range: 99375	 recall: 0.0130	 QPS: 5709	Comps: 94	 Hops: 13.2597
range: 99410	 recall: 0.0260	 QPS: 2944	Comps: 150	 Hops: 26.0649
range: 99411	 recall: 0.8818	 QPS: 90	Comps: 4846	 Hops: 886.9611
range: 99412	 recall: 1.6455	 QPS: 51	Comps: 8940	 Hops: 1655.7922
range: 99413	 recall: 0.8312	 QPS: 102	Comps: 4460	 Hops: 834.6234
range: 99414	 recall: 0.1286	 QPS: 639	Comps: 760	 Hops: 130.2987
range: 99487	 recall: 0.5195	 QPS: 154	Comps: 2838	 Hops: 521.5844
range: 99488	 recall: 3.2260	 QPS: 25	Comps: 17510	 Hops: 3246.9480
range: 99489	 recall: 1.8922	 QPS: 42	Comps: 10318	 Hops: 1904.1818
range: 99490	 recall: 0.2597	 QPS: 324	Comps: 1405	 Hops: 260.7143
range: 99563	 recall: 0.3896	 QPS: 202	Comps: 2191	 Hops: 391.0000
range: 99564	 recall: 2.9494	 QPS: 28	Comps: 15504	 Hops: 2972.6233
range: 99565	 recall: 2.7987	 QPS: 29	Comps: 15183	 Hops: 2815.5195
range: 99566	 recall: 0.8052	 QPS: 104	Comps: 4249	 Hops: 808.1169
range: 99567	 recall: 0.1299	 QPS: 627	Comps: 756	 Hops: 130.4286
range: 99639	 recall: 0.2597	 QPS: 345	Comps: 1262	 Hops: 260.8701
range: 99640	 recall: 2.6714	 QPS: 31	Comps: 14426	 Hops: 2686.8311
range: 99641	 recall: 4.7169	 QPS: 17	Comps: 25357	 Hops: 4747.7920
range: 99642	 recall: 1.8260	 QPS: 44	Comps: 9777	 Hops: 1838.7792
range: 99643	 recall: 0.1299	 QPS: 717	Comps: 643	 Hops: 130.2208
range: 99715	 recall: 0.1039	 QPS: 594	Comps: 553	 Hops: 104.2597
range: 99716	 recall: 1.6052	 QPS: 51	Comps: 8991	 Hops: 1616.8182
range: 99717	 recall: 3.9532	 QPS: 21	Comps: 21064	 Hops: 3977.3896
range: 99718	 recall: 2.1273	 QPS: 40	Comps: 11182	 Hops: 2139.7793
range: 99719	 recall: 0.4545	 QPS: 179	Comps: 2283	 Hops: 456.6623
range: 99720	 recall: 0.0260	 QPS: 3476	Comps: 132	 Hops: 26.0260
range: 99755	 recall: 0.0260	 QPS: 3037	Comps: 157	 Hops: 26.0260
range: 99792	 recall: 0.6234	 QPS: 120	Comps: 3399	 Hops: 625.8052
range: 99793	 recall: 5.6519	 QPS: 15	Comps: 30847	 Hops: 5683.8052
range: 99794	 recall: 4.6221	 QPS: 18	Comps: 25123	 Hops: 4654.6753
range: 99795	 recall: 0.9377	 QPS: 83	Comps: 5238	 Hops: 952.2208
range: 99832	 recall: 0.0130	 QPS: 8998	Comps: 69	 Hops: 13.0390
range: 99868	 recall: 0.2455	 QPS: 292	Comps: 1398	 Hops: 248.0390
range: 99869	 recall: 3.6234	 QPS: 23	Comps: 19349	 Hops: 3651.1169
range: 99870	 recall: 4.3078	 QPS: 19	Comps: 23732	 Hops: 4342.8569
range: 99871	 recall: 1.5039	 QPS: 57	Comps: 8157	 Hops: 1512.1428
range: 99872	 recall: 0.2208	 QPS: 347	Comps: 1242	 Hops: 221.8961
