Start time: 19:27
dataset: deep10m
data_size: 10000000
dataset_path: /mnt/data/mocheng/dataset/deep10m/base.10M.fvecs
query_path: /mnt/data/mocheng/dataset/deep10m/query.public.10K.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/deep10m/label/sel_1_100000_random/sif_gt_sel_1000_1_100000_random_10.json
method: compact
index_k: 8
ef_max: 500
ef_construction: 1000
nthreads: 1
ef_search: 200
qrange_path: /mnt/data/mocheng/dataset/deep10m/label/sel_1_100000_random/qrangesel_1000_1_100000_random.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/deep10m/label/sel_1_100000_random/attr_sel_1_100000_random.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/deep10m/base.10M.fvecs
# of vecs: 10000000
get data size:10000000 query size:10000
get data label size:10000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 16.1477720s
search ef:
vertex in set: {200}
Max. nns length of one point166
Sum of forward nn #: 1537864604
Avg. forward nn #: 153.786
Avg. delta nn #: 153.786
# Load Index Time: 42.2154000s

Search ef: 200
========================
range: 98878	 recall: 0.0345	 QPS: 13243	Comps: 50	 Hops: 7.7976
range: 98953	 recall: 0.0238	 QPS: 17288	Comps: 41	 Hops: 5.5238
range: 98954	 recall: 0.0917	 QPS: 5426	Comps: 127	 Hops: 19.5833
range: 98955	 recall: 0.0119	 QPS: 37736	Comps: 15	 Hops: 2.4643
range: 98956	 recall: 0.0119	 QPS: 52863	Comps: 11	 Hops: 2.4762
range: 99029	 recall: 0.0238	 QPS: 26357	Comps: 21	 Hops: 5.0238
range: 99030	 recall: 0.1905	 QPS: 2152	Comps: 273	 Hops: 41.8810
range: 99031	 recall: 0.4310	 QPS: 868	Comps: 626	 Hops: 90.7619
range: 99032	 recall: 0.0714	 QPS: 5948	Comps: 109	 Hops: 14.5714
range: 99105	 recall: 0.0202	 QPS: 21483	Comps: 33	 Hops: 4.8214
range: 99106	 recall: 0.4071	 QPS: 944	Comps: 570	 Hops: 85.9048
range: 99107	 recall: 0.4512	 QPS: 723	Comps: 690	 Hops: 99.3452
range: 99108	 recall: 0.1714	 QPS: 1696	Comps: 277	 Hops: 37.2381
range: 99109	 recall: 0.0119	 QPS: 50755	Comps: 13	 Hops: 2.4405
range: 99182	 recall: 0.2131	 QPS: 1837	Comps: 258	 Hops: 44.3214
range: 99183	 recall: 0.9940	 QPS: 381	Comps: 1336	 Hops: 212.6905
range: 99184	 recall: 0.3607	 QPS: 1030	Comps: 530	 Hops: 76.1548
range: 99185	 recall: 0.0940	 QPS: 4042	Comps: 138	 Hops: 19.8333
range: 99258	 recall: 0.1500	 QPS: 2205	Comps: 225	 Hops: 32.0833
range: 99259	 recall: 0.6393	 QPS: 486	Comps: 983	 Hops: 140.6071
range: 99260	 recall: 0.8488	 QPS: 416	Comps: 1213	 Hops: 179.8095
range: 99261	 recall: 0.4583	 QPS: 746	Comps: 641	 Hops: 97.8214
range: 99262	 recall: 0.0714	 QPS: 4532	Comps: 83	 Hops: 14.6548
range: 99334	 recall: 0.1738	 QPS: 2344	Comps: 241	 Hops: 36.7381
range: 99335	 recall: 1.1452	 QPS: 303	Comps: 1666	 Hops: 244.2857
range: 99336	 recall: 1.6905	 QPS: 202	Comps: 2401	 Hops: 359.2143
range: 99337	 recall: 0.6500	 QPS: 533	Comps: 927	 Hops: 138.2381
range: 99338	 recall: 0.0440	 QPS: 7170	Comps: 61	 Hops: 9.7500
range: 99410	 recall: 0.0929	 QPS: 3843	Comps: 127	 Hops: 19.7976
range: 99411	 recall: 0.9107	 QPS: 405	Comps: 1327	 Hops: 196.6190
range: 99412	 recall: 2.0798	 QPS: 171	Comps: 3098	 Hops: 449.5476
range: 99413	 recall: 1.1298	 QPS: 327	Comps: 1602	 Hops: 240.0000
range: 99414	 recall: 0.1738	 QPS: 2293	Comps: 238	 Hops: 37.0357
range: 99487	 recall: 0.6548	 QPS: 552	Comps: 952	 Hops: 140.5000
range: 99488	 recall: 2.9583	 QPS: 124	Comps: 4345	 Hops: 633.5714
range: 99489	 recall: 1.6774	 QPS: 231	Comps: 2391	 Hops: 355.6667
range: 99490	 recall: 0.2429	 QPS: 1542	Comps: 357	 Hops: 52.3333
range: 99491	 recall: 0.0357	 QPS: 5393	Comps: 56	 Hops: 7.3333
range: 99563	 recall: 0.3000	 QPS: 1276	Comps: 423	 Hops: 64.5119
range: 99564	 recall: 2.0964	 QPS: 175	Comps: 3128	 Hops: 451.7500
range: 99565	 recall: 1.6250	 QPS: 202	Comps: 2463	 Hops: 349.2500
range: 99566	 recall: 0.4952	 QPS: 793	Comps: 686	 Hops: 106.4286
range: 99567	 recall: 0.0298	 QPS: 13900	Comps: 48	 Hops: 7.4048
range: 99639	 recall: 0.2536	 QPS: 1310	Comps: 374	 Hops: 54.2500
range: 99640	 recall: 2.2238	 QPS: 160	Comps: 3271	 Hops: 479.5476
range: 99641	 recall: 3.7976	 QPS: 91	Comps: 5615	 Hops: 812.2738
range: 99642	 recall: 1.3536	 QPS: 276	Comps: 1996	 Hops: 290.8452
range: 99643	 recall: 0.1012	 QPS: 3652	Comps: 152	 Hops: 22.2500
range: 99715	 recall: 0.1679	 QPS: 1535	Comps: 248	 Hops: 36.7619
range: 99716	 recall: 1.6274	 QPS: 213	Comps: 2412	 Hops: 351.8214
range: 99717	 recall: 3.4560	 QPS: 107	Comps: 5072	 Hops: 742.6071
range: 99718	 recall: 2.2643	 QPS: 167	Comps: 3338	 Hops: 485.1071
range: 99719	 recall: 0.3143	 QPS: 1428	Comps: 427	 Hops: 67.0000
range: 99755	 recall: 0.0119	 QPS: 37855	Comps: 19	 Hops: 2.4762
range: 99792	 recall: 0.6643	 QPS: 536	Comps: 945	 Hops: 143.2500
range: 99793	 recall: 4.8655	 QPS: 76	Comps: 6991	 Hops: 1042.0714
range: 99794	 recall: 3.1595	 QPS: 115	Comps: 4672	 Hops: 682.0476
range: 99795	 recall: 0.7071	 QPS: 463	Comps: 983	 Hops: 150.8810
range: 99868	 recall: 0.3179	 QPS: 1094	Comps: 470	 Hops: 68.8929
range: 99869	 recall: 2.7357	 QPS: 137	Comps: 4077	 Hops: 585.2143
range: 99870	 recall: 3.1119	 QPS: 122	Comps: 4474	 Hops: 661.8095
range: 99871	 recall: 1.3750	 QPS: 293	Comps: 1908	 Hops: 290.5357
range: 99872	 recall: 0.1607	 QPS: 2234	Comps: 238	 Hops: 34.3452
range: 99907	 recall: 0.0071	 QPS: 37021	Comps: 20	 Hops: 2.4881
range: 99945	 recall: 2.1095	 QPS: 170	Comps: 3077	 Hops: 451.4881
range: 99946	 recall: 4.0083	 QPS: 93	Comps: 5845	 Hops: 859.0595
range: 99947	 recall: 1.9167	 QPS: 187	Comps: 2801	 Hops: 410.2024
range: 99948	 recall: 0.2714	 QPS: 1195	Comps: 443	 Hops: 58.9881
range: 99984	 recall: 0.0107	 QPS: 34768	Comps: 16	 Hops: 2.4524
range: 100021	 recall: 0.9012	 QPS: 429	Comps: 1270	 Hops: 192.6071
range: 100022	 recall: 3.2881	 QPS: 107	Comps: 4763	 Hops: 707.8095
range: 100023	 recall: 2.6202	 QPS: 149	Comps: 3816	 Hops: 563.7143
range: 100024	 recall: 0.4976	 QPS: 817	Comps: 710	 Hops: 106.7857
range: 100098	 recall: 3.6500	 QPS: 103	Comps: 5327	 Hops: 785.1786
range: 100099	 recall: 4.3190	 QPS: 87	Comps: 6201	 Hops: 925.1310
range: 100100	 recall: 0.7726	 QPS: 481	Comps: 1169	 Hops: 165.2738
range: 100137	 recall: 0.0119	 QPS: 44048	Comps: 12	 Hops: 2.4405
range: 100174	 recall: 2.2143	 QPS: 166	Comps: 3154	 Hops: 473.4048
range: 100175	 recall: 3.5369	 QPS: 109	Comps: 5083	 Hops: 754.8333
range: 100176	 recall: 1.5964	 QPS: 225	Comps: 2342	 Hops: 345.1548
range: 100177	 recall: 0.1869	 QPS: 1354	Comps: 299	 Hops: 42.1905
range: 100250	 recall: 1.6167	 QPS: 247	Comps: 2454	 Hops: 348.5119
range: 100251	 recall: 3.6833	 QPS: 102	Comps: 5490	 Hops: 792.6071
range: 100252	 recall: 2.3524	 QPS: 143	Comps: 3380	 Hops: 506.3333
range: 100253	 recall: 0.3917	 QPS: 966	Comps: 528	 Hops: 83.6786
range: 100289	 recall: 0.0119	 QPS: 46693	Comps: 13	 Hops: 2.4762
range: 100326	 recall: 0.4071	 QPS: 928	Comps: 559	 Hops: 86.4167
range: 100327	 recall: 2.7310	 QPS: 149	Comps: 3880	 Hops: 582.5238
range: 100328	 recall: 2.4702	 QPS: 147	Comps: 3676	 Hops: 532.5714
range: 100329	 recall: 0.5119	 QPS: 766	Comps: 661	 Hops: 108.1786
range: 100330	 recall: 0.0226	 QPS: 20413	Comps: 32	 Hops: 4.9167
range: 100403	 recall: 2.2190	 QPS: 171	Comps: 3129	 Hops: 473.2262
range: 100404	 recall: 2.6429	 QPS: 135	Comps: 3779	 Hops: 561.1786
range: 100405	 recall: 0.7810	 QPS: 472	Comps: 1177	 Hops: 167.5119
range: 100406	 recall: 0.0310	 QPS: 12710	Comps: 57	 Hops: 7.2857
range: 100479	 recall: 0.7214	 QPS: 456	Comps: 1050	 Hops: 152.9048
range: 100480	 recall: 1.4690	 QPS: 236	Comps: 2134	 Hops: 312.4286
range: 100481	 recall: 0.7976	 QPS: 443	Comps: 1219	 Hops: 169.6071
range: 100482	 recall: 0.1512	 QPS: 2761	Comps: 227	 Hops: 31.8810
range: 100483	 recall: 0.0238	 QPS: 16260	Comps: 37	 Hops: 4.9167
range: 100555	 recall: 0.2036	 QPS: 1150	Comps: 353	 Hops: 46.7381
range: 100556	 recall: 0.7643	 QPS: 460	Comps: 1131	 Hops: 168.9405
range: 100557	 recall: 0.7714	 QPS: 417	Comps: 1192	 Hops: 164.9405
range: 100558	 recall: 0.1619	 QPS: 1837	Comps: 261	 Hops: 34.9048
range: 100631	 recall: 0.0226	 QPS: 9519	Comps: 34	 Hops: 4.8810
range: 100632	 recall: 0.2190	 QPS: 1256	Comps: 320	 Hops: 46.6667
range: 100633	 recall: 0.3905	 QPS: 895	Comps: 595	 Hops: 83.8095
range: 100634	 recall: 0.1833	 QPS: 1780	Comps: 270	 Hops: 39.8095
range: 100635	 recall: 0.0417	 QPS: 7479	Comps: 72	 Hops: 9.7857
range: 100708	 recall: 0.1274	 QPS: 3414	Comps: 168	 Hops: 27.4762
range: 100709	 recall: 0.2369	 QPS: 1281	Comps: 341	 Hops: 49.6905
range: 100710	 recall: 0.0714	 QPS: 6948	Comps: 101	 Hops: 14.6190
range: 100784	 recall: 0.0333	 QPS: 9756	Comps: 61	 Hops: 7.5357
range: 100785	 recall: 0.0560	 QPS: 6229	Comps: 82	 Hops: 12.3929
range: 100786	 recall: 0.0333	 QPS: 11080	Comps: 62	 Hops: 7.2976
range: 100787	 recall: 0.0119	 QPS: 62084	Comps: 9	 Hops: 2.4405
range: 100861	 recall: 0.0476	 QPS: 8752	Comps: 84	 Hops: 9.7738
range: 100862	 recall: 0.0107	 QPS: 32902	Comps: 22	 Hops: 2.6786
range: 100863	 recall: 0.0107	 QPS: 38497	Comps: 18	 Hops: 2.4405
Total Recall: 0.9661	 Total QPS: 377.6866	 Total Comps: 1406.9164	 Total Hops: 207.1184
========================
# total query time: 26.6053380s
