Start time: 10:38
Use SSE
dataset: sift10M
data_size: 10000000
dataset_path: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
query_path: /mnt/data/mocheng/dataset/sift10m/sift10m_query.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/sif_gt_sel_50000_1_100000_random_10.json
method: compact
index_k: 8
ef_max: 1000
ef_construction: 1000
nthreads: 1
ef_search: 400
qrange_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/qrangesel_50000_1_100000_random.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/attr_sel_1_100000_random.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
# of vecs: 10000000
get data size:10000000 query size:10000
get data label size:10000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 19.9909130s
search ef:
vertex in set: {400}
Max. nns length of one point194
Sum of forward nn #: 1847187476
Avg. forward nn #: 184.719
Avg. delta nn #: 184.719
# Load Index Time: 85.2598170s
load index done

Search ef: 400
========================
range: 4994889	 recall: 0.0400	 QPS: 2911	Comps: 220	 Hops: 16.5200
range: 4994965	 recall: 0.1600	 QPS: 503	Comps: 986	 Hops: 65.8400
range: 4994966	 recall: 0.0400	 QPS: 4160	Comps: 121	 Hops: 16.2400
range: 4995042	 recall: 0.0800	 QPS: 1650	Comps: 402	 Hops: 32.4400
range: 4995118	 recall: 0.3560	 QPS: 283	Comps: 2354	 Hops: 146.2800
range: 4995119	 recall: 0.2400	 QPS: 466	Comps: 1313	 Hops: 97.8000
range: 4995194	 recall: 0.3200	 QPS: 349	Comps: 1845	 Hops: 130.0000
range: 4995195	 recall: 0.2400	 QPS: 425	Comps: 1493	 Hops: 97.4000
range: 4995270	 recall: 0.2400	 QPS: 453	Comps: 1417	 Hops: 97.6400
range: 4995271	 recall: 0.2760	 QPS: 365	Comps: 1775	 Hops: 115.0400
range: 4995347	 recall: 0.1200	 QPS: 636	Comps: 746	 Hops: 48.9600
range: 4995423	 recall: 0.0800	 QPS: 1291	Comps: 501	 Hops: 32.7600
range: 4995424	 recall: 0.0400	 QPS: 2925	Comps: 236	 Hops: 16.2000
range: 4995500	 recall: 0.0800	 QPS: 1186	Comps: 490	 Hops: 32.8000
range: 4995501	 recall: 0.0800	 QPS: 1658	Comps: 370	 Hops: 32.8000
