Start time: 09:25
Use SSE
dataset: sift10M
data_size: 10000000
dataset_path: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
query_path: /mnt/data/mocheng/dataset/sift10m/sift10m_query.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_dist/sif_gt_sel_20000_1_100000_in_dist_10.json
method: compact
index_k: 8
ef_max: 1000
ef_construction: 1000
nthreads: 1
ef_search: 18
qrange_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_dist/qrangesel_20000_1_100000_in_dist.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_dist/attr_sel_1_100000_dist.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
# of vecs: 10000000
get data size:10000000 query size:10000
get data label size:10000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 29.8030830s
search ef:
vertex in set: {18}
Max. nns length of one point187
Sum of forward nn #: 1847338048
Avg. forward nn #: 184.734
Avg. delta nn #: 184.734
# Load Index Time: 40.1903930s
load index done

Search ef: 18
========================
range: 1015158	 recall: 9.5000	 QPS: 111	Comps: 6434	 Hops: 301.5000
range: 1015777	 recall: 0.4000	 QPS: 1653	Comps: 463	 Hops: 19.0000
range: 1015914	 recall: 10.4000	 QPS: 102	Comps: 7044	 Hops: 352.5000
range: 1016082	 recall: 0.4500	 QPS: 2240	Comps: 310	 Hops: 14.5000
range: 1016238	 recall: 0.2000	 QPS: 1723	Comps: 448	 Hops: 18.5000
range: 1016277	 recall: 0.4500	 QPS: 2384	Comps: 286	 Hops: 13.5000
range: 1016467	 recall: 0.3500	 QPS: 2123	Comps: 339	 Hops: 13.0000
range: 1017154	 recall: 0.3000	 QPS: 1086	Comps: 688	 Hops: 28.0000
range: 1017307	 recall: 0.4500	 QPS: 2725	Comps: 262	 Hops: 11.5000
range: 1018066	 recall: 0.4000	 QPS: 3155	Comps: 221	 Hops: 10.5000
range: 1018222	 recall: 0.4000	 QPS: 3160	Comps: 225	 Hops: 12.5000
range: 1027225	 recall: 0.8000	 QPS: 1293	Comps: 546	 Hops: 26.5000
range: 1029052	 recall: 0.2000	 QPS: 3210	Comps: 218	 Hops: 11.5000
range: 1029662	 recall: 0.2000	 QPS: 2000	Comps: 380	 Hops: 15.5000
range: 1032718	 recall: 0.2500	 QPS: 2030	Comps: 356	 Hops: 13.0000
range: 1038822	 recall: 0.2500	 QPS: 1929	Comps: 380	 Hops: 18.5000
range: 1051029	 recall: 0.3500	 QPS: 3226	Comps: 250	 Hops: 10.5000
range: 1059573	 recall: 0.3500	 QPS: 1996	Comps: 346	 Hops: 17.0000
range: 1072997	 recall: 0.4000	 QPS: 3284	Comps: 216	 Hops: 13.5000
range: 1075442	 recall: 0.5000	 QPS: 2809	Comps: 254	 Hops: 13.5000
range: 1076663	 recall: 0.1500	 QPS: 2090	Comps: 350	 Hops: 11.5000
range: 1079104	 recall: 0.5000	 QPS: 2445	Comps: 272	 Hops: 13.5000
range: 1086730	 recall: 0.3000	 QPS: 2328	Comps: 300	 Hops: 17.0000
range: 1088260	 recall: 0.6500	 QPS: 1242	Comps: 604	 Hops: 24.0000
range: 1089786	 recall: 0.4000	 QPS: 2358	Comps: 304	 Hops: 14.0000
range: 1090091	 recall: 0.4500	 QPS: 2721	Comps: 255	 Hops: 16.0000
range: 1090392	 recall: 0.4500	 QPS: 3155	Comps: 234	 Hops: 11.5000
range: 1091006	 recall: 0.5000	 QPS: 2195	Comps: 340	 Hops: 12.0000
range: 1091464	 recall: 0.4000	 QPS: 2837	Comps: 242	 Hops: 11.5000
range: 1092605	 recall: 0.6500	 QPS: 1028	Comps: 744	 Hops: 28.0000
range: 1092986	 recall: 0.3500	 QPS: 1976	Comps: 394	 Hops: 17.5000
range: 1093005	 recall: 0.5000	 QPS: 2972	Comps: 226	 Hops: 12.5000
range: 1093167	 recall: 0.7500	 QPS: 1363	Comps: 510	 Hops: 24.5000
range: 1093253	 recall: 0.5000	 QPS: 3044	Comps: 244	 Hops: 11.5000
range: 1093293	 recall: 0.2500	 QPS: 2538	Comps: 286	 Hops: 13.0000
range: 1093295	 recall: 0.5000	 QPS: 2721	Comps: 255	 Hops: 11.5000
range: 1093299	 recall: 0.5000	 QPS: 2375	Comps: 312	 Hops: 13.5000
range: 1093300	 recall: 0.1000	 QPS: 2210	Comps: 337	 Hops: 12.5000
range: 1093310	 recall: 18.3500	 QPS: 54	Comps: 13502	 Hops: 608.0000
range: 1093326	 recall: 0.1000	 QPS: 1951	Comps: 394	 Hops: 17.0000
range: 1093333	 recall: 0.4500	 QPS: 3597	Comps: 196	 Hops: 11.5000
range: 1093371	 recall: 0.4500	 QPS: 1843	Comps: 427	 Hops: 17.0000
range: 1093524	 recall: 0.3000	 QPS: 2959	Comps: 240	 Hops: 12.5000
range: 1093744	 recall: 32.6500	 QPS: 30	Comps: 24446	 Hops: 1044.0000
range: 1093745	 recall: 0.4500	 QPS: 2237	Comps: 315	 Hops: 14.0000
range: 1093746	 recall: 0.3500	 QPS: 2786	Comps: 260	 Hops: 13.0000
range: 1093757	 recall: 0.3000	 QPS: 2677	Comps: 272	 Hops: 11.5000
range: 1094207	 recall: 0.4000	 QPS: 3210	Comps: 212	 Hops: 12.5000
range: 1095126	 recall: 0.3500	 QPS: 2090	Comps: 374	 Hops: 16.5000
range: 1096653	 recall: 0.4500	 QPS: 3328	Comps: 211	 Hops: 11.5000
