Start time: 08:26
Use SSE
dataset: spacev10m
data_size: 10000000
dataset_path: /mnt/data/mocheng/dataset/spacev10m/base10M.fvecs
query_path: /mnt/data/mocheng/dataset/spacev10m/query10k.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/spacev10m/label/sel_1_100000_random/sif_gt_sel_10000_1_100000_random_10.json
method: compact
index_k: 8
ef_max: 1000
ef_construction: 1000
nthreads: 1
ef_search: 10
qrange_path: /mnt/data/mocheng/dataset/spacev10m/label/sel_1_100000_random/qrangesel_10000_1_100000_random.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/spacev10m/label/sel_1_100000_random/attr_sel_1_100000_random.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/spacev10m/base10M.fvecs
# of vecs: 10000000
get data size:10000000 query size:10000
get data label size:10000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 18.1152510s
search ef:
vertex in set: {10}
Total edge:1770181894
Average degree:177.018
Max. nns length of one point195
Sum of forward nn #: 1770181894
Avg. forward nn #: 177.018
Avg. delta nn #: 177.018
# Load Index Time: 40.9896620s
load index done

Search ef: 10
========================
range: 998307	 recall: 0.0367	 QPS: 21307	Comps: 46	 Hops: 1.7667
range: 998383	 recall: 0.0533	 QPS: 16653	Comps: 57	 Hops: 2.2000
range: 998384	 recall: 0.1183	 QPS: 7858	Comps: 126	 Hops: 4.0167
range: 998385	 recall: 0.0417	 QPS: 45489	Comps: 20	 Hops: 0.9667
range: 998459	 recall: 0.1033	 QPS: 10323	Comps: 92	 Hops: 3.8833
range: 998460	 recall: 0.4150	 QPS: 3105	Comps: 306	 Hops: 11.1333
range: 998461	 recall: 0.1217	 QPS: 11238	Comps: 84	 Hops: 3.4500
range: 998535	 recall: 0.1000	 QPS: 11038	Comps: 87	 Hops: 3.0500
range: 998536	 recall: 0.6367	 QPS: 1340	Comps: 724	 Hops: 25.6500
range: 998537	 recall: 0.3417	 QPS: 3536	Comps: 270	 Hops: 9.8333
range: 998611	 recall: 0.1033	 QPS: 9740	Comps: 99	 Hops: 3.9333
range: 998612	 recall: 0.4767	 QPS: 2196	Comps: 439	 Hops: 16.2333
range: 998613	 recall: 0.4650	 QPS: 2513	Comps: 379	 Hops: 14.5167
range: 998614	 recall: 0.1400	 QPS: 11293	Comps: 81	 Hops: 3.5333
range: 998687	 recall: 0.1533	 QPS: 8141	Comps: 116	 Hops: 4.7333
range: 998688	 recall: 0.4783	 QPS: 2442	Comps: 387	 Hops: 15.0333
range: 998689	 recall: 0.7000	 QPS: 1583	Comps: 603	 Hops: 22.6500
range: 998690	 recall: 0.2650	 QPS: 3862	Comps: 249	 Hops: 8.8333
range: 998763	 recall: 0.0683	 QPS: 10997	Comps: 87	 Hops: 3.4000
range: 998764	 recall: 0.3700	 QPS: 2712	Comps: 352	 Hops: 12.8167
range: 998765	 recall: 0.8917	 QPS: 1317	Comps: 727	 Hops: 27.5000
range: 998766	 recall: 0.4767	 QPS: 2313	Comps: 415	 Hops: 14.5333
range: 998767	 recall: 0.0233	 QPS: 31463	Comps: 31	 Hops: 1.0000
range: 998840	 recall: 0.2233	 QPS: 5053	Comps: 188	 Hops: 7.1500
range: 998841	 recall: 1.0000	 QPS: 1029	Comps: 933	 Hops: 33.9667
range: 998842	 recall: 0.7883	 QPS: 1429	Comps: 674	 Hops: 25.0333
range: 998843	 recall: 0.0533	 QPS: 23148	Comps: 42	 Hops: 1.4333
range: 998916	 recall: 0.1283	 QPS: 9713	Comps: 96	 Hops: 3.8833
range: 998917	 recall: 0.6350	 QPS: 1799	Comps: 529	 Hops: 20.5000
range: 998918	 recall: 0.6650	 QPS: 1544	Comps: 621	 Hops: 23.2667
range: 998919	 recall: 0.2400	 QPS: 5528	Comps: 172	 Hops: 6.6833
range: 998920	 recall: 0.0167	 QPS: 55866	Comps: 18	 Hops: 0.6833
range: 998992	 recall: 0.0633	 QPS: 18321	Comps: 50	 Hops: 2.4167
range: 998993	 recall: 0.4500	 QPS: 2329	Comps: 412	 Hops: 15.0667
range: 998994	 recall: 1.1383	 QPS: 1001	Comps: 952	 Hops: 35.1000
range: 998995	 recall: 0.4500	 QPS: 2473	Comps: 388	 Hops: 14.2667
range: 998996	 recall: 0.0467	 QPS: 30519	Comps: 32	 Hops: 1.4333
range: 999068	 recall: 0.0300	 QPS: 35928	Comps: 25	 Hops: 1.2500
range: 999069	 recall: 0.3517	 QPS: 3341	Comps: 287	 Hops: 10.5167
