Start time: 04:35
Use SSE
dataset: YT-RGB1m
data_size: 1000000
dataset_path: /mnt/data/mocheng/dataset/youtube1m/rgb.fvecs
query_path: /mnt/data/mocheng/dataset/youtube1m/rgb_query.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/youtube1m/label/real_label/sif_gt_real_label_6_random_10.json
method: compact
index_k: 8
ef_max: 1000
ef_construction: 1000
nthreads: 1
ef_search: 40
qrange_path: /mnt/data/mocheng/dataset/youtube1m/label/real_label/qrangereal_label_6_random.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/youtube1m/views.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/youtube1m/rgb.fvecs
# of vecs: 1000000
get data size:1000000 query size:10000
get data label size:1000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 3.5582440s
search ef:
vertex in set: {40}
Total edge:47064876
Average degree:47.0649
Max. nns length of one point160
Sum of forward nn #: 47064876
Avg. forward nn #: 47.0649
Avg. delta nn #: 47.0649
# Load Index Time: 1.2710290s
load index done

Search ef: 40
========================
range: 1	 recall: 0.0000	 QPS: 3015	Comps: 0	 Hops: 1139.5000
range: 28252	 recall: 0.0833	 QPS: 752	Comps: 670	 Hops: 7.3333
range: 28260	 recall: 0.1167	 QPS: 788	Comps: 640	 Hops: 7.3333
range: 28263	 recall: 0.1333	 QPS: 557	Comps: 910	 Hops: 7.1667
range: 28267	 recall: 0.1333	 QPS: 698	Comps: 720	 Hops: 6.8333
range: 28271	 recall: 0.2500	 QPS: 844	Comps: 565	 Hops: 14.3333
range: 28273	 recall: 0.0667	 QPS: 515	Comps: 1002	 Hops: 7.0000
range: 28274	 recall: 0.1667	 QPS: 574	Comps: 894	 Hops: 7.1667
range: 28282	 recall: 0.0833	 QPS: 563	Comps: 919	 Hops: 6.8333
range: 28297	 recall: 0.3167	 QPS: 224	Comps: 2291	 Hops: 21.3333
range: 28303	 recall: 0.1667	 QPS: 2205	Comps: 208	 Hops: 7.1667
range: 28305	 recall: 0.1667	 QPS: 335	Comps: 1091	 Hops: 7.1667
range: 28313	 recall: 0.2167	 QPS: 347	Comps: 1476	 Hops: 14.1667
range: 28317	 recall: 0.1667	 QPS: 860	Comps: 597	 Hops: 7.3333
range: 28321	 recall: 0.1500	 QPS: 1594	Comps: 304	 Hops: 9.3333
range: 28328	 recall: 0.1333	 QPS: 552	Comps: 922	 Hops: 7.1667
range: 28334	 recall: 0.0500	 QPS: 428	Comps: 1208	 Hops: 7.1667
range: 28339	 recall: 0.1667	 QPS: 586	Comps: 884	 Hops: 7.3333
range: 28343	 recall: 0.2333	 QPS: 298	Comps: 1694	 Hops: 14.6667
range: 28347	 recall: 0.0833	 QPS: 566	Comps: 919	 Hops: 6.8333
range: 28351	 recall: 0.2833	 QPS: 586	Comps: 856	 Hops: 14.6667
range: 28366	 recall: 0.1500	 QPS: 453	Comps: 1141	 Hops: 7.1667
range: 28370	 recall: 0.1333	 QPS: 821	Comps: 630	 Hops: 6.8333
range: 28374	 recall: 0.1500	 QPS: 584	Comps: 886	 Hops: 7.0000
range: 28384	 recall: 0.1500	 QPS: 690	Comps: 729	 Hops: 6.8333
range: 28400	 recall: 0.1333	 QPS: 515	Comps: 1004	 Hops: 7.0000
range: 28404	 recall: 0.1667	 QPS: 413	Comps: 1244	 Hops: 7.1667
