Start time: 06:27
Use SSE
dataset: YT-RGB1m
data_size: 1000000
dataset_path: /mnt/data/mocheng/dataset/youtube1m/rgb.fvecs
query_path: /mnt/data/mocheng/dataset/youtube1m/rgb_query.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/youtube1m/label/sel_1_100000_real/sif_gt_sel_6_1_100000_real_10.json
method: compact
index_k: 8
ef_max: 1000
ef_construction: 1000
nthreads: 1
ef_search: 12
qrange_path: /mnt/data/mocheng/dataset/youtube1m/label/sel_1_100000_real/qrangesel_6_1_100000_real.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/youtube1m/label/sel_1_100000_real/attr_sel_1_100000_real.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/youtube1m/rgb.fvecs
# of vecs: 1000000
get data size:1000000 query size:10000
get data label size:1000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 4.1194210s
search ef:
vertex in set: {12}
Total edge:49426092
Average degree:49.4261
Max. nns length of one point180
Sum of forward nn #: 49426092
Avg. forward nn #: 49.4261
Avg. delta nn #: 49.4261
# Load Index Time: 1.3125450s
load index done

Search ef: 12
========================
range: 499817	 recall: 0.0880	 QPS: 815	Comps: 536	 Hops: 2.9800
range: 499818	 recall: 0.2200	 QPS: 397	Comps: 1031	 Hops: 6.8800
range: 499833	 recall: 0.0720	 QPS: 1245	Comps: 325	 Hops: 2.4200
range: 499847	 recall: 0.1620	 QPS: 655	Comps: 633	 Hops: 4.4400
range: 499848	 recall: 0.7220	 QPS: 95	Comps: 4376	 Hops: 24.1400
range: 499862	 recall: 0.0480	 QPS: 1613	Comps: 248	 Hops: 1.0600
range: 499863	 recall: 0.1240	 QPS: 608	Comps: 681	 Hops: 3.9800
range: 499867	 recall: 0.0120	 QPS: 2840	Comps: 123	 Hops: 0.7800
range: 499870	 recall: 0.0200	 QPS: 15610	Comps: 24	 Hops: 0.4400
range: 499878	 recall: 0.2220	 QPS: 458	Comps: 864	 Hops: 6.7000
range: 499879	 recall: 1.6680	 QPS: 51	Comps: 8134	 Hops: 56.8800
range: 499885	 recall: 0.0100	 QPS: 3749	Comps: 117	 Hops: 0.9800
range: 499886	 recall: 0.0900	 QPS: 1265	Comps: 335	 Hops: 1.9200
range: 499890	 recall: 0.0340	 QPS: 4174	Comps: 97	 Hops: 0.8600
range: 499893	 recall: 0.1320	 QPS: 647	Comps: 671	 Hops: 3.9000
range: 499894	 recall: 0.5700	 QPS: 133	Comps: 3114	 Hops: 19.6800
range: 499901	 recall: 0.1200	 QPS: 1164	Comps: 355	 Hops: 3.4800
range: 499904	 recall: 0.0140	 QPS: 2590	Comps: 180	 Hops: 0.2600
range: 499905	 recall: 0.0400	 QPS: 3468	Comps: 126	 Hops: 0.8200
range: 499908	 recall: 0.2780	 QPS: 331	Comps: 1244	 Hops: 8.7600
range: 499909	 recall: 2.9900	 QPS: 28	Comps: 15210	 Hops: 96.0800
range: 499911	 recall: 0.0180	 QPS: 9938	Comps: 42	 Hops: 0.3600
range: 499912	 recall: 0.0200	 QPS: 2913	Comps: 149	 Hops: 0.7200
range: 499915	 recall: 0.0080	 QPS: 4713	Comps: 86	 Hops: 0.4200
range: 499916	 recall: 0.4300	 QPS: 235	Comps: 1732	 Hops: 13.0000
range: 499917	 recall: 0.0160	 QPS: 6607	Comps: 65	 Hops: 0.4600
range: 499920	 recall: 0.1180	 QPS: 819	Comps: 529	 Hops: 2.9600
