Start time: 06:45
Use SSE
dataset: YTRGB1m
data_size: 1000000
dataset_path: /mnt/data/mocheng/dataset/youtube1m/rgb.fvecs
query_path: /mnt/data/mocheng/dataset/youtube1m/rgb_query.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/youtube1m/label/sel_1_100000_real/sif_gt_sel_20_1_100000_real_10.json
method: compact
index_k: 8
ef_max: 500
ef_construction: 1000
nthreads: 1
ef_search: 60
qrange_path: /mnt/data/mocheng/dataset/youtube1m/label/sel_1_100000_real/qrangesel_20_1_100000_real.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/youtube1m/label/sel_1_100000_real/attr_sel_1_100000_real.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/youtube1m/rgb.fvecs
# of vecs: 1000000
get data size:1000000 query size:10000
get data label size:1000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 4.0683770s
search ef:
vertex in set: {60}
Total edge:41662980
Average degree:41.663
Max. nns length of one point139
Sum of forward nn #: 41662980
Avg. forward nn #: 41.663
Avg. delta nn #: 41.663
# Load Index Time: 1.2434460s
load index done

Search ef: 60
========================
range: 1001	 recall: 20.7222	 QPS: 28	Comps: 15723	 Hops: 1862.9259
range: 1002	 recall: 9.9667	 QPS: 60	Comps: 7380	 Hops: 963.9630
range: 1003	 recall: 5.9963	 QPS: 94	Comps: 4647	 Hops: 640.5555
range: 1004	 recall: 4.6667	 QPS: 127	Comps: 3440	 Hops: 474.1482
range: 1005	 recall: 4.1667	 QPS: 136	Comps: 3197	 Hops: 446.7408
range: 1006	 recall: 3.2704	 QPS: 170	Comps: 2574	 Hops: 361.4445
range: 1007	 recall: 2.7148	 QPS: 206	Comps: 2082	 Hops: 310.4074
range: 1008	 recall: 2.8593	 QPS: 205	Comps: 2086	 Hops: 314.2592
range: 1009	 recall: 2.2519	 QPS: 249	Comps: 1715	 Hops: 267.4074
range: 1010	 recall: 2.4074	 QPS: 244	Comps: 1783	 Hops: 256.8889
range: 1011	 recall: 1.8556	 QPS: 279	Comps: 1523	 Hops: 227.5926
range: 1012	 recall: 1.9889	 QPS: 305	Comps: 1410	 Hops: 220.1481
range: 1013	 recall: 1.9704	 QPS: 301	Comps: 1426	 Hops: 220.8889
range: 1014	 recall: 1.8852	 QPS: 307	Comps: 1410	 Hops: 203.4074
range: 1015	 recall: 1.4259	 QPS: 392	Comps: 1080	 Hops: 178.6667
range: 1016	 recall: 2.0704	 QPS: 271	Comps: 1611	 Hops: 207.7037
range: 1017	 recall: 1.8185	 QPS: 324	Comps: 1348	 Hops: 182.4074
range: 1018	 recall: 1.3593	 QPS: 413	Comps: 1043	 Hops: 161.0741
range: 1019	 recall: 1.2074	 QPS: 462	Comps: 913	 Hops: 147.7407
range: 1020	 recall: 1.1593	 QPS: 460	Comps: 927	 Hops: 146.0370
range: 1021	 recall: 1.2741	 QPS: 423	Comps: 1011	 Hops: 157.7407
range: 1022	 recall: 1.7704	 QPS: 315	Comps: 1358	 Hops: 212.8519
range: 1023	 recall: 1.2741	 QPS: 447	Comps: 967	 Hops: 139.3333
range: 1024	 recall: 1.1593	 QPS: 466	Comps: 936	 Hops: 128.7407
range: 1025	 recall: 1.4926	 QPS: 373	Comps: 1126	 Hops: 183.3704
range: 1026	 recall: 0.9852	 QPS: 560	Comps: 762	 Hops: 123.4444
range: 1027	 recall: 1.2963	 QPS: 417	Comps: 1041	 Hops: 146.1481
range: 1028	 recall: 0.9593	 QPS: 587	Comps: 721	 Hops: 121.8519
range: 1029	 recall: 1.2444	 QPS: 442	Comps: 976	 Hops: 147.9259
range: 1030	 recall: 0.7370	 QPS: 723	Comps: 600	 Hops: 84.5185
range: 1031	 recall: 1.2296	 QPS: 423	Comps: 1028	 Hops: 145.5926
range: 1032	 recall: 0.8481	 QPS: 693	Comps: 626	 Hops: 91.5185
range: 1033	 recall: 0.7370	 QPS: 693	Comps: 610	 Hops: 97.8148
range: 1034	 recall: 0.6815	 QPS: 722	Comps: 579	 Hops: 93.0741
range: 1035	 recall: 0.5000	 QPS: 1062	Comps: 396	 Hops: 68.4444
range: 1036	 recall: 0.9074	 QPS: 610	Comps: 709	 Hops: 103.5185
range: 1037	 recall: 1.1667	 QPS: 483	Comps: 903	 Hops: 122.8519
