Start time: 00:37
Use SSE
dataset: sift10M
data_size: 10000000
dataset_path: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
query_path: /mnt/data/mocheng/dataset/sift10m/sift10m_query.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/sif_gt_sel_10000_1_100000_random_10.json
method: compact
index_k: 8
ef_max: 1000
ef_construction: 1000
nthreads: 1
ef_search: 5
qrange_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/qrangesel_10000_1_100000_random.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/attr_sel_1_100000_random.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
# of vecs: 10000000
get data size:10000000 query size:10000
get data label size:10000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 19.5778680s
search ef:
vertex in set: {5}
using simd16
Total edge:1847187476
Average degree:184.719
Max. nns length of one point194
Sum of forward nn #: 1847187476
Avg. forward nn #: 184.719
Avg. delta nn #: 184.719
# Load Index Time: 42.1406500s
load index done

Search ef: 5
========================
range: 997272	 recall: 0.2000	 QPS: 2821	Comps: 246	 Hops: 9.0000
range: 997277	 recall: 0.2500	 QPS: 1918	Comps: 346	 Hops: 6.5000
range: 997283	 recall: 0.1500	 QPS: 2755	Comps: 244	 Hops: 5.0000
range: 997287	 recall: 0.2500	 QPS: 3906	Comps: 173	 Hops: 6.0000
range: 997303	 recall: 0.0000	 QPS: 5305	Comps: 120	 Hops: 6.5000
range: 997304	 recall: 0.2500	 QPS: 4474	Comps: 146	 Hops: 6.0000
range: 997314	 recall: 0.2500	 QPS: 2688	Comps: 255	 Hops: 9.5000
range: 997325	 recall: 0.2000	 QPS: 3008	Comps: 210	 Hops: 7.5000
range: 997330	 recall: 0.2500	 QPS: 5495	Comps: 117	 Hops: 4.5000
range: 997331	 recall: 0.2500	 QPS: 3731	Comps: 176	 Hops: 7.0000
range: 997334	 recall: 0.2000	 QPS: 4008	Comps: 168	 Hops: 5.5000
range: 997335	 recall: 0.2500	 QPS: 3221	Comps: 200	 Hops: 7.0000
range: 997339	 recall: 0.2500	 QPS: 2608	Comps: 268	 Hops: 5.0000
range: 997340	 recall: 0.2500	 QPS: 3484	Comps: 186	 Hops: 8.5000
range: 997342	 recall: 0.2500	 QPS: 6042	Comps: 96	 Hops: 5.5000
