Start time: 06:54
Use SSE
dataset: sift10M
data_size: 10000000
dataset_path: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
query_path: /mnt/data/mocheng/dataset/sift10m/sift10m_query.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/sif_gt_sel_1000_1_100000_random_10.json
method: compact
index_k: 8
ef_max: 1000
ef_construction: 1000
nthreads: 1
ef_search: 150
qrange_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/qrangesel_1000_1_100000_random.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/sift10m/label/sel_1_100000_random/attr_sel_1_100000_random.json
query_k: 10
Load vecs from: /mnt/data/mocheng/dataset/sift10m/sift10m.fvecs
# of vecs: 10000000
get data size:10000000 query size:10000
get data label size:10000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 17.0799090s
search ef:
vertex in set: {150}
using simd16
Total edge:1847187476
Average degree:184.719
Max. nns length of one point194
Sum of forward nn #: 1847187476
Avg. forward nn #: 184.719
Avg. delta nn #: 184.719
# Load Index Time: 40.0651290s
load index done

Search ef: 150
========================
range: 98856	 recall: 0.4000	 QPS: 1398	Comps: 579	 Hops: 61.4000
range: 98877	 recall: 0.2000	 QPS: 2706	Comps: 275	 Hops: 30.8000
range: 98880	 recall: 0.2000	 QPS: 2150	Comps: 418	 Hops: 31.4000
range: 98892	 recall: 0.2000	 QPS: 3994	Comps: 156	 Hops: 32.0000
range: 98904	 recall: 0.2000	 QPS: 1953	Comps: 451	 Hops: 31.4000
range: 98912	 recall: 0.2000	 QPS: 3121	Comps: 239	 Hops: 30.8000
range: 98928	 recall: 0.2000	 QPS: 1977	Comps: 307	 Hops: 30.8000
range: 98941	 recall: 0.2000	 QPS: 2740	Comps: 301	 Hops: 31.0000
range: 98967	 recall: 0.1800	 QPS: 2045	Comps: 458	 Hops: 30.6000
range: 98971	 recall: 0.4000	 QPS: 1270	Comps: 479	 Hops: 61.4000
range: 98975	 recall: 0.2000	 QPS: 2302	Comps: 371	 Hops: 30.8000
range: 98984	 recall: 0.2000	 QPS: 4170	Comps: 161	 Hops: 31.0000
range: 98992	 recall: 0.1800	 QPS: 2378	Comps: 399	 Hops: 30.4000
range: 98998	 recall: 0.2000	 QPS: 2419	Comps: 260	 Hops: 30.8000
range: 99003	 recall: 0.2000	 QPS: 3115	Comps: 227	 Hops: 30.6000
range: 99027	 recall: 0.2000	 QPS: 3218	Comps: 218	 Hops: 30.6000
range: 99070	 recall: 0.2000	 QPS: 2823	Comps: 273	 Hops: 31.0000
