Start time: 06:48
Use SSE
dataset: YTRGB1m
data_size: 1000000
dataset_path: /mnt/data/mocheng/dataset/youtube1m/rgb.fvecs
query_path: /mnt/data/mocheng/dataset/youtube1m/rgb_query.fvecs
groundtruth_path: /mnt/data/mocheng/dataset/youtube1m/label/sel_1_100000_real/sif_gt_sel_6_1_100000_real_100.json
method: compact
index_k: 8
ef_max: 1000
ef_construction: 1000
nthreads: 1
ef_search: 700
qrange_path: /mnt/data/mocheng/dataset/youtube1m/label/sel_1_100000_real/qrangesel_6_1_100000_real.json
query_num: 10000
label_path: /mnt/data/mocheng/dataset/youtube1m/label/sel_1_100000_real/attr_sel_1_100000_real.json
query_k: 100
Load vecs from: /mnt/data/mocheng/dataset/youtube1m/rgb.fvecs
# of vecs: 1000000
get data size:1000000 query size:10000
get data label size:1000000
get query range size:10000
get groundtruth size:10000
get query id size:10000
query range size:10000
# Sort Dataset Time: 3.3115680s
search ef:
vertex in set: {700}
using simd16
Total edge:49426092
Average degree:49.4261
Max. nns length of one point180
Sum of forward nn #: 49426092
Avg. forward nn #: 49.4261
Avg. delta nn #: 49.4261
# Load Index Time: 1.8954230s
load index done

Search ef: 700
========================
range: 500001	 recall: 0.9924	 QPS: 22	Comps: 42951	 Hops: 719.7381
range: 500002	 recall: 1.1429	 QPS: 20	Comps: 48723	 Hops: 839.0476
range: 500003	 recall: 1.2967	 QPS: 18	Comps: 52429	 Hops: 954.7857
range: 500004	 recall: 1.4910	 QPS: 14	Comps: 65147	 Hops: 1105.7620
range: 500005	 recall: 1.4500	 QPS: 17	Comps: 56134	 Hops: 1054.6904
range: 500006	 recall: 1.6081	 QPS: 13	Comps: 70320	 Hops: 1171.9762
range: 500007	 recall: 1.6038	 QPS: 13	Comps: 75676	 Hops: 1172.0476
range: 500008	 recall: 2.0460	 QPS: 11	Comps: 86154	 Hops: 1490.3572
range: 500009	 recall: 1.9188	 QPS: 12	Comps: 79086	 Hops: 1406.8572
range: 500010	 recall: 2.2919	 QPS: 9	Comps: 102266	 Hops: 1657.3810
range: 500011	 recall: 2.0945	 QPS: 10	Comps: 93331	 Hops: 1540.0952
range: 500012	 recall: 1.9364	 QPS: 11	Comps: 87979	 Hops: 1423.1428
range: 500013	 recall: 2.0110	 QPS: 10	Comps: 91516	 Hops: 1456.8334
range: 500014	 recall: 2.0905	 QPS: 11	Comps: 88533	 Hops: 1524.9524
range: 500015	 recall: 1.9943	 QPS: 11	Comps: 88576	 Hops: 1456.3334
range: 500016	 recall: 2.3619	 QPS: 9	Comps: 104259	 Hops: 1707.5000
range: 500017	 recall: 2.1064	 QPS: 10	Comps: 98564	 Hops: 1556.6904
range: 500018	 recall: 1.8498	 QPS: 12	Comps: 79354	 Hops: 1357.1428
range: 500019	 recall: 1.8488	 QPS: 11	Comps: 85973	 Hops: 1356.5238
range: 500020	 recall: 2.2719	 QPS: 9	Comps: 102625	 Hops: 1657.5238
range: 500021	 recall: 2.2338	 QPS: 9	Comps: 104341	 Hops: 1640.4048
range: 500022	 recall: 2.3229	 QPS: 9	Comps: 111298	 Hops: 1690.6904
range: 500023	 recall: 1.9117	 QPS: 11	Comps: 86352	 Hops: 1406.7142
range: 500024	 recall: 2.6393	 QPS: 9	Comps: 110809	 Hops: 1926.0000
range: 500025	 recall: 2.1702	 QPS: 9	Comps: 105542	 Hops: 1591.4524
range: 500026	 recall: 1.9229	 QPS: 12	Comps: 83005	 Hops: 1389.5238
range: 500027	 recall: 2.1498	 QPS: 10	Comps: 95391	 Hops: 1574.4048
range: 500028	 recall: 2.5529	 QPS: 8	Comps: 112837	 Hops: 1875.2380
range: 500029	 recall: 2.2024	 QPS: 10	Comps: 95321	 Hops: 1590.0952
range: 500030	 recall: 2.3126	 QPS: 9	Comps: 104121	 Hops: 1707.3572
range: 500031	 recall: 1.8669	 QPS: 13	Comps: 73012	 Hops: 1373.5952
range: 500032	 recall: 2.3800	 QPS: 10	Comps: 93474	 Hops: 1724.3810
range: 500033	 recall: 2.4812	 QPS: 8	Comps: 116093	 Hops: 1808.1904
range: 500034	 recall: 2.3505	 QPS: 9	Comps: 104121	 Hops: 1725.7142
range: 500035	 recall: 2.0031	 QPS: 12	Comps: 80195	 Hops: 1473.3096
range: 500036	 recall: 2.7312	 QPS: 8	Comps: 117859	 Hops: 1976.7858
range: 500037	 recall: 2.7079	 QPS: 8	Comps: 119640	 Hops: 1976.5476
range: 500038	 recall: 2.7507	 QPS: 8	Comps: 112939	 Hops: 2010.0000
range: 500039	 recall: 2.2626	 QPS: 10	Comps: 90824	 Hops: 1641.2620
range: 500040	 recall: 1.8800	 QPS: 12	Comps: 78570	 Hops: 1373.1904
range: 500041	 recall: 1.9390	 QPS: 12	Comps: 77086	 Hops: 1407.2858
range: 500042	 recall: 2.0971	 QPS: 11	Comps: 90224	 Hops: 1540.2858
range: 500043	 recall: 1.8638	 QPS: 12	Comps: 82793	 Hops: 1355.9048
range: 500044	 recall: 2.1886	 QPS: 11	Comps: 89633	 Hops: 1607.8810
range: 500045	 recall: 2.1655	 QPS: 10	Comps: 96440	 Hops: 1589.9048
range: 500046	 recall: 1.8619	 QPS: 11	Comps: 79863	 Hops: 1373.7858
range: 500047	 recall: 1.9738	 QPS: 11	Comps: 84712	 Hops: 1457.0238
range: 500048	 recall: 1.8881	 QPS: 13	Comps: 75313	 Hops: 1390.7858
range: 500049	 recall: 2.0645	 QPS: 11	Comps: 89138	 Hops: 1506.9048
range: 500050	 recall: 1.6164	 QPS: 13	Comps: 73374	 Hops: 1171.6190
range: 500051	 recall: 1.9843	 QPS: 12	Comps: 84201	 Hops: 1440.0714
range: 500052	 recall: 1.9669	 QPS: 11	Comps: 86802	 Hops: 1440.1666
range: 500053	 recall: 1.6324	 QPS: 13	Comps: 75479	 Hops: 1188.9762
range: 500054	 recall: 1.7010	 QPS: 14	Comps: 70183	 Hops: 1238.1904
range: 500055	 recall: 1.9829	 QPS: 11	Comps: 86178	 Hops: 1456.5238
range: 500056	 recall: 1.9229	 QPS: 12	Comps: 77898	 Hops: 1423.4762
range: 500057	 recall: 2.1738	 QPS: 10	Comps: 96991	 Hops: 1590.7620
range: 500058	 recall: 1.9814	 QPS: 11	Comps: 83845	 Hops: 1456.0952
range: 500059	 recall: 1.5205	 QPS: 14	Comps: 67984	 Hops: 1121.6904
range: 500060	 recall: 1.8888	 QPS: 12	Comps: 83114	 Hops: 1391.4762
range: 500061	 recall: 1.8988	 QPS: 11	Comps: 81921	 Hops: 1388.9524
range: 500062	 recall: 1.7586	 QPS: 12	Comps: 82676	 Hops: 1288.9762
range: 500063	 recall: 1.7100	 QPS: 12	Comps: 79688	 Hops: 1238.9524
range: 500064	 recall: 1.3933	 QPS: 17	Comps: 57516	 Hops: 1021.2857
range: 500065	 recall: 1.3717	 QPS: 19	Comps: 50781	 Hops: 1004.7619
range: 500066	 recall: 1.5024	 QPS: 14	Comps: 65696	 Hops: 1104.9524
range: 500067	 recall: 1.4952	 QPS: 14	Comps: 68188	 Hops: 1121.6190
range: 500068	 recall: 1.3719	 QPS: 14	Comps: 66300	 Hops: 1037.7380
range: 500069	 recall: 1.3960	 QPS: 15	Comps: 61919	 Hops: 1037.5952
range: 500070	 recall: 1.2131	 QPS: 17	Comps: 54278	 Hops: 870.6429
range: 500071	 recall: 1.3243	 QPS: 17	Comps: 57112	 Hops: 971.4286
range: 500072	 recall: 1.1526	 QPS: 19	Comps: 51528	 Hops: 819.9048
range: 500073	 recall: 1.6098	 QPS: 12	Comps: 77868	 Hops: 1171.8334
range: 500074	 recall: 1.6440	 QPS: 14	Comps: 69718	 Hops: 1222.7142
range: 500075	 recall: 1.5200	 QPS: 15	Comps: 63129	 Hops: 1105.4762
range: 500076	 recall: 1.4379	 QPS: 15	Comps: 60937	 Hops: 1072.4048
range: 500077	 recall: 1.0438	 QPS: 22	Comps: 42409	 Hops: 753.9524
range: 500078	 recall: 1.1664	 QPS: 20	Comps: 48196	 Hops: 870.6667
range: 500079	 recall: 1.4017	 QPS: 15	Comps: 64881	 Hops: 1020.7857
range: 500080	 recall: 1.1455	 QPS: 17	Comps: 55960	 Hops: 837.3333
range: 500081	 recall: 1.3250	 QPS: 17	Comps: 55959	 Hops: 971.4524
range: 500082	 recall: 1.3138	 QPS: 16	Comps: 57511	 Hops: 971.0952
range: 500083	 recall: 1.1814	 QPS: 18	Comps: 52519	 Hops: 854.0476
range: 500084	 recall: 1.1910	 QPS: 18	Comps: 53258	 Hops: 870.6667
range: 500085	 recall: 1.2271	 QPS: 18	Comps: 52338	 Hops: 904.3333
range: 500086	 recall: 1.2705	 QPS: 17	Comps: 59234	 Hops: 937.1190
range: 500087	 recall: 1.0279	 QPS: 21	Comps: 45649	 Hops: 753.7143
range: 500088	 recall: 1.4367	 QPS: 16	Comps: 58428	 Hops: 1054.9286
range: 500089	 recall: 1.2638	 QPS: 17	Comps: 54881	 Hops: 921.1190
range: 500090	 recall: 1.3086	 QPS: 15	Comps: 63618	 Hops: 954.6905
range: 500091	 recall: 0.8860	 QPS: 25	Comps: 37394	 Hops: 670.0952
range: 500092	 recall: 0.8826	 QPS: 26	Comps: 37752	 Hops: 636.6905
range: 500093	 recall: 0.7819	 QPS: 28	Comps: 35780	 Hops: 569.3095
range: 500094	 recall: 1.4595	 QPS: 16	Comps: 59641	 Hops: 1071.8572
range: 500095	 recall: 0.8814	 QPS: 25	Comps: 38482	 Hops: 669.4524
range: 500096	 recall: 1.2893	 QPS: 18	Comps: 54604	 Hops: 954.1190
range: 500097	 recall: 1.2205	 QPS: 19	Comps: 48456	 Hops: 887.3571
range: 500098	 recall: 0.8505	 QPS: 27	Comps: 36940	 Hops: 637.4286
range: 500099	 recall: 0.7814	 QPS: 23	Comps: 39569	 Hops: 569.0714
range: 500100	 recall: 0.9498	 QPS: 24	Comps: 39861	 Hops: 686.2857
range: 500101	 recall: 0.7790	 QPS: 28	Comps: 34440	 Hops: 569.0952
range: 500102	 recall: 0.8421	 QPS: 27	Comps: 35693	 Hops: 620.1190
range: 500103	 recall: 0.8052	 QPS: 26	Comps: 37366	 Hops: 585.7619
range: 500104	 recall: 0.8005	 QPS: 27	Comps: 35255	 Hops: 586.1667
range: 500105	 recall: 0.8381	 QPS: 30	Comps: 32219	 Hops: 619.2381
range: 500106	 recall: 0.8431	 QPS: 24	Comps: 41197	 Hops: 619.4524
range: 500107	 recall: 0.9105	 QPS: 25	Comps: 38211	 Hops: 653.7143
range: 500108	 recall: 0.8898	 QPS: 24	Comps: 39649	 Hops: 652.6905
range: 500109	 recall: 0.7990	 QPS: 30	Comps: 31907	 Hops: 585.8571
range: 500110	 recall: 0.9648	 QPS: 23	Comps: 42124	 Hops: 703.3810
range: 500111	 recall: 0.8988	 QPS: 24	Comps: 39617	 Hops: 652.5476
range: 500112	 recall: 0.6936	 QPS: 28	Comps: 32983	 Hops: 502.2381
range: 500113	 recall: 0.7469	 QPS: 29	Comps: 31243	 Hops: 536.1429
range: 500114	 recall: 0.8693	 QPS: 25	Comps: 38355	 Hops: 636.2857
range: 500115	 recall: 0.7174	 QPS: 31	Comps: 30959	 Hops: 535.9762
range: 500116	 recall: 0.8607	 QPS: 25	Comps: 37999	 Hops: 636.0238
range: 500117	 recall: 0.6038	 QPS: 34	Comps: 27659	 Hops: 435.5476
range: 500118	 recall: 1.1445	 QPS: 20	Comps: 47421	 Hops: 837.3333
range: 500119	 recall: 0.8776	 QPS: 29	Comps: 32808	 Hops: 636.1905
range: 500120	 recall: 0.8710	 QPS: 24	Comps: 41087	 Hops: 635.8810
range: 500121	 recall: 0.8460	 QPS: 28	Comps: 34139	 Hops: 619.6667
range: 500122	 recall: 0.6940	 QPS: 29	Comps: 32264	 Hops: 518.9762
range: 500123	 recall: 0.7881	 QPS: 26	Comps: 35440	 Hops: 569.3333
range: 500124	 recall: 0.8121	 QPS: 26	Comps: 35850	 Hops: 602.9048
range: 500125	 recall: 0.3098	 QPS: 65	Comps: 15249	 Hops: 234.1667
range: 500126	 recall: 0.6448	 QPS: 39	Comps: 25078	 Hops: 468.8095
range: 500127	 recall: 0.6924	 QPS: 39	Comps: 24641	 Hops: 502.7381
range: 500128	 recall: 0.6736	 QPS: 31	Comps: 31486	 Hops: 486.1667
range: 500129	 recall: 0.8312	 QPS: 27	Comps: 36146	 Hops: 602.7619
range: 500130	 recall: 0.6921	 QPS: 27	Comps: 32000	 Hops: 502.7857
range: 500131	 recall: 0.7814	 QPS: 26	Comps: 36710	 Hops: 568.9048
range: 500132	 recall: 0.7745	 QPS: 27	Comps: 35460	 Hops: 585.5238
range: 500133	 recall: 0.5543	 QPS: 42	Comps: 22106	 Hops: 402.3095
range: 500134	 recall: 0.5557	 QPS: 39	Comps: 24787	 Hops: 401.5238
range: 500135	 recall: 0.5948	 QPS: 50	Comps: 18703	 Hops: 435.9762
range: 500136	 recall: 0.7095	 QPS: 30	Comps: 31695	 Hops: 519.1667
range: 500137	 recall: 0.6526	 QPS: 32	Comps: 29679	 Hops: 485.8333
range: 500138	 recall: 0.4381	 QPS: 51	Comps: 18658	 Hops: 318.0952
range: 500139	 recall: 0.6407	 QPS: 34	Comps: 27948	 Hops: 468.5476
range: 500140	 recall: 0.8017	 QPS: 27	Comps: 35365	 Hops: 586.0476
range: 500141	 recall: 0.3924	 QPS: 54	Comps: 17269	 Hops: 284.5000
range: 500142	 recall: 0.4557	 QPS: 51	Comps: 18494	 Hops: 335.1667
range: 500143	 recall: 0.5100	 QPS: 40	Comps: 24432	 Hops: 368.5476
range: 500144	 recall: 0.6055	 QPS: 35	Comps: 27710	 Hops: 452.2381
range: 500145	 recall: 0.5274	 QPS: 39	Comps: 24564	 Hops: 385.1190
range: 500146	 recall: 0.7240	 QPS: 33	Comps: 27649	 Hops: 536.1905
range: 500147	 recall: 0.4829	 QPS: 44	Comps: 22439	 Hops: 351.4524
range: 500148	 recall: 0.7860	 QPS: 27	Comps: 34248	 Hops: 569.5238
range: 500149	 recall: 0.5214	 QPS: 41	Comps: 23528	 Hops: 384.7857
range: 500150	 recall: 0.4976	 QPS: 48	Comps: 20074	 Hops: 368.5238
range: 500151	 recall: 0.2740	 QPS: 72	Comps: 12876	 Hops: 200.6905
range: 500152	 recall: 0.8157	 QPS: 27	Comps: 32587	 Hops: 602.7143
range: 500153	 recall: 0.4757	 QPS: 42	Comps: 22823	 Hops: 351.5714
range: 500154	 recall: 0.5338	 QPS: 44	Comps: 21740	 Hops: 384.8571
range: 500155	 recall: 0.4307	 QPS: 50	Comps: 18374	 Hops: 318.2619
range: 500156	 recall: 0.6798	 QPS: 32	Comps: 30688	 Hops: 502.1429
range: 500157	 recall: 0.5510	 QPS: 37	Comps: 26983	 Hops: 401.7381
range: 500158	 recall: 0.5471	 QPS: 35	Comps: 25390	 Hops: 401.9048
range: 500159	 recall: 0.3245	 QPS: 74	Comps: 11691	 Hops: 234.4286
range: 500160	 recall: 0.4610	 QPS: 57	Comps: 16961	 Hops: 335.1667
range: 500161	 recall: 0.4562	 QPS: 41	Comps: 22578	 Hops: 334.6190
range: 500162	 recall: 0.5907	 QPS: 42	Comps: 22298	 Hops: 435.5238
range: 500163	 recall: 0.5802	 QPS: 37	Comps: 26913	 Hops: 435.3095
range: 500164	 recall: 0.4581	 QPS: 46	Comps: 21162	 Hops: 334.6190
