Algorithm,QPS,CPQ,recall
ACORN_random,965.448,1779.992,0.888
ACORN_random,662.084,2451.908,0.93
ACORN_random,382.521,3080.349,0.951
ACORN_random,299.435,5075.265,0.979
ACORN_random,214.041,6367.552,0.986
ACORN_random,158.294,8750.501,0.992
ACORN_random,128.009,10939.124,0.995
ACORN_random,68.654,12991.837,0.996
ACORN_random,50.441,21969.334,0.999
ACORN_in_dist,875.174,1029.177,0.762
ACORN_in_dist,603.427,1759.864,0.886
ACORN_in_dist,599.129,2424.963,0.93
ACORN_in_dist,425.263,3639.896,0.963
ACORN_in_dist,298.179,5019.877,0.979
ACORN_in_dist,158.731,8652.745,0.992
ACORN_in_dist,110.213,10815.583,0.995
ACORN_in_dist,97.393,12843.253,0.996
ACORN_in_dist,50.461,21705.709,0.999
ACORN_out_dist,1721.8,1029.81,0.763
ACORN_out_dist,655.924,2424.887,0.93
ACORN_out_dist,509.087,3046.692,0.951
ACORN_out_dist,421.855,3638.522,0.964
ACORN_out_dist,237.652,5017.468,0.979
ACORN_out_dist,232.068,6297.224,0.986
ACORN_out_dist,163.12,8649.348,0.992
ACORN_out_dist,125.202,10813.012,0.995
ACORN_out_dist,103.241,12839.543,0.996
ACORN_out_dist,55.93,21705.805,0.999
