Algorithm,QPS,CPQ,recall
DSG_random,1576.9669,506.762,0.7058
DSG_random,1261.5539,617.3793,0.7782
DSG_random,770.8848,985.054,0.889
DSG_random,553.9656,1297.1813,0.9275
DSG_random,346.0249,1595.3099,0.9482
DSG_random,304.2925,1883.195,0.9613
DSG_random,296.3495,2559.3039,0.9783
DSG_random,226.5636,3195.3913,0.986
DSG_random,121.535,4382.1871,0.9927
DSG_random,119.454,5488.0346,0.9956
DSG_random,107.6789,6535.3573,0.9969
DSG_random,62.9712,11235.328,0.9993
DSG_in_dist,1647.7828,468.9296,0.6572
DSG_in_dist,1521.6344,508.1173,0.6918
DSG_in_dist,1347.3875,564.5431,0.734
DSG_in_dist,1219.1207,618.8783,0.7654
DSG_in_dist,1168.4488,653.7114,0.782
DSG_in_dist,757.4168,981.9127,0.8776
DSG_in_dist,573.9523,1288.8438,0.9183
DSG_in_dist,399.741,1864.0263,0.9545
DSG_in_dist,275.6797,2528.8793,0.9733
DSG_in_dist,233.3035,3155.6671,0.9821
DSG_in_dist,163.6792,4322.9418,0.9902
DSG_in_dist,132.1188,5410.6679,0.9938
DSG_in_dist,110.596,6441.6201,0.9958
DSG_in_dist,59.2603,11052.946,0.9989
