Algorithm,QPS,CPQ,recall
Milvus_HNSW_random,83.88218333705527,-1.0,0.97959
Milvus_HNSW_random,83.50719566123442,-1.0,0.9857
Milvus_HNSW_random,83.28265072378706,-1.0,0.99114
Milvus_HNSW_random,81.82536177742223,-1.0,0.99408
Milvus_HNSW_random,81.64547728830274,-1.0,0.99531
Milvus_HNSW_random,78.07901174817243,-1.0,0.99924
Milvus_HNSW_random,72.83424805436081,-1.0,0.99975
Milvus_HNSW_random,69.46721136010336,-1.0,0.99988
Milvus_HNSW_random,66.78853762461951,-1.0,0.99992
Milvus_HNSW_random,61.21139334897858,-1.0,0.99997
Milvus_HNSW_random,56.15680133628183,-1.0,0.99997
Milvus_HNSW_random,49.18540726658085,-1.0,0.99999
Milvus_HNSW_random,44.13100087462588,-1.0,0.99999
Milvus_HNSW_random,40.49279949689847,-1.0,0.99999
Milvus_HNSW_random,30.828005125689167,-1.0,0.99999
Milvus_HNSW_in_dist,33.21848314238907,-1.0,0.96937
Milvus_HNSW_in_dist,33.01234271152362,-1.0,0.98411
Milvus_HNSW_in_dist,32.86273613088985,-1.0,0.99067
Milvus_HNSW_in_dist,32.53807606599301,-1.0,0.99394
Milvus_HNSW_in_dist,32.35508131782343,-1.0,0.99511
Milvus_HNSW_in_dist,30.9015744526882,-1.0,0.99883
Milvus_HNSW_in_dist,29.608496952130647,-1.0,0.99952
Milvus_HNSW_in_dist,28.40339839785916,-1.0,0.99977
Milvus_HNSW_in_dist,27.362906649873,-1.0,0.99988
Milvus_HNSW_in_dist,24.295841364743055,-1.0,0.99998
Milvus_HNSW_in_dist,22.85832999030417,-1.0,0.99999
Milvus_HNSW_in_dist,20.845549261842127,-1.0,1.0
Milvus_HNSW_in_dist,18.169311486196527,-1.0,1.0
Milvus_HNSW_in_dist,16.702632193144737,-1.0,1.0
Milvus_HNSW_in_dist,11.6541780735233,-1.0,1.0
