Algorithm,QPS,CPQ,recall
Milvus_IVFPQ_random,121.56915811457212,-1.0,0.81881
Milvus_IVFPQ_random,117.69675468913351,-1.0,0.84646
Milvus_IVFPQ_random,110.63554463777407,-1.0,0.86698
Milvus_IVFPQ_random,97.3291593520774,-1.0,0.87708
Milvus_IVFPQ_random,93.66753864958626,-1.0,0.87955
Milvus_IVFPQ_random,81.47330478423501,-1.0,0.88274
Milvus_IVFPQ_random,62.18714683802427,-1.0,0.88429
Milvus_IVFPQ_in_dist,79.3881725579355,-1.0,0.81688
Milvus_IVFPQ_in_dist,78.23125878518917,-1.0,0.84455
Milvus_IVFPQ_in_dist,75.63694954531215,-1.0,0.86529
Milvus_IVFPQ_in_dist,72.18879256699752,-1.0,0.87617
Milvus_IVFPQ_in_dist,69.9553328378929,-1.0,0.87953
Milvus_IVFPQ_in_dist,62.65107819664764,-1.0,0.88272
Milvus_IVFPQ_in_dist,48.39836314891056,-1.0,0.88436
Milvus_IVFPQ_out_dist,120.4167078457748,-1.0,0.818
Milvus_IVFPQ_out_dist,117.34677272244288,-1.0,0.84544
Milvus_IVFPQ_out_dist,107.92254135674656,-1.0,0.86683
Milvus_IVFPQ_out_dist,95.5708273990407,-1.0,0.87692
Milvus_IVFPQ_out_dist,90.00510283790456,-1.0,0.87953
Milvus_IVFPQ_out_dist,79.44397114771522,-1.0,0.88242
Milvus_IVFPQ_out_dist,60.51962257394631,-1.0,0.88427
