Algorithm,QPS,CPQ,recall
SeRF_random,10195.0,287.0,0.4516
SeRF_random,9022.0,317.0,0.4928
SeRF_random,8082.0,358.0,0.5411
SeRF_random,7132.0,398.0,0.5809
SeRF_random,6549.0,423.0,0.6043
SeRF_random,4114.0,655.0,0.7444
SeRF_random,3202.0,866.0,0.8108
SeRF_random,2485.0,1069.0,0.8519
SeRF_random,2234.0,1267.0,0.8791
SeRF_random,1569.0,1744.0,0.9197
SeRF_random,1124.0,2200.0,0.9415
SeRF_random,878.0,3067.0,0.9636
SeRF_random,699.0,3889.0,0.9743
SeRF_random,577.0,4677.0,0.9803
SeRF_random,322.0,8273.0,0.9923
SeRF_in_dist,6305.0,269.0,0.4342
SeRF_in_dist,5515.0,298.0,0.4762
SeRF_in_dist,4867.0,337.0,0.5257
SeRF_in_dist,4166.0,398.0,0.5893
SeRF_in_dist,2643.0,614.0,0.7275
SeRF_in_dist,2015.0,810.0,0.795
SeRF_in_dist,1585.0,997.0,0.8366
SeRF_in_dist,1364.0,1178.0,0.8634
SeRF_in_dist,1013.0,1615.0,0.9045
SeRF_in_dist,580.0,2827.0,0.9524
SeRF_in_dist,382.0,4298.0,0.9719
SeRF_in_dist,215.0,7595.0,0.9864
