Algorithm,QPS,CPQ,recall
UNIFY_random,7286.227943,755.6362,0.80658
UNIFY_random,6668.840693,848.0403,0.83483
UNIFY_random,5370.301823,983.8795,0.86643
UNIFY_random,4741.500143,1114.8013,0.88883
UNIFY_random,4315.691898,1333.1499,0.89956
UNIFY_random,3779.278387,1505.9786,0.91938
UNIFY_random,3229.981917,1760.5105,0.94042
UNIFY_random,2650.910336,2008.8713,0.95462
UNIFY_random,2524.519135,2023.0938,0.95744
UNIFY_random,1803.90621,2777.6958,0.97562
UNIFY_random,1396.041985,3486.3153,0.98388
UNIFY_random,1166.524519,4165.8484,0.98845
UNIFY_random,1041.765924,5040.1508,0.99582
UNIFY_random,815.239417,6299.9993,0.99793
UNIFY_random,695.751252,7489.5959,0.9989
UNIFY_random,511.867797,10246.7142,0.99957
UNIFY_random,285.154841,17381.0216,0.99991
UNIFY_random,227.774101,21579.2915,0.99993
UNIFY_random,114.074634,42515.2542,0.99994
UNIFY_in_dist,2529.964546,1985.4489,0.95595
UNIFY_in_dist,1803.335301,2724.5654,0.97472
UNIFY_in_dist,927.67167,6090.7136,0.99748
UNIFY_out_dist,4384.80171,1180.2221,0.90026
UNIFY_out_dist,2130.242116,2096.9828,0.95888
UNIFY_out_dist,1309.184654,2719.2672,0.97593
UNIFY_out_dist,1294.044218,3414.4241,0.98447
UNIFY_out_dist,995.933117,4858.5314,0.99528
UNIFY_out_dist,821.469454,6077.8609,0.99777
UNIFY_out_dist,479.195215,9766.487,0.99824
UNIFY_out_dist,369.519703,12259.9986,0.9989
UNIFY_out_dist,245.004964,14611.1444,0.99923
UNIFY_out_dist,244.004779,16784.3877,0.99991
UNIFY_out_dist,167.304753,20851.5509,0.99993
UNIFY_out_dist,154.221365,24638.564,0.99996
UNIFY_out_dist,115.132574,41106.0395,0.99996
