Algorithm,QPS,CPQ,recall
UNIFY_hybrid_random,6516.651604,755.6362,0.80658
UNIFY_hybrid_random,5806.982633,848.0403,0.83483
UNIFY_hybrid_random,4424.253701,983.8795,0.86643
UNIFY_hybrid_random,3996.193125,1114.8013,0.88883
UNIFY_hybrid_random,3596.053099,1333.1499,0.89956
UNIFY_hybrid_random,3433.996277,1505.9786,0.91938
UNIFY_hybrid_random,2729.858373,1760.5105,0.94042
UNIFY_hybrid_random,2493.383412,2008.8713,0.95462
UNIFY_hybrid_random,2133.630901,2170.9347,0.96207
UNIFY_hybrid_random,1617.291877,2777.6958,0.97562
UNIFY_hybrid_random,1217.242897,3681.9696,0.98983
UNIFY_hybrid_random,943.210179,5040.1508,0.99582
UNIFY_hybrid_random,757.675574,6299.9993,0.99793
UNIFY_hybrid_random,350.001545,12777.1694,0.99982
UNIFY_hybrid_random,244.941531,17384.7789,0.99989
UNIFY_hybrid_random,224.055973,21583.463,0.99993
UNIFY_hybrid_random,174.39426,25505.6935,0.99993
UNIFY_hybrid_random,105.891767,42520.7982,0.99994
