Algorithm,QPS,CPQ,recall
iRangeGraph_random,3402.01,768.0,0.84096
iRangeGraph_random,2361.94,1227.0,0.92927
iRangeGraph_random,1526.17,1714.0,0.96376
iRangeGraph_random,1225.84,2194.0,0.97935
iRangeGraph_random,1089.23,2667.0,0.98733
iRangeGraph_random,887.165,3816.0,0.99508
iRangeGraph_random,510.844,4923.0,0.99772
iRangeGraph_random,377.32,7036.0,0.99928
iRangeGraph_random,357.792,9042.0,0.99975
iRangeGraph_random,230.754,10963.0,0.99984
iRangeGraph_random,158.96,19651.0,0.99992
iRangeGraph_in_dist,4370.84,773.0,0.84377
iRangeGraph_in_dist,3173.28,1229.0,0.93097
iRangeGraph_in_dist,2385.98,1715.0,0.96502
iRangeGraph_in_dist,1970.8,2194.0,0.97968
iRangeGraph_in_dist,1638.74,2665.0,0.98754
iRangeGraph_in_dist,1188.48,3809.0,0.99515
iRangeGraph_in_dist,658.4,7003.0,0.99925
iRangeGraph_in_dist,517.453,8991.0,0.99965
iRangeGraph_in_dist,233.273,19474.0,0.99995
iRangeGraph_out_dist,3999.37,770.0,0.84243
iRangeGraph_out_dist,2994.95,1227.0,0.92954
iRangeGraph_out_dist,2234.39,1711.0,0.96389
iRangeGraph_out_dist,1660.99,2189.0,0.97927
iRangeGraph_out_dist,1564.09,2660.0,0.98696
iRangeGraph_out_dist,896.409,3800.0,0.99515
iRangeGraph_out_dist,894.013,4898.0,0.99769
iRangeGraph_out_dist,627.006,6989.0,0.99928
iRangeGraph_out_dist,381.099,8974.0,0.99972
iRangeGraph_out_dist,332.918,10870.0,0.99988
iRangeGraph_out_dist,225.129,19437.0,0.99998
