ACORN,HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
968.645,16126.064,3080.89,3436.75,958.0,1064.0,4897.0553,635.1812,0.01
1082.285,16126.064,3303.35,4195.07,1203.0,1121.0,2963.2942,789.7183,0.02
1407.849,10842.594,3602.97,4710.37,1172.0,1156.0,2251.9706,856.4588,0.03
1655.665,5563.487,3506.27,5021.41,1274.0,1170.0,1878.6554,896.683,0.04
1855.195,0.0,3854.44,5300.09,1357.0,1187.0,1654.2483,923.703,0.05
2017.355,0.0,3834.83,5558.76,1417.0,1202.0,1505.0284,940.231,0.06
2156.324,0.0,3641.2,5772.66,1479.0,1208.0,1392.167,956.5253,0.07
2271.488,0.0,3685.49,5908.0,1518.0,1212.0,1307.695,1268.0056,0.08
2368.467,0.0,3847.84,6075.31,1557.0,1219.0,1251.533,1285.4574,0.09
2451.908,0.0,4017.8,6206.92,1592.0,1227.0,1201.4121,1297.1813,0.1
