Algorithm,QPS,CPQ
HNSW,689.272,1010.147
HNSW,603.171,909.369
HNSW,569.564,1308.181
HNSW,561.652,1407.603
HNSW,537.891,1909.739
HNSW,522.696,2164.631
HNSW,502.817,2422.108
HNSW,501.171,1159.761
HNSW,480.947,1657.247
HNSW,477.184,4509.901
HNSW,377.722,5563.487
HNSW,289.825,3460.198
HNSW,266.479,10842.594
HNSW,216.998,8201.242
HNSW,165.817,26697.132
HNSW,153.497,16126.064
HNSW,150.424,21413.558
HNSW,135.911,31981.625
HNSW,130.136,37264.155
HNSW,99.346,42546.538
ACORN,1190.618,1224.117
ACORN,801.568,1326.054
ACORN,750.894,907.409
ACORN,537.896,1068.333
ACORN,391.166,4800.728
ACORN,376.3,4001.507
ACORN,229.582,797.243
ACORN,204.517,2283.949
ACORN,198.999,8462.889
ACORN,181.422,3166.509
ACORN,170.038,6689.33
ACORN,128.976,14870.233
ACORN,110.378,11775.701
ACORN,53.323,17807.635
ACORN,43.814,30990.502
SeRF,7312.0,579.0
SeRF,5086.0,790.0
SeRF,4723.0,751.0
SeRF,4673.0,865.0
SeRF,4187.0,975.0
SeRF,3644.0,1082.0
SeRF,3611.0,477.0
SeRF,3507.0,711.0
SeRF,2803.0,1093.0
SeRF,2490.0,1497.0
SeRF,2356.0,1152.0
SeRF,2163.0,1668.0
SeRF,1861.0,1836.0
SeRF,1767.0,1611.0
SeRF,1468.0,1326.0
SeRF,1062.0,3135.0
SeRF,686.0,5230.0
SeRF,550.0,6628.0
SeRF,386.0,9256.0
SeRF,304.0,11718.0
SeRF,247.0,14059.0
SeRF,194.0,11028.0
SeRF,192.0,18467.0
SeRF,153.0,20565.0
SeRF,132.0,16302.0
WST_vamana,1092.176590540046,5711.03
WST_vamana,1065.115242626916,6289.25
WST_vamana,894.3794013380601,7148.0
WST_vamana,878.2467227899772,8000.02
WST_vamana,773.1518461736209,8566.39
WST_vamana,493.8366029367703,14231.4
WST_vamana,373.6721190867488,19916.5
WST_vamana,284.7112357245296,23953.4
WST_vamana,240.3714224640889,27347.2
WST_vamana,178.5204826595414,36299.0
WST_vamana,137.31405402158836,43847.4
WST_opt,2487.324991060156,2135.21
WST_opt,2435.251195604835,2328.86
WST_opt,2403.3226937380905,2469.83
WST_opt,1907.0116837601763,5984.15
WST_opt,1885.7730578619708,5780.59
WST_opt,1798.2505670681269,2646.55
WST_opt,1498.994024186306,4407.37
WST_opt,1498.499179993792,4869.86
WST_opt,1428.382275775902,4845.02
WST_opt,1406.628031132452,5195.41
WST_opt,1235.3377596885548,4630.95
WST_opt,1170.048211474931,5186.04
WST_opt,911.6180978678246,7194.55
WST_opt,700.6367681824781,8972.68
WST_opt,537.8981891009078,10605.6
WST_opt,404.87579144029314,14741.3
WST_opt,286.5872544070068,18516.2
UNIFY,1437.2935,3492.0313
UNIFY,1316.191532,3611.1589
UNIFY,1301.466169,3867.0046
UNIFY,1267.772273,3997.9146
UNIFY,1140.7634,4413.6146
UNIFY,1047.719725,4564.447
UNIFY,952.774457,4950.8174
UNIFY,919.392907,5120.9299
UNIFY,856.548789,5486.9911
UNIFY,850.409066,5303.8443
UNIFY,540.859719,8561.1819
UNIFY,501.724208,8863.8419
UNIFY,384.340891,11483.0564
UNIFY,372.093198,11896.2603
UNIFY,312.940304,14176.6984
UNIFY,304.905658,14692.3073
UNIFY,274.668641,16703.7698
UNIFY,266.216198,17315.4446
UNIFY,203.644139,22503.4662
UNIFY,190.548369,23334.6897
UNIFY,158.031369,27756.6722
UNIFY,154.756747,28786.9064
UNIFY,119.021071,37207.3456
UNIFY,115.584889,38597.4964
