Algorithm,QPS,CPQ
HNSW,853.348,1078.852
HNSW,764.259,1200.895
HNSW,763.237,1679.386
HNSW,748.141,1562.501
HNSW,630.965,1382.762
HNSW,511.111,5288.92
HNSW,484.208,2877.704
HNSW,469.964,6502.298
HNSW,358.409,4078.06
HNSW,285.41,9546.734
ACORN,3045.809,601.44
ACORN,1945.581,792.297
ACORN,1827.906,902.32
ACORN,1721.515,974.029
ACORN,981.176,1655.111
ACORN,697.457,2298.95
ACORN,310.937,2920.417
ACORN,266.172,679.303
ACORN,104.256,3523.937
ACORN,84.494,4974.988
SeRF,10021.0,295.0
SeRF,7498.0,379.0
SeRF,6674.0,423.0
SeRF,6255.0,450.0
SeRF,3909.0,692.0
SeRF,2962.0,330.0
SeRF,2892.0,908.0
SeRF,2312.0,1112.0
SeRF,1935.0,1311.0
SeRF,1430.0,1791.0
WST_vamana,1456.2770278394362,5505.93
WST_vamana,1328.9265849160402,6126.14
WST_vamana,1177.0836350198367,7034.18
WST_vamana,1051.0326047829744,7934.14
WST_vamana,1008.744852082402,8530.14
WST_vamana,622.4993210366323,14405.8
WST_vamana,455.2704607123611,20246.1
WST_vamana,361.7471132986514,24361.5
WST_vamana,298.0845370153084,27737.6
WST_vamana,217.3987072939817,36587.4
WST_vamana,168.7151874665978,43860.1
WST_opt,2147.6437488280726,4852.65
WST_opt,2140.5091909425973,4918.89
WST_opt,2093.2340937467343,4940.61
WST_opt,2012.432322233755,5326.31
WST_opt,1977.3523295001376,5664.2
WST_opt,1660.2624790023092,5708.22
WST_opt,1147.133274480235,7910.16
WST_opt,867.9340385658837,9910.97
WST_opt,696.0495330964658,11763.8
WST_opt,466.7083684247961,16477.6
WST_opt,340.58638260562213,20814.1
UNIFY,6361.126235,818.8399
UNIFY,5596.510934,919.512
UNIFY,4784.086685,1065.1869
UNIFY,4132.93284,1207.6544
UNIFY,3791.447191,1300.0187
UNIFY,3747.967206,1488.2617
UNIFY,3288.563552,1680.6885
UNIFY,2715.823172,1963.996
UNIFY,2389.363511,2241.7042
UNIFY,2296.224064,2168.957
UNIFY,2190.552904,2422.3173
UNIFY,1577.886689,2990.7567
UNIFY,1233.251315,4152.4328
UNIFY,1018.560524,4550.4556
UNIFY,875.551613,5776.6842
UNIFY,726.35864,6402.5465
UNIFY,697.712489,3780.6804
UNIFY,691.715998,7322.0411
UNIFY,576.114077,8814.4163
UNIFY,413.475432,12358.7059
UNIFY_hybrid,6477.925682,818.8399
UNIFY_hybrid,5775.099449,919.512
UNIFY_hybrid,5113.930329,1065.1869
UNIFY_hybrid,4235.291457,1207.6544
UNIFY_hybrid,3858.530082,1300.0187
UNIFY_hybrid,3751.908916,1488.2617
UNIFY_hybrid,3306.187617,1680.6885
UNIFY_hybrid,2846.630344,1963.996
UNIFY_hybrid,2433.639112,2241.7042
UNIFY_hybrid,2289.171481,2168.957
UNIFY_hybrid,2228.463428,2422.3173
UNIFY_hybrid,1585.119071,2990.7567
UNIFY_hybrid,1245.407226,3780.6804
UNIFY_hybrid,1219.390863,4152.4328
UNIFY_hybrid,1063.30277,4550.4556
UNIFY_hybrid,899.850817,5776.6842
UNIFY_hybrid,721.730904,6402.5465
UNIFY_hybrid,697.689904,7322.0411
UNIFY_hybrid,579.927113,8814.4163
UNIFY_hybrid,411.758443,12358.7059
DSG,1770.165,528.8832
DSG,1632.9839,576.4917
DSG,1291.2028,707.2089
DSG,1222.3264,748.3835
DSG,823.1342,643.4783
DSG,779.6644,1122.1655
DSG,482.5372,1802.9364
DSG,415.6869,1468.3666
DSG,409.1606,2125.9654
DSG,273.9915,2906.0892
iRangeGraph,4125.41,784.0
iRangeGraph,4077.22,783.0
iRangeGraph,4019.22,796.0
iRangeGraph,3946.01,785.0
iRangeGraph,2678.42,1287.0
iRangeGraph,2103.8,1783.0
iRangeGraph,1713.26,2270.0
iRangeGraph,1447.63,2752.0
iRangeGraph,1021.19,3947.0
iRangeGraph,582.418,818.0
