Algorithm,QPS,CPQ
HNSW,2388.493,819.15
HNSW,2492.728,891.896
HNSW,2217.537,996.531
HNSW,1898.516,1096.797
HNSW,1764.326,1162.106
HNSW,1279.487,1807.782
HNSW,957.489,2445.739
HNSW,813.813,3085.427
HNSW,503.061,3730.825
HNSW,541.784,5347.204
ACORN,1206.498,486.135
ACORN,1079.17,538.413
ACORN,931.949,611.528
ACORN,830.901,679.937
ACORN,471.694,723.87
ACORN,460.125,1117.105
ACORN,300.499,1470.157
ACORN,295.285,1800.922
ACORN,182.215,2115.452
ACORN,149.21,2852.531
SeRF,5223.0,257.0
SeRF,4747.0,292.0
SeRF,3933.0,341.0
SeRF,3554.0,387.0
SeRF,3263.0,417.0
SeRF,2637.0,515.0
SeRF,1487.0,677.0
SeRF,1591.0,832.0
SeRF,1415.0,982.0
SeRF,944.0,1347.0
SeRF,556.0,1699.0
SeRF,433.0,2362.0
SeRF,453.0,2970.0
SeRF,314.0,3526.0
SeRF,237.0,5760.0
WST_vamana,412.611195404116,2632.54
WST_vamana,319.833207099624,2949.16
WST_vamana,290.9439991360824,3407.97
WST_vamana,199.7209414033278,3851.44
WST_vamana,314.478370007446,4140.01
WST_vamana,219.2909677230124,6776.77
WST_vamana,156.19669589876682,9097.47
WST_vamana,142.38993084333077,10536.3
WST_vamana,122.16126206726132,11697.1
WST_vamana,85.95379814897177,14593.7
WST_vamana,85.92513360062075,16857.8
WST_opt,686.2284873799719,2898.25
WST_opt,630.1832629116266,3142.11
WST_opt,685.9218705594725,2882.75
WST_opt,598.5391451905058,3365.6
WST_opt,652.9528078547426,2915.28
WST_opt,532.782984942566,3319.7
WST_opt,388.1768602536686,4542.28
WST_opt,299.36962921526174,5683.75
WST_opt,252.53718405238385,6770.45
WST_opt,170.0821001081695,9522.16
WST_opt,132.5385079408354,12097.4
UNIFY,2074.783448,587.5965
UNIFY,2628.715463,654.4446
UNIFY,2153.600452,750.8194
UNIFY,1496.373092,950.1091
UNIFY,1907.895796,845.9655
UNIFY,1528.239985,1058.9203
UNIFY,1396.543768,1219.228
UNIFY,1179.914694,1376.4479
UNIFY,1107.123719,1479.8907
UNIFY,817.204951,2018.7546
UNIFY,674.175317,2525.3445
UNIFY,556.779006,3012.0039
UNIFY,406.95032,4156.8229
UNIFY,515.142375,3410.9108
UNIFY,413.534041,4300.7836
UNIFY,344.738493,5154.7065
UNIFY,248.27991,7164.111
UNIFY_hybrid,3044.209548,587.5965
UNIFY_hybrid,2701.503967,654.4446
UNIFY_hybrid,2145.01764,750.8194
UNIFY_hybrid,1732.684286,950.1091
UNIFY_hybrid,1853.620552,845.9655
UNIFY_hybrid,1528.27178,1058.9203
UNIFY_hybrid,1329.0586,1219.228
UNIFY_hybrid,1194.452345,1376.4479
UNIFY_hybrid,1081.10446,1483.6427
UNIFY_hybrid,834.676782,2018.7546
UNIFY_hybrid,655.073723,2525.3445
UNIFY_hybrid,564.190417,3012.0039
UNIFY_hybrid,414.163855,4156.8229
UNIFY_hybrid,500.956388,3410.9108
UNIFY_hybrid,390.657371,4300.7836
UNIFY_hybrid,340.11909,5154.7065
UNIFY_hybrid,251.119481,7164.111
DSG,39.8307,9146.834
DSG,175.4535,2737.8387
DSG,164.0473,2915.8998
DSG,151.7083,3171.4043
DSG,125.0441,3429.7428
DSG,124.9327,3592.9122
DSG,92.6371,5117.2391
DSG,67.835,6575.2273
DSG,56.2933,7927.1572
DSG,49.0333,9194.2925
DSG,37.2688,12039.2784
iRangeGraph,3413.35,559.0
iRangeGraph,3413.78,560.0
iRangeGraph,3139.1,558.0
iRangeGraph,3533.98,559.0
iRangeGraph,3378.14,560.0
iRangeGraph,3205.68,567.0
iRangeGraph,3076.87,597.0
iRangeGraph,2906.3,631.0
iRangeGraph,1667.57,1029.0
iRangeGraph,1204.94,1431.0
iRangeGraph,959.704,1837.0
iRangeGraph,825.434,2246.0
iRangeGraph,544.09,3266.0
iRangeGraph,417.281,4278.0
iRangeGraph,292.588,6253.0
iRangeGraph,231.556,8150.0
iRangeGraph,190.959,9963.0
iRangeGraph,104.226,17961.0
