Algorithm,QPS,CPQ
HNSW,2929.723,684.96
HNSW,2618.385,760.26
HNSW,2407.936,874.249
HNSW,2169.221,988.681
HNSW,1987.711,1066.185
HNSW,1378.516,1855.375
HNSW,1056.974,2655.95
HNSW,874.772,3461.033
HNSW,750.206,4266.654
HNSW,577.064,6287.944
ACORN,1683.497,475.727
ACORN,1263.274,592.343
ACORN,1189.15,524.689
ACORN,1133.162,655.776
ACORN,1017.51,695.978
ACORN,535.543,1046.682
ACORN,396.843,1617.729
ACORN,352.5,1347.539
ACORN,339.708,1868.875
ACORN,243.243,2436.48
SeRF,6177.0,239.0
SeRF,5425.0,262.0
SeRF,4682.0,292.0
SeRF,4393.0,320.0
SeRF,4021.0,338.0
SeRF,2458.0,500.0
SeRF,1668.0,777.0
SeRF,1503.0,643.0
SeRF,1483.0,902.0
SeRF,1102.0,1194.0
WST_vamana,920.7475577042304,1893.22
WST_vamana,813.1883463239514,2079.1
WST_vamana,754.7422548570505,2351.48
WST_vamana,692.0843189333632,2620.3
WST_vamana,633.3772759194638,2796.9
WST_vamana,479.7682363486862,4498.82
WST_vamana,413.72939919462175,6132.4
WST_vamana,318.7945508081286,7081.58
WST_vamana,275.78832577419706,7831.07
WST_vamana,209.9484895128344,9877.0
WST_vamana,177.51032908059315,11477.7
WST_opt,966.0679076706866,2970.74
WST_opt,897.2005286724955,2556.23
WST_opt,805.3099757886915,2921.96
WST_opt,749.639755751683,2775.13
WST_opt,735.9013176275699,2575.9
WST_opt,731.0881814425862,2618.75
WST_opt,550.9785873764795,3792.53
WST_opt,439.6891754924324,4494.51
WST_opt,390.4358672441497,5099.59
WST_opt,279.4680162176715,6681.84
WST_opt,233.32708688080416,8029.26
UNIFY,3298.461097,594.1617
UNIFY,2254.293745,661.989
UNIFY,2171.049645,758.6154
UNIFY,1986.733805,910.0064
UNIFY,1956.862018,973.8503
UNIFY,1783.906645,1091.9226
UNIFY,1639.327693,850.3568
UNIFY,1564.481489,1440.077
UNIFY,1460.037842,1525.2522
UNIFY,1380.140552,1261.304
UNIFY,1271.797049,1421.9185
UNIFY,769.023034,1898.8518
UNIFY,749.917898,2312.9169
UNIFY,701.37269,3201.6713
UNIFY,664.298373,2432.9881
UNIFY,661.680256,2697.7776
UNIFY,494.164958,3572.0824
UNIFY,460.722148,3883.8465
UNIFY,430.499175,4509.8668
UNIFY,340.248677,5900.1818
UNIFY_hybrid,4266.342473,594.3424
UNIFY_hybrid,3835.124635,661.9819
UNIFY_hybrid,3284.903961,758.8391
UNIFY_hybrid,2925.032404,850.6422
UNIFY_hybrid,2725.776418,974.2251
UNIFY_hybrid,2695.18619,910.2214
UNIFY_hybrid,2343.127032,1092.3817
UNIFY_hybrid,2037.321867,1261.8457
UNIFY_hybrid,1812.155015,1422.3608
UNIFY_hybrid,1727.72849,1440.1134
UNIFY_hybrid,1316.47307,1526.0752
UNIFY_hybrid,1254.225115,1899.2213
UNIFY_hybrid,1082.515011,2433.4466
UNIFY_hybrid,1036.477176,2313.577
UNIFY_hybrid,892.635292,2698.7837
UNIFY_hybrid,832.243499,3203.2312
UNIFY_hybrid,680.383098,3573.5256
UNIFY_hybrid,561.906201,4512.6551
UNIFY_hybrid,524.497793,3885.6408
UNIFY_hybrid,442.512834,5903.8641
DSG,1062.7371,381.6736
DSG,990.655,410.043
DSG,884.5913,450.3496
DSG,801.3074,489.076
DSG,765.4937,513.6785
DSG,511.7028,740.2733
DSG,399.2941,941.4682
DSG,336.2048,1126.1729
DSG,262.7774,1299.6655
DSG,225.7382,1697.2698
iRangeGraph,4352.62,530.0
iRangeGraph,4308.31,531.0
iRangeGraph,4076.6,540.0
iRangeGraph,3881.29,570.0
iRangeGraph,3801.24,601.0
iRangeGraph,2112.85,998.0
iRangeGraph,1555.3,1376.0
iRangeGraph,1241.83,1733.0
iRangeGraph,1027.81,2072.0
iRangeGraph,774.333,2860.0
