ACORN,HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
6367.552,0,6353.59,10308.4,7512.0,2667.0,3679.2246,3195.3913,0.1
7804.596,0,6701.7,0.0,9395.0,3943.0,3871.1574,4627.0217,0.2
11485.833,0,6907.33,0.0,10069.0,4012.0,3000790.0,4723.5886,0.30000000000000004
11714.507,0,7023.97,0.0,10573.0,4058.0,4001018.0,4771.5303,0.4
11775.701,0,7194.55,0.0,11028.0,4026.0,5001335.0,4792.2318,0.5
30531.834,0,7195.08,0.0,11453.0,4171.0,6001440.0,6061.9499,0.6000000000000001
30884.244,0,7195.08,0.0,11865.0,4274.0,0.0,6054.939,0.7000000000000001
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
0.0,0,0.0,0.0,0.0,0.0,6682.989,0.0,1.0
