ACORN,HNSW,IVFPQ,Milvus_IVFPQ,Milvus_HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
214.041,0,0,-1,35.75953259195446,1299.766139622944,364.8495495261023,322.0,1089.23,1419.475896,226.5636,0.1
160.292,0,0,0,0.0,868.3119979516443,0.0,199.0,463.082,1041.864465,144.469,0.2
157.43,0,0,0,0.0,848.1729930716933,0.0,215.0,742.448,1.245896,145.1188,0.30000000000000004
136.715,0,0,0,0.0,896.0547181851529,0.0,227.0,889.919,0.975665,139.75,0.4
128.976,0,0,0,0.0,923.0179999231534,0.0,194.0,894.744,0.739997,129.3826,0.5
55.238,0,0,0,0.0,913.8311213897435,0.0,238.0,1010.33,0.623263,107.8166,0.6000000000000001
44.958,0,0,0,0.0,1006.4114367658306,0.0,195.0,906.645,-1.0,105.4156,0.7000000000000001
0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.8
0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.9
0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,681.022724,0.0,1.0
