ACORN,HNSW,IVFPQ,Milvus_IVFPQ,Milvus_HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
167.839,80.383,-1,120.86362935673122,47.92479598322515,1401.9104642557627,785.7351118858907,1376.0,2696.54,607.085289,680.7819,0.01
186.417,39.147,-1,-1.0,32.41809376007584,1487.0223450925916,965.3325061320294,1167.0,3295.9,810.084665,588.3923,0.02
342.258,27.71,-1,-1.0,20.059240457448134,2100.1285121402566,1155.188076546898,1497.0,1744.66,2257.732672,609.2635,0.03
475.672,-1.0,-1,0.0,15.99715723124736,1854.8300470417848,1355.5239641464366,1416.0,1275.07,2816.878555,565.0438,0.04
486.846,0.0,-1,0.0,13.81520905194058,2187.9794008897347,1285.4643611835431,1221.0,1853.69,1865.540153,542.5977,0.05
490.687,0.0,0,0.0,12.158826704206382,2464.100412392598,1221.5718614744712,1302.0,1364.14,1892.890388,511.2776,0.06
495.981,0.0,0,-1.0,14.651680632413765,2525.4801210528917,954.6723294009936,901.0,1733.23,1852.564487,494.135,0.07
505.554,0.0,0,-1.0,37.64454104885662,1853.5699272873449,903.4358855471484,899.0,1367.97,2243.243814,493.0915,0.08
382.945,0.0,0,-1.0,36.85758283207469,2360.064481246303,706.3367301670803,713.0,1412.21,2361.364083,480.9206,0.09
409.334,0.0,0,-1.0,36.05544515328547,1850.6084791170176,774.992147167622,878.0,1526.17,2451.029995,450.1453,0.1
