Algorithm,QPS,CPQ,recall
Milvus_HNSW,310.8372496309242,-1.0,0.68305
Milvus_HNSW,308.2153981717641,-1.0,0.7054
Milvus_HNSW,302.0726783880856,-1.0,0.72928
Milvus_HNSW,296.00313229632945,-1.0,0.74819
Milvus_HNSW,261.7798233626052,-1.0,0.75738
Milvus_HNSW,234.26236165356843,-1.0,0.81193
Milvus_HNSW,216.37469824004685,-1.0,0.838
Milvus_HNSW,200.3601463388643,-1.0,0.8549
Milvus_HNSW,188.17288324427705,-1.0,0.86739
Milvus_HNSW,161.7289931481927,-1.0,0.88812
Milvus_HNSW,144.30747134869117,-1.0,0.90202
Milvus_HNSW,125.35940145672669,-1.0,0.92011
Milvus_HNSW,113.60154776821896,-1.0,0.93155
Milvus_HNSW,105.33257512769758,-1.0,0.93923
Milvus_HNSW,82.32451291027922,-1.0,0.95688
Milvus_IVFPQ,97.7133126430334,-1.0,0.93366
Milvus_IVFPQ,85.8991710540267,-1.0,0.94376
Milvus_IVFPQ,71.6072333797786,-1.0,0.9478
Milvus_IVFPQ,58.01792199469539,-1.0,0.94959
Milvus_IVFPQ,52.25276240294308,-1.0,0.95019
Milvus_IVFPQ,42.17775956942593,-1.0,0.95082
Milvus_IVFPQ,35.56801938375919,-1.0,0.95117
Milvus_IVFPQ,27.39643883944498,-1.0,0.9513
HNSW,1225.596,1802.832,0.32
HNSW,776.185,3087.487,0.449
HNSW,604.749,3730.971,0.496
HNSW,394.208,5355.878,0.585
HNSW,345.337,6993.424,0.649
HNSW,228.328,10286.686,0.734
HNSW,200.106,13599.381,0.787
HNSW,157.947,16917.486,0.822
HNSW,132.195,20229.616,0.848
HNSW,118.498,23536.205,0.865
HNSW,105.655,26837.448,0.878
HNSW,81.842,33414.988,0.895
HNSW,77.853,39948.833,0.906
HNSW,63.864,46445.599,0.912
HNSW,57.152,52902.027,0.917
IVFPQ,209.473,-1.0,0.812
IVFPQ,147.065,-1.0,0.876
IVFPQ,118.337,-1.0,0.925
IVFPQ,86.556,-1.0,0.94
IVFPQ,72.764,-1.0,0.943
IVFPQ,49.567,-1.0,0.947
IVFPQ,43.656,-1.0,0.949
IVFPQ,32.871,-1.0,0.951
ACORN,1806.413,135.013,0.514
ACORN,1648.084,153.581,0.562
ACORN,1645.997,171.362,0.601
ACORN,1255.425,182.719,0.621
ACORN,924.117,284.719,0.728
ACORN,545.252,373.422,0.768
ACORN,387.598,453.523,0.79
ACORN,313.227,527.533,0.806
ACORN,292.147,698.755,0.83
ACORN,174.827,862.135,0.847
ACORN,131.82,1169.572,0.867
ACORN,116.868,1435.385,0.879
ACORN,114.171,1669.96,0.887
ACORN,44.201,2649.346,0.904
DiskANN_Stitched,5225.42,462.5,0.7759
DiskANN_Stitched,3131.81,797.49,0.8164
DiskANN_Stitched,2190.73,1091.11,0.8327
DiskANN_Stitched,1606.38,1574.98,0.8497
DiskANN_Stitched,1046.05,2051.84,0.8609
DiskANN_Stitched,925.21,2438.3,0.867
DiskANN_Stitched,677.47,3020.06,0.8747
DiskANN_Stitched,489.34,3428.93,0.8793000000000001
DiskANN_Stitched,411.8,3735.52,0.8825
DiskANN_Stitched,354.82,4735.71,0.8894
DiskANN_Stitched,280.97,5010.51,0.8908
DiskANN_Stitched,267.81,5211.32,0.8919
NHQ_kgraph,245.27,6738.03,0.88784
NHQ_nsw,160.372,7002.63,0.41969
