Algorithm,QPS,CPQ,recall
Milvus_HNSW,60.1225822353668,-1.0,1.0
Milvus_HNSW,59.93900029634072,-1.0,1.0
Milvus_IVFPQ,80.40033320206447,-1.0,0.52913
Milvus_IVFPQ,80.0847728102292,-1.0,0.63238
Milvus_IVFPQ,78.77434974092874,-1.0,0.72716
Milvus_IVFPQ,72.46862332154666,-1.0,0.77761
Milvus_IVFPQ,67.29817711020058,-1.0,0.83237
Milvus_IVFPQ,59.54393957021758,-1.0,0.87648
Milvus_IVFPQ,57.63438149936771,-1.0,0.8934
Milvus_IVFPQ,50.02328018959715,-1.0,0.91966
Milvus_IVFPQ,45.236609855188185,-1.0,0.93497
Milvus_IVFPQ,38.30821497592197,-1.0,0.95199
Milvus_IVFPQ,34.52951745200563,-1.0,0.96115
Milvus_IVFPQ,31.632846362130586,-1.0,0.96647
HNSW,629.969,4078.06,0.496
HNSW,556.695,5288.92,0.562
HNSW,439.537,6502.298,0.615
HNSW,418.596,9546.734,0.706
IVFPQ,1224.115,-1.0,0.415
IVFPQ,1069.651,-1.0,0.509
IVFPQ,484.772,-1.0,0.584
IVFPQ,413.981,-1.0,0.622
IVFPQ,403.305,-1.0,0.653
IVFPQ,339.834,-1.0,0.688
IVFPQ,259.363,-1.0,0.732
IVFPQ,204.535,-1.0,0.787
IVFPQ,105.621,-1.0,0.918
IVFPQ,85.879,-1.0,0.93
ACORN,1458.366,244.544,0.346
ACORN,458.759,453.721,0.578
ACORN,445.555,630.702,0.674
ACORN,237.146,799.416,0.729
ACORN,159.779,1742.178,0.741
ACORN,118.259,2431.336,0.8
ACORN,80.016,3670.823,0.857
ACORN,60.159,4242.868,0.873
ACORN,51.937,5324.203,0.896
ACORN,47.094,5836.918,0.904
ACORN,38.309,6337.193,0.911
SeRF,13791.0,193.0,0.3369
SeRF,11498.0,223.0,0.3879
SeRF,10129.0,251.0,0.4296
SeRF,9471.0,268.0,0.4532
SeRF,7965.0,309.0,0.5001
SeRF,7099.0,347.0,0.5401
SeRF,6326.0,384.0,0.5719
SeRF,5707.0,419.0,0.5999
SeRF,4176.0,547.0,0.6725
SeRF,3466.0,666.0,0.7154
SeRF,2962.0,778.0,0.7441
SeRF,2156.0,1047.0,0.7912
SeRF,1578.0,1301.0,0.8174
SeRF,959.0,1779.0,0.8494
SeRF,852.0,2228.0,0.8675
SeRF,842.0,2654.0,0.8793
SeRF,659.0,3463.0,0.8953
SeRF,581.0,3851.0,0.9015
WST_vamana,2556.4087948716574,3194.58,0.8361899999999735
WST_vamana,2355.4726850678235,3555.09,0.8624499999999728
WST_vamana,2121.504645753371,4083.53,0.8902999999999731
WST_vamana,1927.3454459333088,4603.79,0.9090299999999716
WST_vamana,1792.3750269061118,4948.09,0.91916999999997
WST_vamana,1148.3509927642704,8323.79,0.9655399999999776
WST_vamana,889.7453546259661,11632.8,0.9792899999999836
WST_vamana,681.8528712695747,13671.2,0.9855099999999852
WST_vamana,574.6749146589452,15202.2,0.9889899999999888
WST_vamana,409.9671007164648,19318.5,0.993059999999993
WST_vamana,317.3644503698329,22412.7,0.9949499999999948
WST_vamana,192.7065623039161,27938.9,0.9967599999999968
WST_vamana,141.26050913043736,32080.8,0.9975399999999977
WST_vamana,100.5827687111739,36460.0,0.998019999999998
WST_vamana,85.51007956415512,38982.8,0.998370999999982
WST_vamana,70.13020777659811,42274.6,0.9987099999999852
WST_vamana,57.08899911811376,44127.9,0.9989509999999868
WST_vamana,49.13599525472065,46724.7,0.9991269999999884
WST_opt,2787.965900211083,4075.97,0.9189399999999704
WST_opt,2518.323014501163,4771.49,0.9225899999999714
WST_opt,2051.221760271614,5200.36,0.9526299999999744
WST_opt,1455.985239865208,6967.43,0.9688799999999786
WST_opt,1123.004438705417,8631.62,0.9773599999999808
WST_opt,932.099371214093,10118.9,0.9822399999999848
WST_opt,618.1270404524656,13868.7,0.9882799999999888
WST_opt,456.17365518137865,17162.9,0.9910999999999904
WST_opt,258.7228032662713,23297.5,0.9936799999999922
WST_opt,190.3109663614401,28674.4,0.9949299999999937
WST_opt,145.74227483025044,34024.6,0.9957199999999948
WST_opt,67.975809969786,46949.9,0.9959719999999584
WST_opt,59.50280452752085,51104.4,0.9964549999999596
WST_opt,49.40415067970072,55113.2,0.9970899999999964
UNIFY,41.512484,99992.6398,0.99882
UNIFY,41.443558,99992.6398,0.99882
UNIFY,41.058286,99992.6398,0.99882
UNIFY,40.828985,99992.6398,0.99882
UNIFY,40.729474,99992.6398,0.99882
UNIFY,39.474575,99992.6398,0.99882
UNIFY,36.05486,99992.6398,0.999707
UNIFY,35.652777,99992.6398,0.999707
UNIFY,35.18811,99992.6398,0.999707
UNIFY,34.679637,99992.6398,0.999707
UNIFY,34.668888,99992.6398,0.999707
UNIFY,34.063335,99992.6398,0.999707
UNIFY,33.261805,99992.6398,0.999707
UNIFY,31.813345,99992.6398,0.999707
UNIFY,30.850408,99992.6398,0.999707
