Algorithm,QPS,CPQ,recall
Milvus_HNSW,171.15646205537735,-1.0,1.0
Milvus_HNSW,170.295360970075,-1.0,1.0
Milvus_HNSW,169.77521621709064,-1.0,1.0
Milvus_HNSW,169.48501967494005,-1.0,1.0
Milvus_HNSW,169.0500410416415,-1.0,1.0
Milvus_IVFPQ,20.084055429168583,-1.0,0.71014
Milvus_IVFPQ,18.197975569628763,-1.0,0.83711
Milvus_IVFPQ,15.377316316690022,-1.0,0.92032
Milvus_IVFPQ,13.693373005620549,-1.0,0.95038
Milvus_IVFPQ,11.63705867723034,-1.0,0.97217
Milvus_IVFPQ,9.89232464307833,-1.0,0.98253
Milvus_IVFPQ,9.221009361962302,-1.0,0.98511
Milvus_IVFPQ,7.971737804748286,-1.0,0.98803
Milvus_IVFPQ,7.283971744210752,-1.0,0.98919
Milvus_IVFPQ,6.381434520281964,-1.0,0.98982
Milvus_IVFPQ,5.860755103849672,-1.0,0.99
Milvus_IVFPQ,5.505507158559736,-1.0,0.99002
HNSW,2232.34,988.681,0.301
HNSW,1928.124,1066.185,0.32
HNSW,1392.889,1855.375,0.47
HNSW,1094.952,2655.95,0.571
HNSW,889.186,3461.033,0.644
HNSW,732.723,4266.654,0.702
HNSW,627.818,6287.944,0.825
HNSW,623.88,8311.455,0.88
HNSW,456.337,12354.779,0.938
HNSW,316.426,16399.938,0.965
HNSW,301.023,20439.336,0.978
HNSW,237.337,24476.521,0.986
HNSW,205.679,28507.992,0.99
HNSW,175.866,32544.439,0.993
IVFPQ,612.42,-1.0,0.46
IVFPQ,495.744,-1.0,0.627
IVFPQ,350.489,-1.0,0.774
IVFPQ,264.109,-1.0,0.842
IVFPQ,180.886,-1.0,0.905
IVFPQ,131.465,-1.0,0.945
IVFPQ,120.005,-1.0,0.957
IVFPQ,82.717,-1.0,0.974
IVFPQ,60.76,-1.0,0.981
IVFPQ,45.192,-1.0,0.987
IVFPQ,31.904,-1.0,0.989
IVFPQ,22.284,-1.0,0.99
ACORN,2219.9,114.172,0.394
ACORN,1969.389,127.481,0.461
ACORN,1653.363,146.239,0.541
ACORN,1291.219,175.08,0.639
ACORN,789.099,272.017,0.817
ACORN,573.631,355.095,0.883
ACORN,462.865,430.537,0.912
ACORN,389.507,501.517,0.929
ACORN,227.781,665.255,0.951
SeRF,17957.0,97.0,0.4181
SeRF,15974.0,110.0,0.5002
SeRF,14040.0,122.0,0.5496
SeRF,12300.0,138.0,0.6062
SeRF,10836.0,152.0,0.65
SeRF,10342.0,162.0,0.6759
SeRF,8975.0,182.0,0.7224
SeRF,7921.0,202.0,0.7585
SeRF,7174.0,221.0,0.7856
SeRF,5819.0,238.0,0.8066
SeRF,4452.0,303.0,0.8608
SeRF,3586.0,417.0,0.9046
SeRF,2333.0,544.0,0.9266
WST_vamana,1514.2234446967443,737.483,0.970249999999976
WST_vamana,1392.623356518909,810.544,0.97840999999998
WST_vamana,1389.703678269741,918.094,0.9857399999999849
WST_vamana,1292.265917712043,1023.6,0.9900499999999886
WST_vamana,1184.802721199121,1092.09,0.9917599999999904
WST_vamana,927.918132491486,1737.7,0.9976999999999968
WST_vamana,778.6973067231982,2340.44,0.998559999999998
WST_vamana,682.0272882853083,2654.79,0.998699999999998
WST_vamana,620.202521518684,2888.63,0.9987799999999984
WST_vamana,488.7456240103298,3537.11,0.998919999999999
WST_vamana,414.43538846998825,4008.2,0.9989599999999988
WST_opt,1750.3849086191278,1853.91,0.9934699999999916
WST_opt,1638.8234694238374,2163.0,0.993829999999992
WST_opt,1568.3093160842282,2146.89,0.9941499999999922
WST_opt,1190.3184010000448,2201.72,0.997419999999996
WST_opt,1059.3458394770437,2776.9,0.9984999999999976
WST_opt,767.2064769922417,3241.11,0.9989399999999982
WST_opt,662.1049144908649,3630.13,0.9991199999999986
WST_opt,464.8909054721286,4640.29,0.9992899999999988
WST_opt,360.5725800799962,5468.15,0.999329999999999
UNIFY,146.688633,10001.0108,0.99963
UNIFY,145.093414,10001.0108,0.99963
UNIFY,144.081559,10001.0108,0.99963
UNIFY,142.646198,10001.0108,0.99963
UNIFY,139.307563,10001.0108,0.99963
UNIFY,138.371743,10001.0108,0.99963
UNIFY,138.099325,10001.0108,0.99963
UNIFY,137.588489,10001.0108,0.99963
UNIFY,136.395872,10001.0108,0.99963
UNIFY,114.701975,10001.0108,0.99963
UNIFY_hybrid,2022.343979,661.6817,0.74574
UNIFY_hybrid,1918.082941,661.6817,0.74574
UNIFY_hybrid,1615.574644,885.8968,0.82072
UNIFY_hybrid,1283.426924,1083.8622,0.94992
UNIFY_hybrid,1276.88642,1083.8622,0.94992
UNIFY_hybrid,921.302383,1441.4704,0.97151
UNIFY_hybrid,815.136719,1854.5066,0.98817
UNIFY_hybrid,743.723972,2110.2913,0.99181
UNIFY_hybrid,654.263393,2518.3811,0.99286
UNIFY_hybrid,628.743377,2518.3811,0.99286
UNIFY_hybrid,577.623462,2863.9734,0.99529
UNIFY_hybrid,573.826523,2799.0294,0.99609
UNIFY_hybrid,459.072303,3788.1021,0.99806
UNIFY_hybrid,372.120942,4446.2184,0.99898
UNIFY_hybrid,327.970979,5952.9532,0.99954
UNIFY_hybrid,254.229604,7813.126,0.99973
UNIFY_hybrid,241.321291,8479.6106,0.99978
UNIFY_hybrid,203.450905,10223.6382,0.99983
UNIFY_hybrid,184.618814,11816.8746,0.99983
UNIFY_hybrid,144.957308,15348.5452,0.99987
DSG,5413.9976,227.7061,0.8938
DSG,5134.3268,246.4471,0.9149
DSG,4652.0045,258.6828,0.9259
DSG,4323.8587,287.7487,0.9454
DSG,3823.9806,314.8846,0.9576
DSG,3502.5595,340.4302,0.9657
DSG,3165.5267,365.3614,0.9717
DSG,2596.2131,458.127,0.9844
DSG,2214.0725,542.9513,0.9891
DSG,1714.6159,622.9246,0.9918
DSG,1479.911,807.4456,0.9949
DSG,1230.7756,975.5591,0.9965
DSG,807.1953,1276.9351,0.9979
DSG,762.138,1547.6567,0.9985
DSG,550.0799,2032.6442,0.9991
DSG,499.6685,2253.7999,0.9993
DSG,450.7686,2466.1863,0.9994
DSG,413.8943,2670.7412,0.9995
iRangeGraph,5393.87,364.0,0.92412
iRangeGraph,4556.69,468.0,0.96177
iRangeGraph,2804.19,769.0,0.9902
iRangeGraph,1679.27,1277.0,0.99783
iRangeGraph,1525.93,1498.0,0.99855
iRangeGraph,757.093,1988.0,0.9993
