Algorithm,QPS,CPQ,recall
Milvus_HNSW,28.371367834991915,-1.0,0.85212
Milvus_HNSW,24.174419031809915,-1.0,0.88438
Milvus_HNSW,21.99629104907192,-1.0,0.89884
Milvus_HNSW,20.505239907812385,-1.0,0.90723
Milvus_HNSW,19.55488946895648,-1.0,0.9129
Milvus_HNSW,18.090303798256453,-1.0,0.92293
Milvus_HNSW,16.994713059736082,-1.0,0.92905
Milvus_HNSW,15.644848907543691,-1.0,0.93649
Milvus_HNSW,14.8723039556679,-1.0,0.94084
Milvus_HNSW,14.49252583461735,-1.0,0.94423
Milvus_HNSW,13.14932878933828,-1.0,0.9528
Milvus_IVFPQ,16.52582036206114,-1.0,0.93373
Milvus_IVFPQ,14.388790174423638,-1.0,0.9412
Milvus_IVFPQ,11.99405848601145,-1.0,0.94648
Milvus_IVFPQ,10.185657302611697,-1.0,0.94905
Milvus_IVFPQ,9.516957672626084,-1.0,0.94979
Milvus_IVFPQ,8.42785002159059,-1.0,0.95062
Milvus_IVFPQ,7.763186925598462,-1.0,0.95096
Milvus_IVFPQ,7.139881453380817,-1.0,0.95116
HNSW,2492.728,891.896,0.439
HNSW,2217.537,996.531,0.482
HNSW,1898.516,1096.797,0.518
HNSW,1764.326,1162.106,0.538
HNSW,1279.487,1807.782,0.674
HNSW,957.489,2445.739,0.742
HNSW,813.813,3085.427,0.784
HNSW,516.599,5347.204,0.854
HNSW,345.535,6977.962,0.876
HNSW,293.575,10258.998,0.898
HNSW,200.9,13558.733,0.91
HNSW,186.138,16864.853,0.918
HNSW,144.993,20163.264,0.923
HNSW,136.294,23457.713,0.927
HNSW,106.286,26746.673,0.931
IVFPQ,130.588,-1.0,0.899
IVFPQ,95.761,-1.0,0.92
IVFPQ,67.585,-1.0,0.934
IVFPQ,48.307,-1.0,0.942
IVFPQ,42.357,-1.0,0.944
IVFPQ,31.596,-1.0,0.947
IVFPQ,26.255,-1.0,0.949
IVFPQ,19.612,-1.0,0.95
ACORN,1206.498,486.135,0.618
ACORN,1079.17,538.413,0.68
ACORN,931.949,611.528,0.74
ACORN,849.768,647.998,0.77
ACORN,795.244,692.078,0.792
ACORN,687.923,797.753,0.831
ACORN,611.37,897.695,0.855
ACORN,550.733,994.08,0.871
ACORN,497.043,1087.422,0.882
ACORN,345.03,1441.305,0.911
ACORN,301.458,1772.778,0.926
ACORN,250.841,2088.074,0.934
ACORN,184.95,2826.739,0.946
ACORN,136.341,3512.254,0.952
ACORN,105.347,4774.359,0.959
ACORN,78.578,5928.069,0.963
ACORN,68.886,6998.755,0.966
ACORN,59.445,8003.954,0.968
ACORN,52.806,8956.608,0.97
ACORN,46.895,9864.694,0.971
ACORN,37.003,11574.185,0.973
ACORN,33.243,13166.086,0.974
ACORN,29.247,14662.675,0.976
ACORN,25.383,16081.772,0.977
SeRF,1561.0,933.0,0.4719
SeRF,1073.0,1420.0,0.5873
SeRF,774.0,1875.0,0.6418
SeRF,625.0,2319.0,0.6745
SeRF,555.0,2754.0,0.697
SeRF,389.0,3803.0,0.7306
SeRF,257.0,4786.0,0.7507
SeRF,238.0,6552.0,0.7735
SeRF,188.0,8079.0,0.7871
SeRF,157.0,9403.0,0.7961
SeRF,111.0,14118.0,0.8158
WST_vamana,412.611195404116,2632.54,0.6661299999999947
WST_vamana,319.833207099624,2949.16,0.6895499999999929
WST_vamana,314.478370007446,4140.01,0.7463099999999898
WST_vamana,219.2909677230124,6776.77,0.8047599999999877
WST_vamana,156.19669589876682,9097.47,0.8298099999999862
WST_vamana,142.38993084333077,10536.3,0.8443699999999839
WST_vamana,122.16126206726132,11697.1,0.8539799999999824
WST_vamana,85.95379814897177,14593.7,0.86716999999998
WST_vamana,80.24353068550495,16857.8,0.8756399999999789
WST_vamana,63.093285010929954,20663.8,0.8852599999999778
WST_vamana,58.80512711127667,23594.3,0.8907699999999766
WST_vamana,48.475363773522034,26210.4,0.8944199999999756
WST_vamana,40.839929251985886,28207.7,0.8970799999999752
WST_vamana,39.48435003652231,30146.4,0.8991199999999744
WST_vamana,34.49250455803009,31691.4,0.9011599999999734
WST_vamana,30.78490313635946,33235.4,0.902759999999974
WST_opt,686.2284873799719,2898.25,0.7809699999999873
WST_opt,685.9218705594725,2882.75,0.7891899999999855
WST_opt,652.9528078547426,2915.28,0.7951399999999852
WST_opt,532.782984942566,3319.7,0.8263699999999826
WST_opt,388.1768602536686,4542.28,0.8511099999999773
WST_opt,299.36962921526174,5683.75,0.8656299999999783
