Algorithm,QPS,CPQ,recall
Milvus_HNSW,117.27403278527326,-1.0,0.96379
Milvus_HNSW,117.06164003538991,-1.0,0.99731
Milvus_HNSW,116.56309148823868,-1.0,0.99867
Milvus_HNSW,116.4219830119718,-1.0,0.99928
Milvus_HNSW,114.73666963695656,-1.0,0.99974
Milvus_HNSW,112.84010570118608,-1.0,0.99988
Milvus_HNSW,105.47927851829868,-1.0,0.99991
Milvus_HNSW,96.53359076336146,-1.0,0.99994
Milvus_HNSW,89.19716157689628,-1.0,0.99994
Milvus_HNSW,66.62421589525518,-1.0,0.99994
Milvus_IVFPQ,102.91670846076931,-1.0,0.8645
Milvus_IVFPQ,101.87995753745165,-1.0,0.88973
Milvus_IVFPQ,100.98535931581289,-1.0,0.89755
Milvus_IVFPQ,98.69415797662764,-1.0,0.90026
Milvus_IVFPQ,87.28047765022491,-1.0,0.90231
Milvus_IVFPQ,75.50170654341217,-1.0,0.90273
Milvus_IVFPQ,66.4674934197791,-1.0,0.90289
Milvus_IVFPQ,59.442487874714125,-1.0,0.90297
HNSW,503.495,3461.207,0.568
HNSW,370.717,5563.203,0.704
HNSW,99.673,37269.507,0.725
HNSW,91.878,42553.006,0.76
HNSW,78.097,47831.807,0.79
HNSW,74.042,53115.89,0.814
IVFPQ,857.209,-1.0,0.415
IVFPQ,736.311,-1.0,0.498
IVFPQ,538.432,-1.0,0.605
IVFPQ,432.899,-1.0,0.699
IVFPQ,384.175,-1.0,0.74
IVFPQ,311.89,-1.0,0.77
IVFPQ,268.851,-1.0,0.804
IVFPQ,217.933,-1.0,0.842
IVFPQ,155.402,-1.0,0.882
ACORN,224.832,845.761,0.89
ACORN,124.03,1772.431,0.958
ACORN,63.411,3672.938,0.982
ACORN,35.65,6288.381,0.988
DiskANN_Stitched,4954.52,552.3,0.7441
DiskANN_Stitched,3691.57,661.82,0.7609999999999999
DiskANN_Stitched,2559.23,773.92,0.7912
DiskANN_Stitched,1562.39,1175.61,0.8291
DiskANN_Stitched,1142.31,1534.53,0.8371
DiskANN_Stitched,849.12,1866.79,0.8404
DiskANN_Stitched,70.44,3496.26,0.8429000000000001
DiskANN_Stitched,49.08,4680.21,0.8464
DiskANN_Stitched,40.58,5751.22,0.8484
DiskANN_Stitched,32.97,6743.13,0.8501000000000001
DiskANN_Stitched,31.49,7676.01,0.8515999999999999
DiskANN_Stitched,25.62,8561.22,0.8531
DiskANN_Stitched,23.5,9408.0,0.8543999999999999
DiskANN_Stitched,21.58,11005.84,0.857
DiskANN_Stitched,16.23,12503.49,0.8595
DiskANN_Stitched,15.74,13922.76,0.8618000000000001
NHQ_kgraph,271.245,14170.4,0.927369
NHQ_nsw,581.72,6534.98,0.30104
NHQ_nsw,558.31,7399.55,0.332704
NHQ_nsw,497.738,8231.1,0.361518
NHQ_nsw,454.991,9033.88,0.38732
NHQ_nsw,415.974,9809.62,0.412466
NHQ_nsw,330.535,12686.1,0.49484
NHQ_nsw,297.716,14010.4,0.52371
