Algorithm,QPS,CPQ,recall
Milvus_HNSW,300.3146552516991,-1.0,0.89461
Milvus_HNSW,299.6115946512077,-1.0,0.91609
Milvus_HNSW,295.87608958489926,-1.0,0.93754
Milvus_HNSW,289.87540932776614,-1.0,0.95946
Milvus_HNSW,269.57807712929747,-1.0,0.98742
Milvus_HNSW,255.0219432179285,-1.0,0.99427
Milvus_HNSW,243.16053316358548,-1.0,0.9965
Milvus_HNSW,233.28969526642567,-1.0,0.99757
Milvus_HNSW,208.9790503970713,-1.0,0.99862
Milvus_IVFPQ,115.33091547706,-1.0,0.9402
Milvus_IVFPQ,101.88485069349647,-1.0,0.94616
Milvus_IVFPQ,83.63666275888028,-1.0,0.94964
Milvus_IVFPQ,66.36155401121827,-1.0,0.95106
Milvus_IVFPQ,59.32627797557263,-1.0,0.95138
Milvus_IVFPQ,46.69406543519717,-1.0,0.95167
Milvus_IVFPQ,39.31900187407929,-1.0,0.9518
Milvus_IVFPQ,30.28328436433282,-1.0,0.95186
HNSW,4142.635,760.179,0.853
HNSW,2459.094,873.695,0.887
HNSW,2447.323,988.346,0.911
HNSW,2155.404,1066.053,0.923
HNSW,1707.142,1855.314,0.975
HNSW,1010.19,2656.47,0.988
HNSW,840.085,3461.494,0.993
HNSW,805.667,4267.042,0.996
HNSW,524.727,6287.707,0.998
IVFPQ,331.026,-1.0,0.914
IVFPQ,264.216,-1.0,0.93
IVFPQ,172.214,-1.0,0.942
IVFPQ,126.747,-1.0,0.947
IVFPQ,102.234,-1.0,0.949
IVFPQ,79.645,-1.0,0.95
IVFPQ,60.162,-1.0,0.951
IVFPQ,41.902,-1.0,0.951
ACORN,1635.83,627.247,0.624
ACORN,1460.617,701.946,0.688
ACORN,1291.784,806.318,0.757
ACORN,1004.158,964.99,0.824
ACORN,598.298,1498.956,0.923
ACORN,350.802,2361.568,0.967
ACORN,282.777,2742.209,0.975
ACORN,226.839,3611.343,0.986
DiskANN,3586.97,325.08,0.6953
DiskANN,2105.08,450.82,0.8134999999999999
DiskANN,1872.98,662.91,0.8894
DiskANN,1290.95,760.69,0.9074
DiskANN,955.58,988.5,0.932
DiskANN,808.95,1201.89,0.9462
DiskANN,647.04,1598.4,0.9595
DiskANN,537.62,1970.11,0.9678
DiskANN,412.57,2323.98,0.9725
DiskANN,238.97,3942.68,0.9818
DiskANN_Stitched,1580.73,742.04,0.9576
DiskANN_Stitched,1574.53,1074.85,0.9842
DiskANN_Stitched,908.45,1369.68,0.9916
DiskANN_Stitched,667.76,1641.22,0.9942
DiskANN_Stitched,637.68,1895.33,0.9955
DiskANN_Stitched,555.76,2480.35,0.9972
DiskANN_Stitched,375.26,3015.11,0.998
DiskANN_Stitched,353.55,3986.39,0.9986
DiskANN_Stitched,256.13,4871.82,0.9988
DiskANN_Stitched,172.26,5697.01,0.9991
DiskANN_Stitched,124.9,9303.48,0.9994
NHQ_kgraph,195.068,9176.14,0.9968
NHQ_nsw,6129.89,260.972,0.36633
NHQ_nsw,3311.83,494.254,0.8228
NHQ_nsw,2074.27,697.554,0.92842
NHQ_nsw,1571.98,883.898,0.96235
NHQ_nsw,1272.66,1059.02,0.97654
NHQ_nsw,941.717,1463.64,0.98926
