serf_M,QPS,CPQ,recall
8.0,19447.0,143.0,0.3589
8.0,17565.0,153.0,0.3937
8.0,15777.0,163.0,0.4238
8.0,14033.0,181.0,0.4682
8.0,12835.0,206.0,0.5221
8.0,10797.0,229.0,0.5644
8.0,10795.0,244.0,0.5895
8.0,8658.0,279.0,0.6391
8.0,8331.0,311.0,0.6767
8.0,7530.0,342.0,0.7069
8.0,6754.0,372.0,0.7323
8.0,5191.0,489.0,0.7991
8.0,3968.0,599.0,0.84
8.0,3502.0,704.0,0.8677
8.0,2533.0,958.0,0.9074
8.0,1969.0,1199.0,0.9284
8.0,1376.0,1653.0,0.9507
8.0,1014.0,2080.0,0.9611
8.0,921.0,2486.0,0.9675
8.0,517.0,4324.0,0.9794
