serf_M,QPS,CPQ,recall
M=8,9570.0,344.0,0.4255
M=8,7739.0,401.0,0.4926
M=8,6237.0,502.0,0.5811
M=8,5755.0,533.0,0.6032
M=8,5127.0,609.0,0.6486
M=8,4368.0,681.0,0.6835
M=8,3700.0,823.0,0.7372
M=8,2803.0,1093.0,0.8029
M=8,2238.0,1355.0,0.8432
M=8,1767.0,1611.0,0.8716
M=8,1307.0,2232.0,0.9127
M=8,1021.0,2863.0,0.9394
M=8,664.0,4019.0,0.962
M=8,488.0,5122.0,0.9727
M=8,408.0,6184.0,0.9791
M=8,244.0,11089.0,0.991
M=40,7312.0,579.0,0.4133
M=40,5086.0,790.0,0.6942
M=40,4673.0,865.0,0.7323
M=40,4187.0,975.0,0.7761
M=40,3644.0,1082.0,0.811
M=40,2490.0,1497.0,0.8903
M=40,2163.0,1668.0,0.9098
M=40,1861.0,1836.0,0.9249
M=40,1062.0,3135.0,0.9758
M=40,686.0,5230.0,0.9933
M=40,550.0,6628.0,0.9964
M=40,386.0,9256.0,0.9987
M=40,304.0,11718.0,0.9993
M=40,247.0,14059.0,0.9996
M=40,192.0,18467.0,0.9999
M=40,153.0,20565.0,0.9999
