serf_M,QPS,CPQ,recall
8.0,1336.0,1058.0,0.4739
8.0,1085.0,1294.0,0.5108
8.0,989.0,1518.0,0.539
8.0,658.0,2070.0,0.5804
8.0,434.0,2601.0,0.607
8.0,354.0,3663.0,0.6357
8.0,297.0,4705.0,0.6538
8.0,213.0,5740.0,0.6671
8.0,110.0,10741.0,0.7005
40.0,1093.0,1322.0,0.6413
40.0,712.0,1963.0,0.7494
40.0,570.0,2575.0,0.7957
40.0,466.0,3182.0,0.8239
40.0,386.0,3786.0,0.8417
40.0,275.0,5309.0,0.8692
40.0,182.0,6834.0,0.8846
40.0,135.0,9858.0,0.9026
40.0,121.0,12824.0,0.912
40.0,96.0,15725.0,0.919
40.0,48.0,29202.0,0.9361
