serf_M,QPS,CPQ,algo,recall
,10396.0,185.0,SeRF,0.1782
,7764.0,241.0,SeRF,0.3479
,6648.0,299.0,SeRF,0.5649
,6220.0,315.0,SeRF,0.6191
,5547.0,331.0,SeRF,0.6571
,5034.0,360.0,SeRF,0.6987
,4703.0,400.0,SeRF,0.7479
,4195.0,438.0,SeRF,0.7832
,3833.0,463.0,SeRF,0.8029
,3314.0,522.0,SeRF,0.8411
,3079.0,579.0,SeRF,0.8675
,2648.0,633.0,SeRF,0.8861
,2542.0,687.0,SeRF,0.9007
,2004.0,893.0,SeRF,0.9377
,1394.0,1087.0,SeRF,0.9567
,1197.0,1271.0,SeRF,0.9673
,954.0,1951.0,SeRF,0.9806
,825.0,1702.0,SeRF,0.9807
,215.0,6491.0,SeRF,0.9933
,1924.2152,293.7415,DSG,0.2298
,1565.8556,354.3457,DSG,0.4191
,1285.6218,417.9891,DSG,0.6729
,1218.4072,437.2114,DSG,0.7419
,1155.1178,455.1303,DSG,0.7915
,1074.7466,487.9087,DSG,0.8235
,967.0972,535.4347,DSG,0.8587
,875.1654,579.8523,DSG,0.8838
,834.8742,609.253,DSG,0.8973
,746.5682,679.5225,DSG,0.9224
,673.0718,747.0185,DSG,0.9387
,612.824,811.5568,DSG,0.9491
,568.6611,874.9682,DSG,0.9574
,444.9604,1118.4038,DSG,0.9764
,364.0332,1344.0647,DSG,0.9842
,273.5692,1556.906,DSG,0.9878
,209.0154,2054.296,DSG,0.9925
,4326.0,330.0,SeRF_onethread,0.6581
,4143.0,360.0,SeRF_onethread,0.7006
,3187.0,438.0,SeRF_onethread,0.7853
,2894.0,522.0,SeRF_onethread,0.8445
,2613.0,579.0,SeRF_onethread,0.8711
,2105.0,634.0,SeRF_onethread,0.8904
,2008.0,687.0,SeRF_onethread,0.9049
,1573.0,892.0,SeRF_onethread,0.9408
,1240.0,1085.0,SeRF_onethread,0.9595
,1097.0,1268.0,SeRF_onethread,0.9695
,807.0,1699.0,SeRF_onethread,0.9819
,700.0,2099.0,SeRF_onethread,0.9873
,486.0,2841.0,SeRF_onethread,0.9918
,335.0,4177.0,SeRF_onethread,0.995
,260.0,4795.0,SeRF_onethread,0.9957
,224.0,5389.0,SeRF_onethread,0.9961
,201.0,5962.0,SeRF_onethread,0.9964
,1169.3376,455.1303,DSG_onethread,0.7915
,858.3887,579.8523,DSG_onethread,0.8838
,835.8328,609.253,DSG_onethread,0.8973
,737.6609,679.5225,DSG_onethread,0.9224
,650.8934,747.0185,DSG_onethread,0.9387
,602.6794,811.5568,DSG_onethread,0.9491
,474.2086,874.9682,DSG_onethread,0.9574
,441.447,1118.4038,DSG_onethread,0.9764
,361.6316,1344.0647,DSG_onethread,0.9842
,256.5748,1556.906,DSG_onethread,0.9878
,210.3271,2054.296,DSG_onethread,0.9925
,185.4394,2513.8863,DSG_onethread,0.9946
,128.8193,3362.5424,DSG_onethread,0.996
,101.5692,4144.1354,DSG_onethread,0.9966
,90.0714,4875.6198,DSG_onethread,0.9969
,75.2783,5572.1469,DSG_onethread,0.9972
,70.6168,6239.8814,DSG_onethread,0.9974
,59.3574,6881.8649,DSG_onethread,0.9974
