serf_M,QPS,CPQ,recall
8.0,9704.0,331.0,0.3678
8.0,9063.0,354.0,0.4068
8.0,8231.0,376.0,0.4397
8.0,7455.0,418.0,0.4831
8.0,6339.0,474.0,0.5303
8.0,5319.0,527.0,0.5698
8.0,5107.0,560.0,0.5906
8.0,4461.0,637.0,0.6309
8.0,3950.0,711.0,0.663
8.0,3544.0,783.0,0.6876
8.0,3201.0,852.0,0.7067
8.0,2312.0,1116.0,0.7599
8.0,1952.0,1371.0,0.7925
8.0,1622.0,1618.0,0.8151
8.0,1158.0,2217.0,0.8502
8.0,912.0,2797.0,0.871
8.0,683.0,3925.0,0.8955
8.0,535.0,5022.0,0.9089
8.0,451.0,6096.0,0.918
8.0,388.0,7152.0,0.9245
8.0,265.0,9215.0,0.9345
