stitched_R,QPS,CPQ,recall
stitched_R=80,3730.97,686.57,0.6274000000000001
stitched_R=80,3273.79,802.67,0.6873
stitched_R=80,2844.19,940.89,0.7232999999999999
stitched_R=80,1398.03,1466.86,0.7872
stitched_R=80,1359.39,1969.38,0.8096
stitched_R=80,1080.54,2453.66,0.8204
stitched_R=80,156.66,5133.19,0.8223999999999999
stitched_R=80,111.72,7116.45,0.8309000000000001
stitched_R=80,74.47,8980.02,0.8343
stitched_R=80,67.77,10755.55,0.8358
stitched_R=80,59.83,12460.84,0.8368000000000001
stitched_R=80,52.23,14109.27,0.8373
stitched_R=80,45.55,15709.72,0.8377
stitched_R=80,41.13,17268.23,0.8379000000000001
stitched_R=80,37.35,18790.76,0.8381000000000001
stitched_R=80,31.07,21740.4,0.8384
stitched_R=80,21.38,24587.16,0.8386
stitched_R=800,1982.11,819.07,0.6896
stitched_R=800,1683.81,957.73,0.7256999999999999
stitched_R=800,1083.0,1483.34,0.7879
stitched_R=800,830.53,1987.14,0.8105
stitched_R=800,661.18,2470.25,0.8215
stitched_R=800,557.83,2937.91,0.8271999999999999
stitched_R=800,391.0,4052.65,0.8334
stitched_R=800,343.88,5107.51,0.8356999999999999
stitched_R=800,241.51,7090.41,0.8373999999999999
stitched_R=800,173.48,8954.09,0.838
stitched_R=800,139.09,10729.68,0.8382999999999999
stitched_R=800,117.04,12435.54,0.8384999999999999
stitched_R=800,101.76,14084.52,0.8386
stitched_R=800,92.83,15685.32,0.8387
stitched_R=800,81.67,17243.89,0.8388
stitched_R=800,63.46,21716.35,0.8389
stitched_R=800,55.23,24563.56,0.8390000000000001
