Group,Algorithm_qps,Algorithm_cpq,selectivity,QPS,CPQ,x
Baseline,HNSW,HNSW,0.001,1,1,0.001
Baseline,IVFPQ,HNSW,0.01,714.008,6932.062,0.01
Baseline,HNSW,HNSW,0.02,1082.767,4690.173,0.02
Baseline,HNSW,HNSW,0.03,1027.203,3793.072,0.03
Baseline,HNSW,HNSW,0.04,1530.039,2901.095,0.04
Baseline,HNSW,HNSW,0.05,1503.536,2905.275,0.05
Baseline,HNSW,HNSW,0.06,2098.489,2017.302,0.06
Baseline,HNSW,HNSW,0.07,2121.696,2016.371,0.07
Baseline,HNSW,HNSW,0.08,2123.257,2018.878,0.08
Baseline,HNSW,HNSW,0.09,2229.757,2014.983,0.09
Baseline,HNSW,HNSW,0.1,2211.94,2017.115,0.1
Baseline,HNSW,HNSW,0.2,3678.585,1156.119,0.2
Baseline,HNSW,HNSW,0.3,4172.307,1072.119,0.3
Baseline,HNSW,HNSW,0.4,3589.178,946.064,0.4
Baseline,HNSW,HNSW,0.5,3978.849,822.23,0.5
Baseline,HNSW,HNSW,0.6,5105.876,822.391,0.6
Baseline,HNSW,HNSW,0.7,3523.608,823.267,0.7
Baseline,HNSW,HNSW,0.8,5794.555,740.022,0.8
Baseline,HNSW,HNSW,0.9,5637.248,739.574,0.9
Baseline,HNSW,HNSW,1.0,5596.62,740.514,1.0
Best,Milvus_HNSW,none,0.001,1,2147483647,0.001
Best,DiskANN_Stitched,DiskANN_Stitched,0.01,11113.7,474.11,0.01
Best,DiskANN_Stitched,DiskANN_Stitched,0.02,6854.12,590.9,0.02
Best,DiskANN_Stitched,DiskANN_Stitched,0.03,3917.47,593.94,0.03
Best,DiskANN_Stitched,DiskANN_Stitched,0.04,5011.31,649.29,0.04
Best,DiskANN_Stitched,DiskANN_Stitched,0.05,5316.71,625.78,0.05
Best,NHQ_nsw,NHQ_nsw,0.06,8717.87,471.18,0.06
Best,DiskANN_Stitched,DiskANN_Stitched,0.07,5212.65,681.01,0.07
Best,NHQ_nsw,NHQ_nsw,0.08,7704.56,487.469,0.08
Best,NHQ_nsw,NHQ_nsw,0.09,5006.52,661.226,0.09
Best,DiskANN_Stitched,DiskANN_Stitched,0.1,4987.11,707.24,0.1
Best,NHQ_nsw,NHQ_nsw,0.2,4489.1,713.7,0.2
Best,NHQ_nsw,DiskANN_Stitched,0.3,3735.08,743.5,0.3
Best,NHQ_nsw,DiskANN,0.4,4425.61,489.27,0.4
Best,NHQ_nsw,DiskANN,0.5,5174.49,675.04,0.5
Best,NHQ_nsw,DiskANN,0.6,4790.38,493.67,0.6
Best,NHQ_nsw,DiskANN,0.7,4655.11,629.07,0.7
Best,DiskANN,DiskANN,0.8,6372.81,451.66,0.8
Best,DiskANN,DiskANN,0.9,5254.91,588.81,0.9
Best,DiskANN_Stitched,DiskANN,1.0,4703.12,781.79,1.0
