Group,Algorithm_qps,Algorithm_cpq,selectivity,QPS,CPQ,x
Baseline,HNSW,HNSW,0.001,1,1,0.001
Baseline,HNSW,HNSW,0.01,1,1,0.01
Baseline,HNSW,HNSW,0.02,1,1,0.02
Baseline,HNSW,HNSW,0.03,1,1,0.03
Baseline,HNSW,HNSW,0.04,1,1,0.04
Baseline,HNSW,HNSW,0.05,1,1,0.05
Baseline,HNSW,HNSW,0.06,1,1,0.06
Baseline,HNSW,HNSW,0.07,1,1,0.07
Baseline,HNSW,HNSW,0.08,1,1,0.08
Baseline,HNSW,HNSW,0.09,1,1,0.09
Baseline,HNSW,HNSW,0.1,1,1,0.1
Baseline,HNSW,HNSW,0.2,1,1,0.2
Baseline,HNSW,HNSW,0.3,1,1,0.3
Baseline,HNSW,HNSW,0.4,1,1,0.4
Baseline,HNSW,HNSW,0.5,1,1,0.5
Baseline,HNSW,HNSW,0.6,1,1,0.6
Baseline,HNSW,HNSW,0.7,1,1,0.7
Baseline,HNSW,HNSW,0.8,1,1,0.8
Baseline,HNSW,HNSW,0.9,1,1,0.9
Baseline,HNSW,HNSW,1.0,1,1,1.0
Best,Milvus_HNSW,none,0.001,1,2147483647,0.001
Best,Milvus_HNSW,none,0.01,1,2147483647,0.01
Best,Milvus_HNSW,none,0.02,1,2147483647,0.02
Best,Milvus_HNSW,none,0.03,1,2147483647,0.03
Best,Milvus_HNSW,none,0.04,1,2147483647,0.04
Best,Milvus_HNSW,none,0.05,1,2147483647,0.05
Best,Milvus_HNSW,none,0.06,1,2147483647,0.06
Best,Milvus_HNSW,none,0.07,1,2147483647,0.07
Best,Milvus_HNSW,none,0.08,1,2147483647,0.08
Best,Milvus_HNSW,none,0.09,1,2147483647,0.09
Best,Milvus_HNSW,none,0.1,1,2147483647,0.1
Best,Milvus_HNSW,none,0.2,1,2147483647,0.2
Best,Milvus_HNSW,none,0.3,1,2147483647,0.3
Best,Milvus_HNSW,none,0.4,1,2147483647,0.4
Best,Milvus_HNSW,none,0.5,1,2147483647,0.5
Best,Milvus_HNSW,none,0.6,1,2147483647,0.6
Best,Milvus_HNSW,none,0.7,1,2147483647,0.7
Best,Milvus_HNSW,none,0.8,1,2147483647,0.8
Best,Milvus_HNSW,none,0.9,1,2147483647,0.9
Best,Milvus_HNSW,none,1.0,1,2147483647,1.0
