Algorithm,selectivity,QPS,CPQ
Baseline,0.001,200.979,53115.89
Baseline,0.01,376.682,8203.98
Baseline,0.02,1.0,1.0
Baseline,0.03,1.0,1.0
Baseline,0.04,1.0,1.0
Baseline,0.05,1.0,1.0
Baseline,0.06,1.0,1.0
Baseline,0.07,1.0,1.0
Baseline,0.08,1.0,1.0
Baseline,0.09,1.0,1.0
Baseline,0.1,697.117,2421.492
Baseline,0.2,1.0,1.0
Baseline,0.3,1.0,1.0
Baseline,0.4,1.0,1.0
Baseline,0.5,751.764,1407.875
Baseline,0.6,1.0,1.0
Baseline,0.7,1.0,1.0
Baseline,0.8,1.0,1.0
Baseline,0.9,1.0,1.0
Baseline,1.0,742.86,1161.118
Best,0.001,4581.6,1.0
Best,0.01,2199.79,1.0
Best,0.02,1.0,1.0
Best,0.03,1.0,1.0
Best,0.04,1.0,1.0
Best,0.05,1.0,1.0
Best,0.06,1.0,1.0
Best,0.07,1.0,1.0
Best,0.08,1.0,1.0
Best,0.09,1.0,1.0
Best,0.1,1891.18,1.0
Best,0.2,1.0,1.0
Best,0.3,1.0,1.0
Best,0.4,1.0,1.0
Best,0.5,3815.39,1.0
Best,0.6,1.0,1.0
Best,0.7,1.0,1.0
Best,0.8,1.0,1.0
Best,0.9,1666.55,1.0
Best,1.0,3243.71,1.0
