Algorithm,selectivity,QPS,CPQ
Baseline,0.001,1,1
Baseline,0.01,1,1
Baseline,0.02,1,1
Baseline,0.03,1,1
Baseline,0.04,1,1
Baseline,0.05,1,1
Baseline,0.06,1,1
Baseline,0.07,1,1
Baseline,0.08,1,1
Baseline,0.09,1,1
Baseline,0.1,1,1
Baseline,0.2,1,1
Baseline,0.3,1,1
Baseline,0.4,1,1
Baseline,0.5,1,1
Baseline,0.6,1,1
Baseline,0.7,1,1
Baseline,0.8,1,1
Baseline,0.9,1,1
Baseline,1.0,1,1
Best,0.001,1,1
Best,0.01,1,1
Best,0.02,1,1
Best,0.03,1,1
Best,0.04,1,1
Best,0.05,1,1
Best,0.06,1,1
Best,0.07,1,1
Best,0.08,1,1
Best,0.09,1,1
Best,0.1,1,1
Best,0.2,1,1
Best,0.3,1,1
Best,0.4,1,1
Best,0.5,1,1
Best,0.6,1,1
Best,0.7,1,1
Best,0.8,1,1
Best,0.9,1,1
Best,1.0,1,1
