Group,Algorithm_qps,Algorithm_cpq,selectivity,QPS,CPQ,x
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.001,167.601607,23095.0059,0.001
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.01,514.611572,4897.2361,0.01
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.02,967.035695,4294.6273,0.02
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.03,1137.584169,3903.9068,0.03
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.04,953.331617,4471.7268,0.04
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.05,1114.108562,3922.5393,0.05
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.06,1078.229273,4402.7978,0.06
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.07,1162.811697,4098.2572,0.07
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.08,1201.420059,3831.6231,0.08
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.09,1179.634018,3776.5788,0.09
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.1,1217.242897,3681.9696,0.1
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.2,1256.302624,3873.5801,0.2
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.3,1331.406521,3474.6914,0.3
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.4,1091.897952,4172.9708,0.4
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.5,979.959436,4549.0494,0.5
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.6,745.545811,6027.1472,0.6
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.7,784.53001,5683.2399,0.7
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.8,823.742732,5544.6773,0.8
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.9,735.769708,5993.1645,0.9
Baseline,UNIFY_hybrid,UNIFY_hybrid,1.0,844.180301,5522.3618,1.0
Prepost,UNIFY,UNIFY,0.001,391.274955,10001.9087,0.001
Prepost,UNIFY,UNIFY,0.01,135.047728,29646.6708,0.01
Prepost,UNIFY,UNIFY,0.02,810.084665,4663.5883,0.02
Prepost,UNIFY,UNIFY,0.03,1233.103966,3903.6426,0.03
Prepost,UNIFY,UNIFY,0.04,950.453853,4471.9774,0.04
Prepost,UNIFY,UNIFY,0.05,1044.145404,3922.0658,0.05
Prepost,UNIFY,UNIFY,0.06,1139.713442,4399.984,0.06
Prepost,UNIFY,UNIFY,0.07,1069.630145,4097.7016,0.07
Prepost,UNIFY,UNIFY,0.08,1311.662717,3831.7907,0.08
Prepost,UNIFY,UNIFY,0.09,1369.073685,3774.03,0.09
Prepost,UNIFY,UNIFY,0.1,1400.063195,3681.9696,0.1
Prepost,UNIFY,UNIFY,0.2,1165.634106,3873.5801,0.2
Prepost,UNIFY,UNIFY,0.3,1298.673505,3474.6914,0.3
Prepost,UNIFY,UNIFY,0.4,1124.799531,4172.9708,0.4
Prepost,UNIFY,UNIFY,0.5,372.093198,11896.2603,0.5
Prepost,UNIFY,UNIFY,0.6,407.869117,11587.7667,0.6
Prepost,UNIFY,UNIFY,0.7,692.885304,7175.7269,0.7
Prepost,UNIFY,UNIFY,0.8,748.490765,6698.218,0.8
Prepost,UNIFY,UNIFY,0.9,719.143266,6698.218,0.9
Prepost,UNIFY,UNIFY,1.0,702.411001,6698.218,1.0
