ACORN,HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
0.0,0.0,2333.84,935.351,0.0,375.0,16530.299,0.0,0.001
0.0,0.0,2620.05,1295.1,0.0,452.0,9701.5298,682.7725,0.002
0.0,0.0,2796.63,1503.66,0.0,523.0,7050.9025,555.129,0.003
2991.627,0.0,2830.04,1712.28,1416.0,544.0,5644.835,534.8884,0.004
1351.298,0.0,2882.5,1822.73,1248.0,556.0,4757.0138,601.0006,0.005
1132.813,0.0,0.0,0.0,981.0,605.0,0.0,661.306,0.006
0.0,0.0,0.0,0.0,1040.0,0.0,0.0,712.2664,0.007
0.0,0.0,0.0,0.0,884.0,0.0,0.0,757.372,0.008
0.0,0.0,0.0,0.0,920.0,0.0,0.0,610.8585,0.009000000000000001
968.645,16126.064,3080.89,3436.75,958.0,1064.0,4897.0553,635.1812,0.01
