ACORN,HNSW,IVFPQ,Milvus_IVFPQ,Milvus_HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
-1.0,0.0,-1.0,0.0,0.0,2380.14073704336,4224.83647069003,-1.0,6293.4,212.611798,-1.0,0.001
-1.0,0.0,-1.0,0.0,0.0,2495.826012714818,4253.007410688248,-1.0,5163.34,268.448969,834.1393,0.002
-1.0,0.0,-1.0,0.0,0.0,2643.741612842837,2666.667683919659,-1.0,2852.5,367.975138,1124.6933,0.003
38.849,0.0,-1.0,0.0,0.0,2501.5294962866847,2061.839493545888,1434.0,3810.09,665.557358,1045.4269,0.004
74.941,0.0,-1.0,0.0,0.0,2456.472661364764,2529.191075099048,1648.0,3919.87,830.55482,1177.6033,0.005
174.295,0.0,-1.0,0.0,0.0,0.0,0.0,2210.0,3338.85,0.0,1109.8711,0.006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.0,0.0,0.0,1053.2529,0.007
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2663.0,0.0,0.0,1002.0261,0.008
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2546.0,0.0,0.0,1275.9192,0.009000000000000001
353.233,97.34,81.175,120.86362935673122,47.92479598322515,1401.9104642557627,785.7351118858907,2363.0,2696.54,607.085289,1228.5506,0.01
